49c0c02847c909b91d62dca9f0dc3319fc4ea459faf6d7e10d740e7c10a29f8c,06f12058dfb81ea07f6f8ae7236182e6b53849647baaeaeb6a0e2bfee307cdcb,55afd183b2b4b41d0b7118efa3c15748eab091a0b163f120597e42cf51be7aac,ca8bf7ee9f5a84f8978d91a5cfe2445f18b2e806a97d394e55f460dde1c92ed4,93c0ef108617ed22e335ede0736752a4c38740b60f665a226106180971290161,9a8cf8bffe9d3d7f4f199ff58ce447fcd104724d32eda75f78846d12939dc6c6,eae2b229d40e4ae1712ca21df186879b96f70b36b1cf3e86ac9b213d78a4fac1,836dc32e0cab59211e8c6b8bab067f7f060b599eedca787554c5adde74ff4e68,b604455c5bae24c6cc8e8c30b8961a02c2ae441e570d3a3064054a440957b13d
"1","1001","1001","0","0","100101","全難易度合計で10000pt獲得しよう","10000","100101"
"1","1001","1001","0","0","100102","全難易度合計で30000pt獲得しよう","30000","100102"
"1","1001","1001","0","0","100103","全難易度合計で50000pt獲得しよう","50000","100103"
"1","1001","1001","0","0","100104","全難易度合計で70000pt獲得しよう","70000","100104"
"1","1001","1001","1","0","100105","全難易度合計で90000pt獲得しよう","90000","100105"
"1","1001","1001","1","0","100106","全難易度合計で105000pt獲得しよう","105000","100106"
"1","1001","1001","1","0","100107","全難易度合計で120000pt獲得しよう","120000","100107"
"1","1001","1001","1","0","100108","全難易度合計で135000pt獲得しよう","135000","100108"
"1","1002","1001","2","1","100109","難易度NORMAL1で1回戦おう","0","100109"
"1","1003","1001","2","1","100110","難易度NORMAL2で1回戦おう","0","100110"
"1","1004","1001","2","1","100111","難易度NORMAL3で1回戦おう","0","100111"
"1","1001","1001","3","1","100112","難易度NORMALで10000pt獲得しよう","10000","100112"
"1","1001","1001","3","1","100113","難易度NORMALで20000pt獲得しよう","20000","100113"
"1","1001","1001","3","1","100114","難易度NORMALで30000pt獲得しよう","30000","100114"
"1","1002","1001","4","2","100115","難易度HARD1で1回戦おう","0","100115"
"1","1003","1001","4","2","100116","難易度HARD2で1回戦おう","0","100116"
"1","1004","1001","4","2","100117","難易度HARD3で1回戦おう","0","100117"
"1","1001","1001","5","2","100118","難易度HARDで15000pt獲得しよう","15000","100118"
"1","1001","1001","5","2","100119","難易度HARDで30000pt獲得しよう","30000","100119"
"1","1001","1001","5","2","100120","難易度HARDで45000pt獲得しよう","45000","100120"
"1","1002","1001","6","3","100121","難易度EXTRA1で1回戦おう","0","100121"
"1","1003","1001","6","3","100122","難易度EXTRA2で1回戦おう","0","100122"
"1","1004","1001","6","3","100123","難易度EXTRA3で1回戦おう","0","100123"
"1","1001","1001","7","3","100124","難易度EXTRAで20000pt獲得しよう","20000","100124"
"1","1001","1001","7","3","100125","難易度EXTRAで40000pt獲得しよう","40000","100125"
"1","1001","1001","7","3","100126","難易度EXTRAで60000pt獲得しよう","60000","100126"
"1","1001","1002","0","0","100201","全難易度合計で10000pt獲得しよう","10000","100201"
"1","1001","1002","0","0","100202","全難易度合計で30000pt獲得しよう","30000","100202"
"1","1001","1002","0","0","100203","全難易度合計で50000pt獲得しよう","50000","100203"
"1","1001","1002","0","0","100204","全難易度合計で70000pt獲得しよう","70000","100204"
"1","1001","1002","1","0","100205","全難易度合計で90000pt獲得しよう","90000","100205"
"1","1001","1002","1","0","100206","全難易度合計で105000pt獲得しよう","105000","100206"
"1","1001","1002","1","0","100207","全難易度合計で120000pt獲得しよう","120000","100207"
"1","1001","1002","1","0","100208","全難易度合計で135000pt獲得しよう","135000","100208"
"1","1002","1002","2","1","100209","難易度NORMAL1で1回戦おう","0","100209"
"1","1003","1002","2","1","100210","難易度NORMAL2で1回戦おう","0","100210"
"1","1004","1002","2","1","100211","難易度NORMAL3で1回戦おう","0","100211"
"1","1001","1002","3","1","100212","難易度NORMALで10000pt獲得しよう","10000","100212"
"1","1001","1002","3","1","100213","難易度NORMALで20000pt獲得しよう","20000","100213"
"1","1001","1002","3","1","100214","難易度NORMALで30000pt獲得しよう","30000","100214"
"1","1002","1002","4","2","100215","難易度HARD1で1回戦おう","0","100215"
"1","1003","1002","4","2","100216","難易度HARD2で1回戦おう","0","100216"
"1","1004","1002","4","2","100217","難易度HARD3で1回戦おう","0","100217"
"1","1001","1002","5","2","100218","難易度HARDで15000pt獲得しよう","15000","100218"
"1","1001","1002","5","2","100219","難易度HARDで30000pt獲得しよう","30000","100219"
"1","1001","1002","5","2","100220","難易度HARDで45000pt獲得しよう","45000","100220"
"1","1002","1002","6","3","100221","難易度EXTRA1で1回戦おう","0","100221"
"1","1003","1002","6","3","100222","難易度EXTRA2で1回戦おう","0","100222"
"1","1004","1002","6","3","100223","難易度EXTRA3で1回戦おう","0","100223"
"1","1001","1002","7","3","100224","難易度EXTRAで20000pt獲得しよう","20000","100224"
"1","1001","1002","7","3","100225","難易度EXTRAで40000pt獲得しよう","40000","100225"
"1","1001","1002","7","3","100226","難易度EXTRAで60000pt獲得しよう","60000","100226"
