c8bdf6e5a24f249ce68e355e02e5c4626041510b0911147a5c5227c1ba7cd106,e67b660bf86ae8dee026179e7650bde21d3f0357445e42f5441e50f83733228b,deb89ed023be5fe1e7eb10564e384fec99e6a5c82a4e74b152b6892e035f90bc,5d17164f6c85dfe636ed9e1824eb61be3b5f862ccd83440c56664e7ceeaa0f4f,a3767ba32dd70ad67fcda6c941feb8c1a134648c4de91ee06c9aeac041ed4758,7e3f781cdbe05a180c1304e659dec663d9defa2522b4fd08593020995520867d,06ddb78d061fd4e5fcef8b7724e51fd5ad2a4e75c9e674a10e6806dd30635505,4e93aed88e35fabbed220d9993515770d0e53cc44a5108ebd08d5d45ba5346c6,abe4d781d655ff72bbf7e6734d81790de03924b44f9b9d11639ce0547195e841,683b87a0cd7376f46fb50796a33d2de1564594ffd9fb7a09426319f163533da9,30379f0bd279d4504d22d4ecc69eb15bf250e075a340ed3b085c854fa729fe42,0df47bc42e72d8aec5644cd4ed507ace749d0d0b122d519d6cb12a336d2f2e01
"104","4","2","101","1","0","0","1","0","0","11041","0"
"14","2","3","201","2","0","0","2","1","0","10141","0"
"103","2","2","301","3","0","0","3","2","0","11031","0"
"102","1","1","401","4","0","0","4","3","0","11021","0"
"104","4","2","501","5","0","0","5","4","0","11041","0"
"1","1","3","601","6","0","0","6","5","0","10011","0"
"101","3","4","701","7","0","0","7","6","0","11011","0"
"100","1","3","801","8","0","0","8","7","0","11001","0"
"104","4","2","901","9","0","0","9","8","0","11041","0"
"1","2","3","1001","10","0","0","10","9","0","10011","0"
"51","1","4","1101","11","0","0","11","10","0","10511","0"
"52","2","3","1201","12","0","0","12","11","0","10521","0"
"104","4","2","1301","13","0","0","13","12","0","11041","0"
"103","1","1","1401","14","0","0","14","13","0","11031","0"
"102","1","2","1501","15","0","0","15","14","0","11021","0"
"1","1","3","1601","16","0","0","16","15","0","10011","0"
"104","4","2","1701","17","0","0","17","16","0","11041","0"
"50","2","3","1801","18","0","0","18","17","0","10501","0"
"101","3","4","1901","19","0","0","19","18","0","11011","0"
"100","2","3","2001","20","0","0","20","19","0","11001","0"
"104","4","2","2101","21","0","0","21","20","0","11041","0"
"1","3","1","2201","22","0","0","22","21","0","10011","0"
"100","2","3","2301","23","0","0","23","22","0","11001","0"
"101","2","2","2401","24","0","0","24","23","0","11011","0"
"104","4","3","2501","25","0","0","25","24","0","11041","0"
"50","3","4","2601","26","0","0","26","25","0","10501","0"
"52","3","3","2701","27","0","0","27","26","0","10521","0"
"50","1","1","2801","28","0","0","28","27","0","10501","0"
"104","4","2","2901","29","0","0","29","28","0","11041","0"
