4a0b6a981a32a391179a6c359128355779b2ba799601f8b897b151ff7f858210,5d71a72be369557cf5042ff5d9e4ecda24efc9e4f88cddfb969f4e731b55ae96,28fd2fb5cb3cc884340a8d0e47e499568ae95e106269934d0ef9c41a8b89be4b,c3b56bd62550474c2ec4ddaee4564c9141ffab655598f17c6cc91d3e015aa239,f0b38bdf6aac58d7399db366b910d24c63080ed8a8d4ba2141c17d469d1a9184,f070a7085262b3560ace7bfdbcc1002c42b59973189a7eb7d754006399935d6f,887d3a167688cbbe866b4799d767f7ec87719bd9681d1375b841edd21d00168d,359906779c87b91000204753d696f73cbc6febe9f2b7d05924b40d4a3ef4faf9,ce1e353719b5f79e3ed362625d5117845fdf012f98465fe297427997dbb64e3c,13aa8e24844b0d48495422fcff6c8e03ed416249b28d1c42e16439bb36e43d17
"ライラエル","1","0","","126501","1001","最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1"
"モニカ","2","0","","105301","1002","最大1000マイルを入手する","10001","","2"
"クローチェ","3","0","","126401","1003","料理を{0}つ入手する","1","","1"
"マツリ","4","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","100501","1004","ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3"
"ナナカ","4","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","101301","1005","ダイスの目を{0}回振りなおせる","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2"
"マコト","5","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","104301","1006","出目が{0}のダイスを同時に振って\nどちらか選択できる","4","","2"
"エリコ","5","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","102701","1007","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","","3"
"アンナ","6","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","100901","1008","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1"
"ミツキ","1","0","","105101","1009","最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1"
"イオ","2","0","","101801","1010","最大1000マイルを入手する","10001","","2"
"ネフィ＝ネラ","8","0","ダイスの表と裏\nどちらを適用するか選択できる","129701","1011","ダイスの表と裏\nどちらを適用するか選択できる","0","","2"
"スズナ","4","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","101601","1012","ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3"
"ルカ","4","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","105601","1013","ダイスの目を{0}回振りなおせる","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2"
"ミミ","5","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","102001","1014","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","","3"
"アネモネ","6","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","129601","1015","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1"
"ミソギ","10","1","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","100401","1016","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1","","2"
"リンド","13","1","出たダイスの目が{0}だった場合、\n+{1}進める","127701","1017","出たダイスの目が{0}だった場合、\n+{1}進める","2","","3"
"ヴルム","10","1","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","127801","1018","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1","","2"
"ミフユ","1","0","","104801","1019","最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1"
"ジュン","4","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","104701","1020","ダイスの目を{0}回振りなおせる","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2"
"ミサキ","6","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","105001","1021","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1"
"アキノ","2","0","","103201","1022","最大2000マイルを入手する","10002","","1"
"クルル","12","0","","130901","1023","福引券を{0}枚入手する","1","","1"
"スズメ","3","0","","102501","1024","料理を{0}つ入手する","1","","1"
"ユキ","8","0","ダイスの表と裏\nどちらを適用するか選択できる","100801","1025","ダイスの表と裏\nどちらを適用するか選択できる","0","","2"
"ネア","5","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","123301","1026","出目が{0}のダイスを同時に振って\nどちらか選択できる","4","","2"
"タマキ","1","0","","104601","1027","最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1"
"ランファ","4","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","118101","1028","ダイスの目を{0}回振りなおせる","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2"
"ユカリ","6","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","103401","1029","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1"
"クレジッタ","2","0","","118001","1030","最大2000マイルを入手する","10002","","1"
"サレン","12","0","","102801","1031","福引券を{0}枚入手する","1","","1"
"ユイ","3","0","","100201","1032","料理を{0}つ入手する","1","","1"
"ハツネ","13","1","出たダイスの目が{0}だった場合、\n+{1}進める","101201","1033","出たダイスの目が{0}だった場合、\n+{1}進める","1","","3"
"ミソラ","4","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","118201","1034","ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3"
"ムイミ","6","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","106101","1035","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1"
"シノブ","5","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","103101","1036","出目が{0}のダイスを同時に振って\nどちらか選択できる","4","","2"
"マヒル","1","0","","103301","1037","最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1"
"キョウカ","2","0","","103601","1038","最大2000マイルを入手する","10002","","1"
"グレイス","12","0","","133001","1039","福引券を{0}枚入手する","1","","1"
"ヴァイオレット","3","0","","133101","1040","料理を{0}つ入手する","1","","1"
"ラビリスタ","8","0","ダイスの表と裏\nどちらを適用するか選択できる","106801","1041","ダイスの表と裏\nどちらを適用するか選択できる","0","","2"
"クリスティーナ","4","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","107101","1042","ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3"
"ネネカ","6","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","107001","1043","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1"
"カヤ","5","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","106501","1044","出目が{0}のダイスを同時に振って\nどちらか選択できる","4","","2"
"ユニ","1","0","","111001","1045","最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1"
"カノン","2","0","","134901","1046","最大2000マイルを入手する","10002","","1"
"ツムギ","12","0","","105401","1047","福引券を{0}枚入手する","1","","1"
"ホウオウ","3","0","","134701","1048","料理を{0}つ入手する","1","","1"
"ヒヨリ","8","0","ダイスの表と裏\nどちらを適用するか選択できる","100101","1049","ダイスの表と裏\nどちらを適用するか選択できる","0","","2"
"ミヤコ","4","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","100701","1050","ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3"
"ニノン","6","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","103001","1051","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1"
"カスミ","13","1","出たダイスの目が{0}だった場合、\n+{1}進める","101401","1052","出たダイスの目が{0}だった場合、\n+{1}進める","2","","3"
"サツキ","1","0","","135901","1053","最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1"
"リン","2","0","","102601","1054","最大2000マイルを入手する","10002","","1"
"イロハ","12","0","","132401","1055","福引券を{0}枚入手する","1","","1"
