2aa88c1eb0d637c452186a8355543da760efca56cf108e5cf79db2d2a13dc405,0ba4835bb73b2ef614395c34fd0213173cd048774687fba97edf067f689ba317,3955396732bfea87ec67499d9b110c1ceb2f6431d6802fa22241ec4a4553908e,b714825d77173a43dc912fb7c01b9f33882d34fdc14576985dc2d4a234449352,9c66aee12106de88f69045b0710f72db93ae25c8ebdd547cca2f9b35a4fd00ba,114023b34a23c824fc55a20bb26311ec488b50e8e451ee4d584d0b5ae0b9b2f2,f87d7fe4610bec03acf6c3c3ff98b45747f3715a7ae0517026ce93532e1c9ae3,c23fbf55df1265a90d3203b589dbab881a0f485495379fc469b232220bff3a40
"1","0","0","0","0","0","1","0"
"2","0","0","0","0","0","2","0"
"3","0","0","0","0","0","3","0"
"4","0","0","0","0","0","4","0"
"5","0","0","0","0","0","5","0"
"6","0","0","0","0","0","6","0"
"7","0","0","0","0","0","7","0"
"8","0","0","0","0","0","8","0"
"0","0","0","1","0","0","9","0"
"0","0","0","0","0","0","10","1"
"11","0","0","0","0","0","11","0"
"12","0","0","0","0","0","12","0"
"0","0","0","0","0","1","13","0"
"0","0","0","0","0","0","14","0"
"0","0","0","0","0","0","15","0"
"0","0","0","0","1","0","16","0"
"0","10056","0","0","0","0","17","0"
"0","0","0","0","0","0","18","0"
"19","0","0","0","0","0","19","0"
"0","10061","0","0","0","0","20","0"
"0","0","0","0","0","0","21","0"
"0","0","0","0","0","0","22","0"
"0","0","23","0","0","0","23","0"
"0","0","0","0","0","0","24","0"
"25","0","0","0","0","0","25","0"
"0","10088","0","0","0","0","26","0"
"0","10102","0","0","0","0","27","0"
"28","0","0","0","0","0","28","0"
"0","30001","0","0","0","0","29","0"
"30","0","0","0","0","0","30","0"
