0d3f31ad1e661f5abdb224427ec2018e9c4430fb20787c5fcc45dd6796eed35b,461b69fa88daf6e14101f701c4028fcb72d46d5eea7da7bf1c65fc6b020086f3,3ac2df7dff23ac3a3c23e5c7d1ed2b38f38ead4c2ab069685f59684180ef49e3,e5cc31f05466e285a41f918ee84a41a0f3172248f9bb3aa765a0fde2770adc74,873d603748533b2444fc951791a4c6ef78d248dd2ca5404a9601236825c7c94a,4ff40f9f969bcf08ca7bd1975d7b3cd957a115fd3a4114bfbff4121fc11301ae,ccc3f425b766d500272c2b220b9d32d46d880889cce4ce932d7c06e66742c06f,f080acef577176e91a3b3d5a3c32d6cd88a6276a5b66298f9845ab1b266b7477,f471def54f4408edc7fc6aaafcc4eeceecc26d50f5b7d5e2492682f206211dc7
"1","0","0","50","","1.6","1","0","610201101"
"1","0","200","-75","","1.8","1","0","610201151"
"1","0","0","50","","1.6","1","0","610201201"
"1","0","0","50","","1.6","1","0","610201202"
"1","0","0","50","","1.6","1","0","610201203"
"1","0","200","-75","","1.65","1","0","610201251"
"1","0","200","-75","","1.8","1","0","610201252"
"1","0","200","-75","","1.8","1","0","610201253"
"1","0","0","50","","1.6","1","0","610201301"
"1","0","0","50","","1.6","1","0","610201302"
"1","0","0","50","","1.6","1","0","610201303"
"1","0","200","-75","","1.65","1","0","610201351"
"1","0","200","-75","","1.8","1","0","610201352"
"1","0","200","-75","","1.8","1","0","610201353"
"2","1","0","0","","1","0","0","610201401"
"3","1","0","0","","1","0","0","610201402"
"4","1","0","0","","1","0","0","610201403"
"2","0","0","0","","0.78","0","-200","610201451"
"3","0","0","0","","0.78","0","-140","610201452"
"4","0","0","0","","0.78","0","-60","610201453"
"2","1","0","0","","1","0","0","610201501"
"3","1","0","0","","1","0","0","610201502"
"4","1","0","0","","1","0","0","610201503"
"2","0","0","0","","0.78","0","-200","610201551"
"3","0","0","0","","0.78","0","-140","610201552"
"4","0","0","0","","0.78","0","-60","610201553"
"1","0","190","-45","","1.7","1","0","610202101"
"1","0","190","-55","","1.4","1","0","610202201"
"1","0","190","-45","","1.7","1","0","610202202"
"1","0","190","-45","","1.7","1","0","610202203"
"1","0","190","-55","","1.4","1","0","610202301"
"1","0","190","-45","","1.7","1","0","610202302"
"1","0","190","-45","","1.7","1","0","610202303"
"2","0","0","0","","1","0","-200","610202401"
"3","0","0","0","","1","0","-140","610202402"
"4","0","0","0","","1","0","-60","610202403"
"5","0","0","0","","1","0","-60","610202404"
"2","0","0","0","","1","0","-200","610202501"
"3","0","0","0","","1","0","-140","610202502"
"4","0","0","0","","1","0","-60","610202503"
"5","0","0","0","","1","0","-60","610202504"
"1","0","190","-80","","1.03","1","0","610203101"
"1","0","190","-42","","0.66","1","0","610203201"
"1","0","190","-80","","1.03","1","0","610203202"
