762295bd407e68bca3dd03c824409338ef63845dae3dce40199bd885e611903e,ea996646a47fc073e22cfc04de0c3838b4a2ea4ba10451e4899fea5d80d8f6ce,ec1c870f4dccac5c6363f8b54a11709f3bb1201daddc3f24384f2d5d1cdd3211,c4715b23fa838e475396e5873b3524617c0a3af9274cab49ed8a835ef43b5247,0893398c848b3cc3bbf11982c7b7e01025caa310926cbd8a184d42cd13162a9c,6d2a8b5cef268a13854584065483c3783af65dc06eebe5c18b2e776cc481e03b,3ecb01c6178586ca4d693a5c733da676af6107ca64be2c02514b0d811900f45a,9a2385e471536410d855817bda450867cbe420f2bbe0f86e0446311c813679fd
"1","170","-90","1","182","-401","1","71"
"2","170","-90","2","182","-401","1","81"
"3","255","90","3","182","-255","1","121"
"4","255","90","4","182","-255","1","131"
"5","255","90","5","182","-255","1","141"
"6","229","-80","6","176","-107","1","191"
"7","229","-80","7","176","-107","1","201"
"8","218","-85","8","151","136","1","271"
"9","218","-85","9","151","136","1","281"
"10","218","-85","10","151","136","1","291"
"11","156","80","11","219","280","1","331"
"12","156","80","12","219","280","1","341"
"13","156","80","13","219","280","1","351"
"14","213","-97","14","183","417","1","401"
"15","213","-97","15","183","417","1","411"
"2","242","-73","1","229","-259","2","451"
"4","226","124","2","179","-222","2","481"
"6","219","-67","3","192","-101","2","501"
"8","168","-27","4","190","-26","2","521"
"11","192","-50","5","260","117","2","551"
"14","159","120","6","138","241","2","601"
"14","159","120","7","138","241","2","611"
"14","224","-71","8","229","243","2","621"
"1","71","32","1","43","-353","3","781"
"2","235","-30","2","268","-228","3","801"
"3","80","144","3","45","-243","3","831"
"4","221","-76","4","225","20","3","851"
"5","211","-74","5","222","230","3","861"
"6","115","44","6","136","-100","3","891"
"7","115","44","7","136","-100","3","901"
"8","306","76","8","250","116","3","991"
"9","306","76","9","250","116","3","1001"
"10","306","76","10","250","116","3","1011"
"11","96","40","11","188","322","3","1041"
"12","96","40","12","188","322","3","1051"
"1","294","-6","1","272","-211","4","1091"
"2","92","129","2","115","-288","4","1101"
"3","92","129","3","115","-288","4","1111"
"4","135","128","4","174","-58","4","1121"
"5","222","133","5","184","143","4","1151"
"6","134","-129","6","98","-277","4","1161"
"7","134","-129","7","98","-277","4","1171"
"8","67","-12","8","70","-60","4","1211"
"9","67","-12","9","70","-60","4","1221"
"10","132","-55","10","185","116","4","1231"
"11","93","-103","11","89","-17","4","1261"
"12","93","-103","12","89","-17","4","1271"
"13","150","23","13","239","232","4","1311"
"1","114","-161","1","72","-289","5","1391"
"2","114","-161","2","72","-289","5","1401"
"3","228","80","3","248","-261","5","1411"
"4","223","-91","4","211","-103","5","1431"
"5","186","95","5","181","-87","5","1471"
"6","132","-122","6","176","69","5","1551"
"7","132","-122","7","176","69","5","1561"
"8","143","91","8","184","54","5","1611"
"9","211","45","9","247","204","5","1641"
"10","137","141","10","167","308","5","1651"
"11","175","-46","11","174","282","5","1661"
"1","222","-11","1","240","-252","6","1741"
"2","311","-96","2","245","-19","6","1761"
"3","261","95","3","221","-46","6","1771"
"4","166","83","4","237","152","6","1781"
"5","183","-100","5","229","227","6","1782"
"1","223","-46","1","183","-249","7","1811"
"2","337","54","2","247","-159","7","1881"
"3","202","-70","3","191","30","7","1921"
"4","176","0","4","215","173","7","1941"
"5","204","77","5","236","292","7","1981"
"1","209","89","1","254","-472","8","2001"
"2","250","-77","2","282","-375","8","2031"
"3","241","110","3","223","-280","8","2051"
"4","243","-85","4","270","-148","8","2101"
"5","274","74","5","264","3","8","2131"
"6","321","-36","6","302","155","8","2171"
"7","199","82","7","277","283","8","2201"
"8","349","0","8","344","374","8","2271"
"1","240","-30","1","301","-275","9","2321"
"2","106","-115","2","108","-132","9","2361"
"3","106","-115","3","108","-132","9","2371"
"4","202","32","4","246","-73","9","2381"
"5","114","-140","5","84","-43","9","2411"
"6","114","-140","6","84","-43","9","2421"
"8","86","65","7","84","50","9","2461"
"9","86","65","8","84","50","9","2471"
"10","185","-110","9","137","80","9","2481"
"11","185","-110","10","137","80","9","2491"
"7","301","24","11","377","131","9","2521"
"12","190","-50","12","305","280","9","2531"
"3","123","-137","1","145","-527","10","2601"
"4","123","-137","2","145","-527","10","2611"
"1","408","35","3","295","-379","10","2621"
"2","171","103","4","192","-299","10","2622"
"6","342","-64","5","244","-138","10","2623"
"5","224","9","6","254","-47","10","2701"
"8","253","-88","7","204","131","10","2781"
"9","110","23","8","139","89","10","2791"
"10","110","23","9","139","89","10","2801"
"7","292","42","10","249","275","10","2811"
"11","126","-120","11","151","274","10","2821"
"12","126","-120","12","151","274","10","2831"
"13","276","-17","13","316","448","10","2841"
"1","158","-87","1","203","-292","11","2901"
"2","256","123","2","187","-224","11","3011"
"3","144","-80","3","225","-65","11","3031"
"4","149","-84","4","214","80","11","3111"
"5","201","112","5","194","227","11","3131"
"6","161","-111","6","111","159","11","3141"
"7","161","-111","7","111","159","11","3151"
"8","166","-80","8","209","307","11","3171"
"3","364","-106","1","206","-185","12","3211"
"1","160","34","2","277","-304","12","3221"
"2","249","45","3","275","-107","12","3231"
"5","167","-46","4","233","31","12","3321"
"7","174","-122","5","130","135","12","3381"
"8","174","-122","6","130","135","12","3391"
"4","244","101","7","223","127","12","3431"
"6","235","-24","8","246","254","12","3441"
"9","167","-114","9","156","303","12","3461"
"10","167","-114","10","156","303","12","3471"
"11","108","152","11","94","338","12","3491"
"12","108","152","12","94","338","12","3501"
"3","210","-48","1","270","-286","13","3531"
"2","92","144","2","103","-310","13","3541"
"3","228","-90","3","219","-152","13","3551"
"4","94","99","4","103","-148","13","3561"
"5","110","-157","5","71","-12","13","3571"
"1","209","-2","6","274","-5","13","3581"
"6","219","-72","7","292","141","13","3691"
"7","88","143","8","104","146","13","3701"
"8","160","131","9","135","299","13","3741"
"9","160","131","10","135","299","13","3751"
"10","179","-82","11","268","301","13","3791"
