c5797ffb189ed2d03e27598e3ee85ee2bfd9821edb1b490c8c4ad768dfb73cb4,906cc608a1d8f0f41b7ebf029611a6ebedb06be12901768f9d25ad10e4258e7b,e9857b99db6483dc38da3044ba9557d3d959a6bc13876167fc6995b095982f7f,1784285ab55d87b1dd43732a3b2f0f388fd12045cae4f8048418f56f0aee0be1,6caccd7ba9c2de40fbb4f6086c7db3e1268d9fb828db19424e697df2af06b521,2fbb8e8bf1ee51dc54b8cc9952e7b380407c06a818b763ce2167944553d7c5e8,0ab16cb11342fe8facb8de9f0569ad112fee954350d6c9cfeaf4304c434799f3
"2","1000101","ふっふっふ、これでカヤぴぃとボスを見返してやるです！","vo_minigame_1004","1","vo_minigame_1004_top_1_000","10001"
"2","1000201","しりとりでの戦い、お兄さんにも手伝ってもらうです","vo_minigame_1004","1","vo_minigame_1004_top_1_003","10002"
"1","1000301","どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！","vo_minigame_1004","2","vo_minigame_1004_top_1_004","10003"
"1","1000401","石板でしりとりか……イノリのヤツおもしろいこと考えるな","vo_minigame_1004","2","vo_minigame_1004_top_1_005","10004"
"1","1000501","しりとりだろうがなんだろうが返り討ちにしてやるぜ","vo_minigame_1004","2","vo_minigame_1004_top_1_006","10005"
"2","1000601","ぐもも……（オデ、ハラヘッタ）","vo_minigame_1004","3","vo_minigame_1004_top_1_007","10006"
"2","1000701","ぐもももも（シリトリ タノシイ）","vo_minigame_1004","3","vo_minigame_1004_top_1_008","10007"
"2","1000801","ぐもももも！（イノリ イイヤツ）","vo_minigame_1004","3","vo_minigame_1004_top_1_009","10008"
"2","1000901","カヤぴぃ相手でも手加減しないです","vo_minigame_1004","1","vo_minigame_1004_top_2_010","10009"
"1","1000902","上等だ！やるからには本気で来いよな","vo_minigame_1004","2","vo_minigame_1004_top_2_011","10009"
"2","1001001","カヤぴぃ、謝るなら今のうちです","vo_minigame_1004","1","vo_minigame_1004_top_2_012","10010"
"1","1001002","イノリこそ泣きを入れるなら今のうちだぜ？","vo_minigame_1004","2","vo_minigame_1004_top_2_013","10010"
"2","1001101","カヤぴぃ、これからは知性の時代ですよ？","vo_minigame_1004","1","vo_minigame_1004_top_2_014","10011"
"1","1001102","待て！オレがバカみたいにいうな！！","vo_minigame_1004","2","vo_minigame_1004_top_2_015","10011"
"1","1001201","さあ、あたしたちの力を見せてやるです","vo_minigame_1004","1","vo_minigame_1004_top_2_016","10012"
"2","1001202","ぐも！（マカセロ！）","vo_minigame_1004","3","vo_minigame_1004_top_2_017","10012"
"1","1001301","よしよし、いいですようまくできたらチョコをあげるです！","vo_minigame_1004","1","vo_minigame_1004_top_2_018","10013"
"2","1001302","ぐも！（オデ チョコスキ）","vo_minigame_1004","3","vo_minigame_1004_top_2_019","10013"
"1","1001401","なあイノリ……もしかして当初の目的見失ってないよな？","vo_minigame_1004","2","vo_minigame_1004_top_2_023","10014"
"2","1001402","もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです","vo_minigame_1004","1","vo_minigame_1004_top_2_024","10014"
"1","1001501","いくらイノリ相手でも勝ちを譲る気はないからな！","vo_minigame_1004","2","vo_minigame_1004_top_2_025","10015"
"2","1001502","望むところです手加減はなしですよ","vo_minigame_1004","1","vo_minigame_1004_top_2_026","10015"
"1","1001601","へっ、なかなかやるじゃねえか","vo_minigame_1004","2","vo_minigame_1004_top_2_027","10016"
"2","1001602","カヤぴぃも思ったよりやるですね！","vo_minigame_1004","1","vo_minigame_1004_top_2_028","10016"
"1","1001701","お～い、ドラゴンもどき？","vo_minigame_1004","2","vo_minigame_1004_top_2_029","10017"
"2","1001702","ぐもっ！？（ヒッ！）","vo_minigame_1004","3","vo_minigame_1004_top_2_030","10017"
"1","1001801","いやあ、あんときは悪かったなはっはっは","vo_minigame_1004","2","vo_minigame_1004_top_2_031","10018"
"2","1001802","ぐももも……（かやピィ コワカッタ）","vo_minigame_1004","3","vo_minigame_1004_top_2_032","10018"
"1","1001901","お前ってさ……ほんとマヌケな顔してるよな","vo_minigame_1004","2","vo_minigame_1004_top_2_033","10019"
"2","1001902","ぐも……（オマエガ イウカ）","vo_minigame_1004","3","vo_minigame_1004_top_2_034","10019"
"2","1002001","ぐも……（ハラヘッタ チョコホシイ）","vo_minigame_1004","3","vo_minigame_1004_top_2_044","10020"
"1","1002002","なんだ？眠いのか？","vo_minigame_1004","2","vo_minigame_1004_top_2_045","10020"
"2","1002101","ぐもも（コイツ……キケン）","vo_minigame_1004","3","vo_minigame_1004_top_2_046","10021"
"1","1002102","うん？　なんだ？オレの舎弟にでもなりたいのか？","vo_minigame_1004","2","vo_minigame_1004_top_2_047","10021"
"2","1002201","ぐも…（かやピィノウキン）","vo_minigame_1004","3","vo_minigame_1004_top_2_048","10022"
"1","1002202","おい、今失礼なこと考えてるだろ？","vo_minigame_1004","2","vo_minigame_1004_top_2_049","10022"
"1","1002301","なあ、これいつまで続けるんだ？","vo_minigame_1004","2","vo_minigame_1004_top_3_058","10023"
"2","1002302","カヤぴぃが降参するまでです！","vo_minigame_1004","1","vo_minigame_1004_top_3_059","10023"
"2","1002303","ぐもも！（コウサンシロ！）","vo_minigame_1004","3","vo_minigame_1004_top_3_060","10023"
"2","1002401","ぐも！（イノリ チョコホシイ）","vo_minigame_1004","3","vo_minigame_1004_top_3_065","10024"
"1","1002402","しょうがないですね、食べ過ぎはダメですよ","vo_minigame_1004","1","vo_minigame_1004_top_3_066","10024"
"1","1002403","土産のチョコ、そうとう気に入ったみたいだな","vo_minigame_1004","2","vo_minigame_1004_top_3_067","10024"
"2","1002501","ぐも！（かやピィニハ マケナイ！）","vo_minigame_1004","3","vo_minigame_1004_top_3_068","10025"
"1","1002502","お？なんだ？腹でも減ってるのか？","vo_minigame_1004","2","vo_minigame_1004_top_3_069","10025"
"2","1002503","……全然話が通じてないです","vo_minigame_1004","1","vo_minigame_1004_top_3_070","10025"
