1c5e968d3ea26bd645d1f6c3e75fcc90a7e238f7f73a696bf9bb5b0ea0fa969a,5965969655f63a7af1cebf899bd78509db5a0fa3efa6a5273ecdc8be9b24612a,a543a15379611d41345c3e1f7259599f1e91ee438f91f963ab6b3e65e038c6ff,bf08feab0d50df4e99d9012b815359f953dfe01be49305692608cc360dfac525,2c8726d7680a571d041ba805f9473834255b22c1d5d590f47307b26a707ee5d8,c9df042729d5d58c3e11b0905e02741237cf12c761a7ebd8cab40b4f4ab911cd,07bb6c6bd1bf68fc868ef1e37481908c2d731588fc62b77df9be5ad68014189c,e77cc2580684b109309a88dd280d2eb04597dfb4c2ed14e3c029693c36b0d628,0d00e594c083077d24c055d02fc933118cdcecbdbc5f4eb64fe6da17225b21e9,651697e9f4b9fa5d225731db1383436c993716aa3494a6adc80924e8e31d81dc,8deddf53e05180b0637a37ea873e34b206da9302ad1fd53aeabe3ffe8714e840
"61001","1.55","1","1","-280","110311","382","110","1","5152061","idle_normal"
"61002","1.55","1","0","-210","131911","145","106","1","5152061","idle_normal"
"61003","1.55","1","0","-225","102311","-50","107","1","5152061","joy_idle_normal"
"61004","1.55","1","0","-240","102111","-245","108","1","5152061","wish_idle"
"61005","1.55","1","0","-255","107711","-440","109","1","5152061","idle_normal"
"61006","1.45","1","0","-105","122811","40","103","1","5152061","doya_idle"
"61007","1.45","1","0","-120","122911","-160","104","1","5152061","idle_normal"
"61008","1.45","1","0","-135","122711","-355","105","1","5152061","idle_normal"
"61009","","110311","","","210","","","13","5152061",""
"61010","","131911","","","206","","","13","5152061",""
"61011","","107711","","","209","","","13","5152061",""
"61012","","122711","","","205","","","13","5152061",""
"61013","","122811","","","203","","","13","5152061",""
"61014","","122911","","","204","","","13","5152061",""
"61015","","102111","","","208","","","13","5152061",""
"61016","","102311","","","207","","","13","5152061",""
"61017","0.75","2","0","160","2","-110","210","5","5152061","empty"
"61018","1","3","0","-45","3","352","210","5","5152061","empty"
"61019","1","1","","1","1","0","0","31","5152061",""
"61020","0","2","","1","2","0","0","31","5152061",""
"61021","1","3","","1","3","0","0","31","5152061",""
"61022","0","11","","1","11","0","0","31","5152061",""
"61023","","0","","","0","","","91","5152061",""
"61024","","3","","","telop_1","","","37","5152061",""
"61025","","0","","","0","","0","102","5152061",""
"61026","","1","","","0","","","93","5152061",""
"61027","0.2","110311","0","1","callout_in","callout_loop","0","3","5152061",""
"61028","","0.1","","","0","","","93","5152061",""
"61029","","vo_rag","","","vo_rag_6001","0","0","21","5152061",""
"61030","0","3","","","1001_in","","0","3","5152061",""
"61031","","1.9","","","1","","","93","5152061",""
"61032","0","3","","","1001_mid","","0","3","5152061",""
"61033","","","","","","","","92","5152061",""
"61034","0","3","","","1001_out","","0","3","5152061",""
"61035","","0.2","","","0","","","93","5152061",""
"61036","0.3","110311","","","doya_idle_joy1R","","1","3","5152061",""
"61037","0.2","102311","0","1","gutsB_in_joy","gutsB_talk_joy","0","3","5152061",""
"61038","0.2","102111","","","wish_talk","","1","3","5152061",""
"61039","0.2","131911","0","1","hello_2","idle_normal_joy","0","3","5152061",""
"61040","0.2","107711","","","sad_talk_joy","","1","3","5152061",""
"61041","0.2","122811","0","1","handsup_in","handsup_loop","0","3","5152061",""
"61042","0.2","122911","","","leanforward_joy","","1","3","5152061",""
