249e640fc6f777d0ce428803691f56aef4a1713eacb98f6d3edb62232ba43b75,103fdd5a050757e13233090b6f350f62496106f715a14a4227f2bce519644d89,02cb3748acd6bcf4a1dcc6ee6192c786a69506b552491518e14b68de6d286d03,c151a0deb1a08f7c3d1a3a987fbd04500f7e2aab21dfd9b7f55f841acc670a1a,59ed8c43c68c2d33ea490c57cdaf56f8205aa822365dae78873b71c9a606cbc0
"100001011","150000","10000101","12","94002"
"100001012","6","10000101","2","22003"
"100001021","500000","10000102","12","94002"
"100001022","6","10000102","2","22003"
"100001031","500000","10000103","12","94002"
"100001032","3","10000103","4","140001"
"100001033","3","10000103","2","25001"
"100001041","500000","10000104","12","94002"
"100001042","6","10000104","2","22003"
"100001051","500000","10000105","12","94002"
"100001052","4","10000105","4","140001"
"100001053","4","10000105","2","25001"
"100001061","500000","10000106","12","94002"
"100001062","6","10000106","2","22003"
"100001071","500000","10000107","12","94002"
"100001072","4","10000107","4","140001"
"100001073","4","10000107","2","25001"
"100001081","500000","10000108","12","94002"
"100001082","6","10000108","2","22003"
"100001091","500000","10000109","12","94002"
"100001092","4","10000109","4","140001"
"100001093","4","10000109","2","25001"
"100505011","120000","10050501","12","94002"
"100505012","3","10050501","2","22003"
"100505021","120000","10050502","12","94002"
"100505022","4","10050502","2","22003"
"100505031","120000","10050503","12","94002"
"100505032","4","10050503","2","22003"
"100505111","120000","10050511","12","94002"
"100505112","3","10050511","2","22003"
"100505121","160000","10050512","12","94002"
"100505122","4","10050512","2","22003"
"100606011","120000","10060601","12","94002"
"100606012","3","10060601","2","22003"
"100606021","120000","10060602","12","94002"
"100606022","4","10060602","2","22003"
"100606031","120000","10060603","12","94002"
"100606032","4","10060603","2","22003"
"100606111","120000","10060611","12","94002"
"100606112","3","10060611","2","22003"
"100606121","160000","10060612","12","94002"
"100606122","4","10060612","2","22003"
"100707011","120000","10070701","12","94002"
"100707012","3","10070701","2","22003"
"100707021","120000","10070702","12","94002"
"100707022","4","10070702","2","22003"
"100707031","120000","10070703","12","94002"
"100707032","4","10070703","2","22003"
"100707111","120000","10070711","12","94002"
"100707112","3","10070711","2","22003"
"100707121","160000","10070712","12","94002"
"100707122","4","10070712","2","22003"
"100808011","120000","10080801","12","94002"
"100808012","3","10080801","2","22003"
"100808021","120000","10080802","12","94002"
"100808022","4","10080802","2","22003"
"100808031","120000","10080803","12","94002"
"100808032","4","10080803","2","22003"
"100808111","120000","10080811","12","94002"
"100808112","3","10080811","2","22003"
"100808121","160000","10080812","12","94002"
"100808122","4","10080812","2","22003"
