ca840f0cd42941259b0344c67325bbc09fa47f2b4e4b7ff9b680a03b5d01ea87,2088d0b16533788d2c6f9ddd090219c493929d55ff39bd3fc985009e802e5970,34621feb759168eb785e2fd4d24f90af36ee5461cf8bd37a2fa9f25962d79bb3,02c6115bd6ebb9dc8520b86523048fd79b0e1901f98751aec45d84c28a3553b4,09c65c7acf15b0a6e3f259f8f4db8ee6eaa7dd0ae66438fc49601ce417d58472,9c7bca398bea123105b37e4112b8255dee1f3c066cedfa46cc51f116032e6984,1c752d9c9a40363299c5009d317390206db3f64558009c97a28fcea6e6825a79,abd2112a9034689a628c94412ea1326e1303f689e7d10ede3a9cd9c79b5cf979
"1","5","104","4","3","200","2","111"
"1","5","14","4","3","2","2","211"
"1","5","103","4","3","2","2","311"
"1","5","102","4","3","2","2","411"
"1","5","104","4","3","200","2","511"
"1","5","1","4","3","250","2","611"
"1","5","101","4","3","3","2","711"
"1","5","100","4","3","3","2","811"
"1","5","104","4","3","200","2","911"
"1","5","1","4","3","250","2","1011"
"1","5","3","4","3","250","2","1111"
"1","5","5","4","3","250","2","1112"
"1","5","6","4","3","150","2","1211"
"1","5","7","4","3","150","2","1212"
"1","5","104","4","3","200","2","1311"
"1","5","103","4","3","2","2","1411"
"1","5","102","4","3","2","2","1511"
"1","5","1","4","3","250","2","1611"
"1","5","104","4","3","200","2","1711"
"1","5","2","4","3","500","2","1811"
"1","5","4","4","3","500","2","1812"
"1","5","101","4","3","3","2","1911"
"1","5","100","4","3","3","2","2011"
"1","5","104","4","3","200","2","2111"
"1","5","1","4","3","250","2","2211"
"1","5","100","4","3","3","2","2311"
"1","5","101","4","3","3","2","2411"
"1","5","104","4","3","200","2","2511"
"1","5","2","4","3","500","2","2611"
"1","5","4","4","3","500","2","2612"
"1","5","6","4","3","150","2","2711"
"1","5","7","4","3","150","2","2712"
"1","5","2","4","3","500","2","2811"
"1","5","4","4","3","500","2","2812"
"1","5","104","4","3","200","2","2911"
"1","5","3","4","3","250","2","3011"
"1","5","5","4","3","250","2","3012"
"1","5","100","4","3","3","2","3111"
"1","5","101","4","3","3","2","3211"
"1","5","104","4","3","200","2","3311"
