cb2d6cb177350db882350bbbc1af172d5a7579e8456b924402614d4f98d7c9e6,a0e43403decd2c71fad77c673abef05cb971796f006bb65a28ba4efc7a3c454e,3c3d8a8db45038530d2f49f2c5430d6c33105ca2712a6dff99beae6b47a7e229,d410d80da8ceac04f999b3377dea31ec61c5d6bb9e955121e123ddb17776cddc,393f1812b6681a4bede553fe6f0c47e2ff803a76f4cf965a81ac691c3625d2ed,e4dc2faaec5cba9d39a4d4d9b693f38eeef6acb27785c7fdac5c752c6bd31ad2,a604f7f473d4baab54013fbd5273704f4c410186a0b8a1139d2c8ecf1e76d051,9b65e8e799bea17bfbd3e438b8ea2d769d18e8ab44aa36ceee643e7452160a06,a9951afca7de137d78ecfb4adb0b2775fecc835b50b5c4eca55b328776016e27,40cb986502abbea117a619436800a18dd5eb53baa79656cd57bb60d487e9d89d
"1","100","0","1","20","10000","1","パーツを20個獲得しよう","3","1"
"2","100","0","1","25","10001","2","パーツを25個獲得しよう","3","1"
"2","100","0","1","30","10002","3","パーツを30個獲得しよう","3","1"
"3","100","0","1","35","10003","4","パーツを35個獲得しよう","3","1"
"3","100","0","1","40","10004","5","パーツを40個獲得しよう","3","1"
"4","100","0","1","45","10005","6","パーツを45個獲得しよう","3","1"
"4","100","0","1","50","10006","7","パーツを50個獲得しよう","3","1"
"3","101","0","1","1500","20000","101","総戦力を1500以上にしよう","2","2"
"3","101","0","1","2000","20001","102","総戦力を2000以上にしよう","2","2"
"3","101","0","1","2500","20002","103","総戦力を2500以上にしよう","2","2"
"3","101","0","1","3000","20003","104","総戦力を3000以上にしよう","2","2"
"3","101","0","1","3500","20004","105","総戦力を3500以上にしよう","2","2"
"4","101","0","1","4000","20005","106","総戦力を4000以上にしよう","2","2"
"4","101","0","1","4500","20006","107","総戦力を4500以上にしよう","2","2"
"4","101","0","1","5000","20007","108","総戦力を5000以上にしよう","2","2"
"4","101","0","1","6000","20008","109","総戦力を6000以上にしよう","2","2"
"4","101","0","1","7000","20009","110","総戦力を7000以上にしよう","2","2"
"5","101","0","1","8000","20010","111","総戦力を8000以上にしよう","2","2"
"5","101","0","1","9000","20011","112","総戦力を9000以上にしよう","2","2"
"5","101","0","1","10000","20012","600","総戦力を10000以上にしよう","2","2"
"2","200","0","2","100","30000","201","バトルポイントを累計100pt獲得しよう","4","3"
"2","200","0","2","200","30001","202","バトルポイントを累計200pt獲得しよう","4","3"
"2","200","0","2","300","30002","203","バトルポイントを累計300pt獲得しよう","4","3"
"2","200","0","2","400","30003","204","バトルポイントを累計400pt獲得しよう","4","3"
"2","200","0","2","500","30004","205","バトルポイントを累計500pt獲得しよう","4","3"
"3","200","0","2","600","30005","206","バトルポイントを累計600pt獲得しよう","4","3"
"3","200","0","2","700","30006","207","バトルポイントを累計700pt獲得しよう","4","3"
"3","200","0","2","800","30007","208","バトルポイントを累計800pt獲得しよう","4","3"
"3","200","0","2","900","30008","209","バトルポイントを累計900pt獲得しよう","4","3"
"3","200","0","2","1000","30009","210","バトルポイントを累計1000pt獲得しよう","4","3"
"7","400","0","4","5","50000","401","フブキから5個パーツを獲得しよう","1","5"
"7","400","0","4","10","50001","402","フブキから10個パーツを獲得しよう","1","5"
"7","400","0","4","15","50002","403","フブキから15個パーツを獲得しよう","1","5"
"7","400","0","4","20","50003","404","フブキから20個パーツを獲得しよう","1","5"
"7","400","0","4","25","50004","405","フブキから25個パーツを獲得しよう","1","5"
"7","400","0","4","30","50005","406","フブキから30個パーツを獲得しよう","1","5"
"7","400","0","4","35","50006","407","フブキから35個パーツを獲得しよう","1","5"
"7","400","0","4","40","50007","408","フブキから40個パーツを獲得しよう","1","5"
"7","400","0","4","45","50008","409","フブキから45個パーツを獲得しよう","1","5"
"6","400","0","4","50","50009","700","フブキから50個パーツを獲得しよう","1","5"
"7","209","30009","2","800","60000","999","バトルポイントを800pt獲得しよう（何度でも）","4","6"
"6","300","0","3","14","70000","799","ステージ14をクリアしよう","3","7"
"8","301","0","3","50","70001","800","ステージ50をクリアしよう","3","7"
