4126abedc5999fd7e44437a193892bd42da491cf5dee6b2b05b76a146d0d6c5a,aa6a51eb9d626ddd96013902883870ee84473212762d58c44ecd4e9786d55889,1250198f049f6b229041ebf53fd06cf9becf783d1a1ea22d0b7556bdab5f26c1,4ace85e5d763aaba49a73cc48a16076cd5534073d195d4895ead4bf929773a13,894cd08925731b3556ae45567c758fdb7cf0bc5cf3d7175e0901b8f2fe545e0c,4dcc50ee007460c542ea1b15942914867a4029fc8a4f89cbfb888ddc5261a355,db6b101c5a4394078486dae0501f58d10c2ff706f2477364ec65979dda238d0a,db1788b43dedbae9ac38f8d93cc454ec13c9ae6d49fb74979c934ff5ed6f6b59,8a258c59224cf67206e3c0718e8ea93daeaf56e5cbbccf0b75ca8755a5317de4,82d35fae3d51646b730f7b6ba384af7fb885b37b3412abedea77cf0bf9b58acd,3765218d9f421b2bc5c89c77b7afa09b221299b7932d1b7148aff498de9106b3,cf2b5a8f4cb716929d9b01d954c3c8fd8db2cb2150a7ad03681a7457794d67aa
"0","5201322","1","70","0","5","10201201","610201102","5.5","1","0","5201321"
"600","5201323","3","0","3","5","10201201","610201103","1.5","2","15","0"
"0","0","1","0","0","5","10201201","610201104","1.5","3","0","0"
"0","0","1","70","0","5","10201501","610201105","5.5","1","0","0"
"600","0","3","0","3","5","10201501","610201106","1.5","2","15","0"
"0","0","1","0","0","5","10201501","610201107","1.5","3","0","0"
"600","5201332","2","0","3","5","10201251","610201152","5.5","1","0","5201331"
"0","5201333","1","65","0","5","10201251","610201153","1.5","2","0","0"
"0","0","1","0","0","5","10201251","610201154","1.5","3","0","0"
"600","0","2","0","3","5","10201551","610201155","5.5","1","0","0"
"0","0","1","65","0","5","10201551","610201156","1.5","2","0","0"
"0","0","1","0","0","5","10201551","610201157","1.5","3","0","0"
"600","5202322","2","0","3","5","10202201","610202102","5.5","1","0","5202321"
"0","5202323","1","70","0","5","10202201","610202103","1.5","2","0","0"
"0","0","1","0","0","5","10202201","610202104","1.5","3","0","0"
"600","0","2","0","3","5","10202501","610202105","5.5","1","0","0"
"0","0","1","70","0","5","10202501","610202106","1.5","2","0","0"
"0","0","1","0","0","5","10202501","610202107","1.5","3","0","0"
"600","5203322","2","0","3","5","10203201","610203102","5.5","1","0","5203321"
"0","5203323","1","66","0","5","10203201","610203103","1.5","2","0","0"
"0","0","1","0","0","5","10203201","610203104","1.5","3","0","0"
"600","0","2","0","3","5","10203501","610203105","5.5","1","0","0"
"0","0","1","66","0","5","10203501","610203106","1.5","2","0","0"
"0","0","1","0","0","5","10203501","610203107","1.5","3","0","0"
"600","5204322","2","0","3","5","10204201","610204102","5.5","1","0","5204321"
"0","5204323","1","60","0","5","10204201","610204103","1.5","2","0","0"
"0","0","1","0","0","5","10204201","610204104","1.5","3","0","0"
"600","0","2","0","3","5","10204501","610204105","5.5","1","0","0"
"0","0","1","80","0","5","10204501","610204106","1.5","2","0","0"
"0","0","1","0","0","5","10204501","610204107","1.5","3","0","0"
"600","5205322","2","0","3","5","10205201","610205102","5.5","1","0","5205321"
"0","5205323","1","65","0","5","10205201","610205103","1.5","2","0","0"
"0","0","1","0","0","5","10205201","610205104","1.5","3","0","0"
"600","0","2","0","3","5","10205501","610205105","5.5","1","0","0"
"0","0","1","66","0","5","10205501","610205106","1.5","2","0","0"
"0","0","1","0","0","5","10205501","610205107","1.5","3","0","0"
"600","5206322","2","0","3","5","10206201","610206102","5.5","1","0","5206321"
"600","5206323","2","0","3","5","10206201","610206103","1.5","2","0","0"
"0","0","1","0","0","5","10206201","610206104","1.5","3","0","0"
"600","0","2","0","3","5","10206501","610206105","5.5","1","0","0"
"600","0","2","0","3","5","10206501","610206106","1.5","2","0","0"
"0","0","1","0","0","5","10206501","610206107","1.5","3","0","0"
"600","5207322","2","0","3","5","10207201","610207102","5.5","1","0","5207321"
"0","5207323","1","66","0","5","10207201","610207103","1.5","2","0","0"
"0","0","1","0","0","5","10207201","610207104","1.5","3","0","0"
"600","0","2","0","3","5","10207501","610207105","5.5","1","0","0"
"0","0","1","66","0","5","10207501","610207106","1.5","2","0","0"
"0","0","1","0","0","5","10207501","610207107","1.5","3","0","0"
"600","5208322","2","0","3","5","10208201","610208102","5.5","1","0","5208321"
"0","5208323","1","70","0","5","10208201","610208103","1.5","2","0","0"
"0","0","1","0","0","5","10208201","610208104","1.5","3","0","0"
"600","0","2","0","3","5","10208501","610208105","5.5","1","0","0"
"0","0","1","70","0","5","10208501","610208106","1.5","2","0","0"
"0","0","1","0","0","5","10208501","610208107","1.5","3","0","0"
"600","5209322","2","0","3","5","10209201","610209102","5.5","1","0","5209321"
"0","5209323","1","55","0","5","10209201","610209103","1.5","2","0","0"
"0","0","1","0","0","5","10209201","610209104","1.5","3","0","0"
"600","0","2","0","3","5","10209501","610209105","5.5","1","0","0"
"0","0","1","60","0","5","10209501","610209106","1.5","2","0","0"
"0","0","1","0","0","5","10209501","610209107","1.5","3","0","0"
"600","5210322","2","0","3","5","10210201","610210102","5.5","1","0","5210321"
"0","5210323","1","65","0","5","10210201","610210103","1.5","2","0","0"
"0","0","1","0","0","5","10210201","610210104","1.5","3","0","0"
"600","0","2","0","3","5","10210501","610210105","5.5","1","0","0"
"0","0","1","60","0","5","10210501","610210106","1.5","2","0","0"
"0","0","1","0","0","5","10210501","610210107","1.5","3","0","0"
"600","5211322","2","0","3","5","10211201","610211102","5.5","1","0","5211321"
"0","5211323","1","40","0","5","10211201","610211103","1.5","2","0","0"
"0","0","1","0","0","5","10211201","610211104","1.5","3","0","0"
"600","0","2","0","3","5","10211501","610211105","5.5","1","0","0"
"0","0","1","45","0","5","10211501","610211106","1.5","2","0","0"
"0","0","1","0","0","5","10211501","610211107","1.5","3","0","0"
"600","5212322","2","0","3","5","10212201","610212102","5.5","1","0","5212321"
"0","5212323","1","60","0","5","10212201","610212103","1.5","2","0","0"
"0","0","1","0","0","5","10212201","610212104","1.5","3","0","0"
"600","0","2","0","3","5","10212501","610212105","5.5","1","0","0"
"0","0","1","60","0","5","10212501","610212106","1.5","2","0","0"
"0","0","1","0","0","5","10212501","610212107","1.5","3","0","0"
"600","5213322","2","0","3","5","10213201","610213102","5.5","1","0","5213321"
"0","5213323","1","60","0","5","10213201","610213103","1.5","2","0","0"
"0","0","1","0","0","5","10213201","610213104","1.5","3","0","0"
"600","0","2","0","3","5","10213501","610213105","5.5","1","0","0"
"0","0","1","60","0","5","10213501","610213106","1.5","2","0","0"
"0","0","1","0","0","5","10213501","610213107","1.5","3","0","0"
"600","5213332","2","0","5.5","5","10213251","610213152","5.5","1","0","5213331"
"0","5213333","1","70","0","5","10213251","610213153","1.5","2","0","0"
"0","0","1","0","0","5","10213251","610213154","1.5","3","0","0"
"600","0","2","0","5.5","5","10213551","610213155","5.5","1","0","0"
"0","0","1","70","0","5","10213551","610213156","1.5","2","0","0"
"0","0","1","0","0","5","10213551","610213157","1.5","3","0","0"
"600","5214322","2","0","3","5","10214201","610214102","5.5","1","0","5214321"
"600","5214323","2","0","3","5","10214201","610214103","1.5","2","0","0"
"0","0","1","0","0","5","10214201","610214104","1.5","3","0","0"
"600","0","2","0","3","5","10214501","610214105","5.5","1","0","0"
"600","0","2","0","3","5","10214501","610214106","1.5","2","0","0"
"0","0","1","0","0","5","10214501","610214107","1.5","3","0","0"
