3006866bb9ef2fcf8187dbb859a1ddf5b8933a09b9c22662c9c696951f07d81b,0c714b1fda0c9cf4776a31c96abea36b87654b56887d59404444abad7628c881,601a845810ace2370816585a4ebf0389faf1211c449a3e2080cfd33dad761d62,4b60f12b99920fc0d225b5a6f528321f50a0c3609719ae2bad7d552397390a93,097ebe83c506106f6e94bcb373136798960bed08627f4c67fbbe5271517bfca8,3a870561182c03b4302f6c0d8c6ee6cccaf580e2a474e6684d81c297a6bd9c87,35ad45306962c4f8ae36cc1ce8bb1711bab69f36a3506a3c67573c8e3eaf454c,6e81f73f79608991490d1792129f6e5975a17d59a2a175f0551b336fba2db9d3,efb26e4480fec08fdce0a52d39261a1663600a2466cc10b1627b08f1493817fe,7fce2ac4cc4b8b3c896b61c4307a105e54765910a06bdeba0fdb7e014257cc3c,a1116a47f9ce8bc8726529a9a2f8421ce79ed2044e14774d44f616c5764c89b0
"1","1.65","1","1001","100","1","-194","118511","1","72","taq_karin_idle"
"","","21","1002","0","vo_minigame_1009","","vo_minigame_1009_top_001","1","0",""
"0","0","11","1003","8","118511","0","賞品も用意して\nいますので頑張って\nくださいね♪","1","0","0"
"","0.2","3","1004","1","118511","","taq_karin_talk_normal","1","",""
"","","91","1005","","1003","","","1","",""
"","0.2","3","1006","1","118511","","taq_karin_idle","1","",""
"1","1.65","1","2001","100","1","-194","118511","2","72","taq_karin_idle"
"","","21","2002","0","vo_minigame_1009","","vo_minigame_1009_top_002","2","0",""
"0","0","11","2003","8","118511","0","みなさんの知識が\n試されますよ","2","0","0"
"","0.2","3","2004","1","118511","","taq_karin_talk_thinking","2","",""
"","","91","2005","","2003","","","2","",""
"","0.2","3","2006","1","118511","","taq_karin_idle","2","",""
"1","1.65","1","3001","100","1","-194","118511","3","72","taq_karin_idle"
"","","21","3002","0","vo_minigame_1009","","vo_minigame_1009_top_003","3","0",""
"0","0","11","3003","8","118511","0","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","3","0","0"
"","0.2","3","3004","1","118511","","taq_karin_talk_surprise","3","",""
"","","91","3005","","3003","","","3","",""
"","0.2","3","3006","1","118511","","taq_karin_idle","3","",""
"1","1.65","1","4001","100","1","-194","118511","4","72","taq_karin_idle"
"","","21","4002","0","vo_minigame_1009","","vo_minigame_1009_top_004","4","0",""
"0","0","11","4003","8","118511","0","わからないときは\n勘に頼ってみても\nいいと思います","4","0","0"
"","0.2","3","4004","1","118511","","taq_karin_talk_normal2","4","",""
"","","91","4005","","4003","","","4","",""
"","0.2","3","4006","1","118511","","taq_karin_idle","4","",""
"1","1.65","1","5001","100","1","-194","118511","5","72","taq_karin_idle"
"","","21","5002","0","vo_minigame_1009","","vo_minigame_1009_top_005","5","0",""
"0","0","11","5003","7","118511","0","仲よく協力して\n全問正解を\n目指してくださいね♪","5","0","0"
"","0.2","3","5004","1","118511","","taq_karin_talk_joy3","5","",""
"","","91","5005","","5003","","","5","",""
"","0.2","3","5006","1","118511","","taq_karin_idle","5","",""
