b0589e09f05581f5fb302f117c2ecb315e9d5cccdcf2a0a4f1711f86cfc2c3bf,179ae58da12b42810f6a2ecc238159433fdce3d3e83d1b0f0a4168a949ebe110,15a73ecb914c5a3ecba5b9749bfa19441640a0eb9eb5abf8487336158767e338,ba3069434e829a22afad0c6ed3b2749b6582b02d1849b495477fcdd36cd202b5,2a426d902e184b5b7eac531a0ad03aca3d46dc09d767db528c1c37a65a2d4efe,a2ece2e3043565cafb71332200a28c61dbf79ad884eb16fd91abf6562f7c81bb,6cab57ca04f36a39f5ecf1acfa9ac1f27a91395b19439b88d45760229e61748f,2640b78a1d1d440e2b5b79dcb55b5d7bd62750d9b4b7c10086bc439d40c16ef6,d3d425e18cae5375af36f6ff2d8acb443d0b4d8adfbcbf6325ec2a0ea6fdc899,1318e850d97849e0885646fc643ffae0aa660d9f5188811f4ff48748e52e4096,fe0a389cbcffb2d61fa15b34a38bbede5fa3f3fa3b856a2870c54be21bc503b5,9a3fcdb12aa219f93c7bdd7505b715fb1db07751b9819c7da9aea70ad5eb4bb5,ef1569f4d2fa10d983a9a47baa701267ae5cbe5bb86ae58c0eecd96d63a0b057,78e1a4a1a53ad296959b7c4e88ec5265ad3f18a517564ad9cf4936b9b2332107
"タルグム地方","0","0","bgm_M32","1","bgm_M32","0","20001101","0","201","1","0","0","20001"
"タルグム地方","0","0","bgm_M32","0","bgm_M32","0","20001201","0","201","1","0","0","20001"
"マシーナ地方","0","0","bgm_M98","0","bgm_M98_2","0","20002101","0","201","1","0","0","20002"
"マシーナ地方","0","0","bgm_M98","0","bgm_M98_2","0","20002201","0","201","1","0","0","20002"
"ランドソル郊外","0","0","bgm_M106","0","bgm_M106","0","20003101","0","201","1","0","0","20003"
"ランドソル郊外","0","0","bgm_M106","0","bgm_M106","0","20003201","0","201","1","0","0","20003"
"タパスビーチ周辺","0","0","bgm_M112","0","bgm_M112","0","20004101","0","201","1","0","0","20004"
"タパスビーチ周辺","0","0","bgm_M112","0","bgm_M112","0","20004201","0","201","1","0","0","20004"
"イルシオンの孤島","0","0","bgm_M121","0","bgm_M121","0","20005101","0","201","1","0","0","20005"
"イルシオンの孤島","0","0","bgm_M121","0","bgm_M121","0","20005201","0","201","1","0","0","20005"
"王都ランドソル","0","0","bgm_M128","0","bgm_M128","0","20006101","0","201","1","0","85","20006"
"王都ランドソル","0","0","bgm_M128","0","bgm_M128","0","20006201","0","201","1","0","0","20006"
"ランドソル郊外","0","0","bgm_M135","1","bgm_M135","0","20007101","0","201","1","0","0","20007"
"霊界","208","202","bgm_M29","2","bgm_M29","0","20007102","1","201","1","80","0","20007"
