467056c24382a70200dcd99d6c6be83decdf601cbd222a236c7974cd7eb57c76,8cae4bb8a37a4210685ded64585a8894a4d1083d683fa86603dc27b99ff06f52,1e33e66d817097b0a689704683cb22c3e32aef98b6220dd4f7a835ddc6bf3dba,37311c064ce592231bca35f6a3bb2f18f4ec025a846f79ed409f486ce8125ec2,14762308645cb9c41201c8efb9a7ef1bcfd86fd81ee25430d8e9681152458763,5f6d86ea483a11d6b28694e701c06032d917c22fa60019f7661265a909036d2f,d5b0b908179e684cdfc2be1fc58bc6ca73b6a38d0be0b3023812d3d82ebe9cb7,4cec0fb9ecf8be22f2794c50f671520d5b7c89ecbc4c0356318871fe74a7420f
"ガーゴイル（EASY）をクリアしよう","1","0","110001","111","110001","90110001","70000"
"ガーゴイル（NORMAL）をクリアしよう","1","0","110002","112","110001","90110002","70000"
"ガーゴイル（HARD）をクリアしよう","1","0","110003","113","110001","90110003","70000"
"ガーゴイル（VERY HARD）をクリアしよう","1","0","110004","114","110001","90110004","70000"
"ガーゴイル（EXTREME）をクリアしよう","1","0","110005","115","110001","90110005","70000"
"マグスガーゴイル（EASY）をクリアしよう","1","0","120001","121","110001","90120001","70000"
"マグスガーゴイル（NORMAL）をクリアしよう","1","0","120002","122","110001","90120002","70000"
"マグスガーゴイル（HARD）をクリアしよう","1","0","120003","123","110001","90120003","70000"
"マグスガーゴイル（VERY HARD）をクリアしよう","1","0","120004","124","110001","90120004","70000"
"マグスガーゴイル（EXTREME）をクリアしよう","1","0","120005","125","110001","90120005","70000"
"ガードガーゴイル（EASY）をクリアしよう","1","0","130001","131","110001","90130001","70000"
"ガードガーゴイル（NORMAL）をクリアしよう","1","0","130002","132","110001","90130002","70000"
"ガードガーゴイル（HARD）をクリアしよう","1","0","130003","133","110001","90130003","70000"
"ガードガーゴイル（VERY HARD）をクリアしよう","1","0","130004","134","110001","90130004","70000"
"ガードガーゴイル（EXTREME）をクリアしよう","1","0","130005","135","110001","90130005","70000"
"ガーゴイル・バースト（EASY）をクリアしよう","1","0","140001","141","110001","90140001","70000"
"ガーゴイル・バースト（NORMAL）をクリアしよう","1","0","140002","142","110001","90140002","70000"
"ガーゴイル・バースト（HARD）をクリアしよう","1","0","140003","143","110001","90140003","70000"
"ガーゴイル・バースト（VERY HARD）をクリアしよう","1","0","140004","144","110001","90140004","70000"
"ガーゴイル・バースト（EXTREME）をクリアしよう","1","0","140005","145","110001","90140005","70000"
"ガーゴイル・マギ（EASY）をクリアしよう","1","0","150001","151","110001","90150001","70000"
"ガーゴイル・マギ（NORMAL）をクリアしよう","1","0","150002","152","110001","90150002","70000"
"ガーゴイル・マギ（HARD）をクリアしよう","1","0","150003","153","110001","90150003","70000"
"ガーゴイル・マギ（VERY HARD）をクリアしよう","1","0","150004","154","110001","90150004","70000"
"ガーゴイル・マギ（EXTREME）をクリアしよう","1","0","150005","155","110001","90150005","70000"
