5c2e13fefe5919af462358bd8a31c6244369b4cffa538a3ae7e4de9eff67c16e,1d71e9dd7eaef89cc1572ed53f8acd42d43a605f0f6bf94de2d4db071d009f32,7afdec528462ff6f945827b322dba6104a39f81baaf8f44e823ce68d77e96a17,df811f95c929d99a322d0d2d57bca684e19dc7a4f30b41335ea66c96a573a029,08fee1e0a64a974f8dc81db0fb99ebc427da1f11f20a299d906f800850b84c7c,575e6bb56336135db3206c49f52daf19955c96be3a4f95fa3cfbc57d8a433ed2,7211a740a715f812f30a37a49c47c782c4e80e916de25b986093e443b75bff46,29d5293654ed816e5cebd1327963eb00b7bafe833f9ef1c8d1c30f193e06f524
"1","1","0","52001","0","1","【料理】ダイスが2個に増える","1"
"1","1","0","52002","0","1","【料理】ダイスの目が必ず「1」になる","2"
"1","2","0","52002","0","3","【料理】次のターン数のカウントをスキップする","3"
"1","1","0","52004","0","1","【料理】ダイスの目が必ず「4」になる","4"
"1","1","0","52006","0","1","【料理】ダイスの目が\n「4・5・6」のみになる","5"
"1","1","0","52007","0","1","【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる","6"
"1","1","0","52003","0","1","【料理】ダイスの目が必ず「5」になる","7"
"1","7","0","52008","0","2","【料理】マイルマスの獲得マイルが200%アップする","8"
"2","2","0","4","0","3","【イベント】次のターン数のカウントをスキップする","9"
"2","3","0","5","0","2","【イベント】マイルマスの獲得マイルが100%アップする","10"
"2","5","0","6","0","2","【イベント】ミニゲームの獲得マイルが100%アップする","11"
"2","4","0","7","0","3","【イベント】マイルショップの全商品が20%以上割引される","12"
"1","1","0","52009","0","1","【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる","13"
"1","6","0","52010","0","2","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","14"
"1","1","0","52011","0","1","【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる","15"
"1","1","0","52012","0","1","【料理】ダイスの目が\n「1・2・3」のみになる","16"
"1","2","0","52012","0","3","【料理】次のターン数のカウントをスキップする","17"
"1","8","0","52014","0","1","【料理】移動時にマイルマスをスキップできる","18"
"1","1","0","52005","0","1","【料理】次回移動時に1マス分多く進める","19"
"1","1","2","52014","2","1","【料理】次回移動時に1マス分多く進める","20"
"1","1","0","52015","0","1","【料理】ダイスが2個に増える","21"
"1","1","0","52015","0","1","【料理】次回移動時に1マス分多く進める","22"
"1","1","0","52016","0","1","【料理】ダイスの目が必ず「6」になる","23"
"1","9","0","52017","0","1","【料理】移動系カテゴリーの料理が食べられなくなる","24"
"1","1","0","52018","0","1","【料理】ダイスの目が必ず「3」になる","25"
"1","1","0","52019","0","1","【料理】ダイスの目が必ず「8」になる","26"
"2","2","0","98011","0","3","【イベント】次のターン数のカウントをスキップする","27"
"2","2","0","98012","0","3","【イベント】次のターン数のカウントをスキップする","28"
"1","10","0","52020","0","2","【料理】移動時にマイルマスをスキップできる","29"
"1","1","2","52020","2","1","【料理】次回移動時に1マス分多く進める","30"
"1","10","0","52021","0","2","【料理】移動時にトレジャーマスをスキップできる","31"
"1","1","0","52022","0","1","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","32"
"1","1","0","52023","0","1","【料理】ダイスの目が1ターン目は必ず「6」に、2ターン目は必ず「3」になる","33"
"1","1","0","52024","0","1","【料理】次回移動時に3マス分多く進める","34"
"1","10","0","52025","0","2","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","35"
"1","1","0","52027","0","1","【料理】ダイスの目が必ず「5」になる","36"
"1","1","0","52028","0","1","【料理】ダイスの目が\n「1・2」のみになる","37"
"1","1","0","52029","0","1","【料理】ダイスの目が必ず「2」になる","38"
"1","2","0","52029","0","3","【料理】次のターン数のカウントをスキップする","39"
"2","4","0","8","0","3","【イベント】マイルショップの全商品が20%以上割引される","40"
