23c38d2751f44eef01f03ceaf21e2ab6852fe4b91f8ebdee915513580f096df1,5d517eced234f3081a03e60808cd9d13f5db1d9d5eeaee867e3e36042eb55a79,18c5b48d806c2df403327bba09f9c1e8c11a80aced776c55093f8912c49b3d9b,602ad4db957b9b17b2a36c55389ff0fe7a2ebcce0f5a3f76d51b957e8ab8e0ef,888a03e72dc665e1e1c697cdbd687bbdd5b34aef9958e52a7a1c96e16244c989,238233365599d654f45af066e916944891a1fa2df97080a138c7aeb2adc7afdb,9eab5542623d8219a774652737018311312dcd5aeda550cc49dd352f33f9ce71,229137d8406ce4a13bf29a43c09c83450d773a85fc80892f8cf75439a4bf558d,e3aab2d081be4444f43bce3b70142f19d9b1ff0d26e46c360aaf519946b35bc7
"600","1101002","0","0","0","0","0","21","1101001"
"2400","1101003","0","0","0","0","600","22","1101002"
"1","1","0","0","0","50","-1500","20","1101003"
"900","1101012","0","0","0","0","0","21","1101011"
"2100","1101013","0","0","0","0","700","22","1101012"
"1","1","0","0","0","200","-1500","20","1101013"
"400","1101022","0","0","0","0","0","21","1101021"
"2000","1101023","0","0","0","0","500","22","1101022"
"1","1","0","0","0","350","-1500","20","1101023"
"1000","1101032","0","0","0","0","0","21","1101031"
"1800","1101033","0","0","0","0","900","22","1101032"
"1","1","0","0","0","500","-1500","20","1101033"
"500","1101042","0","0","0","0","0","21","1101041"
"1600","1101043","0","0","0","0","800","22","1101042"
"1","1","0","0","0","750","-1500","20","1101043"
"1","25","0","2","0","2","2","1","1101101"
"1","1","0","0","0","-100","-2000","20","1102001"
"1","20","0","2","0","10","2","1","1102101"
"2","200000","0","2","0","0","0","10","1102102"
"500","1103002","0","0","0","0","0","21","1103001"
"0","1000","0","2","0","0","0","3","1103002"
"3","-15","0","2","0","0","3000","2","1202001"
"3","15","0","1","0","0","30000","2","1204001"
"3","10","0","1","0","0","30000","2","1205001"
"3","10","0","1","0","0","30000","2","1206001"
"3","10","0","1","0","0","30000","2","1207001"
