8aac2102e95dff134368ad169c5f5b0ca78a55a92b99964ddf8f85d647a025d2,e77a4b636896a16219f3445a9de94c1abb4e5a229f497478887c698ceead8cf6,35dd7351ccdfcb7b1226606019f31e82a2c25f9c27d2f8891cebaf8b011e0e72,20cb8448a3b9e62760723cbd4b84895626951fbe2323c7349bcc17635829d89a,d264f86296bb2bcb9332ce57b9ea3eab4c1bd3056eea6d8424affb6a59416cf6,198783e92093bc181ff623bcb61e146f2c416eb8eb718fece0f42cfac9813d41,0fb8edfac04f70100004d48f133c0d051c5eefeb10bff3c85e27add6f73a21f8,480723e269817c88f62209b6f338a9a6a2845fb8220236216ac5f7b47032fdfd,5ce3d56550a2e8c1f69620436c539db673256987d1df5536e7cd6918490b1451,5c568920dad8d14584c8b6c9dfc71d4cf808778b035a9fe0ae0e002bef017bd7,059dd1d159ee6a66679cb6a7c87558a7d1ae7ee1bcada2bea30a618b72c3df64,7a684df9db25b05313b5f63a12c075d1ec866564f45d56e72e1b346c132d6770
"0","0","0","0","0","1","0.8","4","1009801","1","0","100980101"
"0","vo_lsv","0","0","vo_lsv_0101","2","0","2","1009801","0","0","100980102"
"0","0","300","1","0","3","0","1","1009801","0","2","100980103"
"0","0","0","0","0","4","2.3","4","1009801","1","0","100980104"
"0","0","280","2","0","5","0","1","1009801","0","2","100980105"
"0","0","0","0","0","6","3","4","1009801","1","0","100980106"
"0","vo_lsv","0","0","vo_lsv_0102","7","0","2","1009801","0","0","100980107"
"0","0","300","3","0","8","0","1","1009801","0","2.05","100980108"
"0","0","0","0","0","9","2.05","4","1009801","1","0","100980109"
"0","0","327","4","0","10","0","1","1009801","0","1.8","100980110"
"0","0","0","0","0","11","2.8","4","1009801","1","0","100980111"
"0","vo_lsv","0","0","vo_lsv_0103","12","0","2","1009801","0","0","100980112"
"0","0","300","5","0","13","0","1","1009801","0","2.3","100980113"
"0","0","0","0","0","14","2.5","4","1009801","1","0","100980114"
"0","0","275","6","0","15","0","1","1009801","0","1.9","100980115"
"0","0","0","0","0","16","2.9","4","1009801","1","0","100980116"
"0","vo_lsv","0","0","vo_lsv_0104","17","0","2","1009801","0","0","100980117"
"0","0","300","7","0","18","0","1","1009801","0","2.7","100980118"
"0","0","0","0","0","19","2.9","4","1009801","1","0","100980119"
"0","0","310","8","0","20","0","1","1009801","0","2.3","100980120"
"0","0","0","0","0","21","2.3","4","1009801","1","0","100980121"
"0","0","250","9","0","22","0","1","1009801","0","1.8","100980122"
"0","0","0","0","0","23","2.8","4","1009801","1","0","100980123"
"0","vo_lsv","0","0","vo_lsv_0105","24","0","2","1009801","0","0","100980124"
"0","0","320","10","0","25","0","1","1009801","0","2.5","100980125"
"0","0","0","0","0","26","2.5","4","1009801","1","0","100980126"
"15","0","165","11","0","27","0","1","1009801","0","0.7","100980127"
"0","0","0","0","0","1","0.8","4","1009802","1","0","100980201"
"0","vo_lsv","0","0","vo_lsv_0201","2","0","2","1009802","0","0","100980202"
"0","0","300","1","0","3","0","1","1009802","0","1.51","100980203"
"0","0","0","0","0","4","1.51","4","1009802","1","0","100980204"
"0","0","300","2","0","5","0","1","1009802","0","1.5","100980205"
"0","0","0","0","0","6","2.5","4","1009802","1","0","100980206"
"0","vo_lsv","0","0","vo_lsv_0202","7","0","2","1009802","0","0","100980207"
"0","0","300","3","0","8","0","1","1009802","0","1.8","100980208"
"0","0","0","0","0","9","1.8","4","1009802","1","0","100980209"
"0","0","300","4","0","10","0","1","1009802","0","1.1","100980210"
"0","0","0","0","0","11","2.1","4","1009802","1","0","100980211"
"0","vo_lsv","0","0","vo_lsv_0203","12","0","2","1009802","0","0","100980212"
"0","0","300","5","0","13","0","1","1009802","0","1.95","100980213"
"0","0","0","0","0","14","1.95","4","1009802","1","0","100980214"
"0","0","310","6","0","15","0","1","1009802","0","2.05","100980215"
"0","0","0","0","0","16","2.05","4","1009802","1","0","100980216"
"0","0","150","7","0","17","0","1","1009802","0","0.8","100980217"
"0","0","0","0","0","18","1.8","4","1009802","1","0","100980218"
"0","vo_lsv","0","0","vo_lsv_0204","19","0","2","1009802","0","0","100980219"
"0","0","300","8","0","20","0","1","1009802","0","1.7","100980220"
"0","0","0","0","0","21","2.1","4","1009802","1","0","100980221"
"0","0","327","9","0","22","0","1","1009802","0","2.3","100980222"
"0","0","0","0","0","23","3.3","4","1009802","1","0","100980223"
"0","vo_lsv","0","0","vo_lsv_0205","24","0","2","1009802","0","0","100980224"
"0","0","300","10","0","25","0","1","1009802","0","1.83","100980225"
"0","0","0","0","0","26","2.4","4","1009802","1","0","100980226"
"0","0","300","11","0","27","0","1","1009802","0","1.7","100980227"
"0","0","0","0","0","28","2.1","4","1009802","1","0","100980228"
"0","0","210","12","0","29","0","1","1009802","0","1.1","100980229"
"0","0","0","0","0","30","0.5","4","1009802","1","0","100980230"
"0","0","0","0","0","1","0.8","4","1009803","1","0","100980301"
"0","vo_lsv","0","0","vo_lsv_0301","2","0","2","1009803","0","0","100980302"
"0","0","300","1","0","3","0","1","1009803","0","1.87","100980303"
