130fbfa00dee6ef21e24ce164de4651b5b1b0ce7a821ca54d5f9afcc7867e21d,061726612537a2941830a895cd001fec8743e781d18f755cab502fe96a0b5b53,059456e90cf2059c6982d8d7675d492de0d777b5282ae0faaed9693cf4795314,4a0f2b4f815bb11c209650ff292eab67acd8c1da205b35f61a6dd684df2a1e12,078f1f2f3fd91034052ae495be855028b9e5718ecb77a1397edc6a594b517f3b,6e8b5a97086f89499267a62781b42f64493f6a327c2bd76a6aaf20d4598bd0ab,1270eaf282523b5360f43c7e5eff1bc7d4bcbeddce998aae329d2370a624cb8e,25b5b48f7acfe85981130c83b0be4c6488d06fcc2faf043ef88a0a29d20d617f,10701b2b81542956161a70ae18d173b02785d3937d128751babf62080b9da059,da05e3e6f1f3736fbd67c25e50fe9939f470a34cec0786d36f06cc67d5c3d17a,741c39ed03e85746c72b11338335772c163e7e67e7116ea5f77e95e40f1d2e1d,539e41636b643eb14140e53d9f76a9354040fcbf03b876bb5264d07a1e53a1a8
"31000101","1回バトルしよう","3","1000","2022/12/16 12:00:00","31000101","10","7003","0","2022/12/23 11:59:59","0","1"
"31000102","5回バトルしよう","3","1000","2022/12/16 12:00:00","31000102","10","7003","0","2022/12/23 11:59:59","0","5"
"31000103","10回バトルしよう","3","1000","2022/12/16 12:00:00","31000103","10","7003","0","2022/12/23 11:59:59","0","10"
"31000104","15回バトルしよう","3","1000","2022/12/16 12:00:00","31000104","10","7003","0","2022/12/23 11:59:59","0","15"
"31000105","20回バトルしよう","3","1000","2022/12/16 12:00:00","31000105","10","7003","0","2022/12/23 11:59:59","0","20"
"31000106","25回バトルしよう","3","1000","2022/12/16 12:00:00","31000106","10","7003","0","2022/12/23 11:59:59","0","25"
"31000107","30回バトルしよう","3","1000","2022/12/16 12:00:00","31000107","10","7003","0","2022/12/23 11:59:59","0","30"
"31000108","35回バトルしよう","3","1000","2022/12/16 12:00:00","31000108","10","7003","0","2022/12/23 11:59:59","0","35"
"31000109","40回バトルしよう","3","1000","2022/12/16 12:00:00","31000109","10","7003","0","2022/12/23 11:59:59","0","40"
"31001101","黒の王ジャバウォックに累積500万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001101","10","7004","3001","2022/12/23 11:59:59","0","5000000"
"31001102","黒の王ジャバウォックに累積750万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001102","10","7004","3001","2022/12/23 11:59:59","0","7500000"
"31001103","黒の王ジャバウォックに累積1000万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001103","10","7004","3001","2022/12/23 11:59:59","0","10000000"
"31001111","黒の王ジャバウォックに1度のバトルで250万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001111","11","7005","3001","2022/12/23 11:59:59","2500000","1"
"31001112","黒の王ジャバウォックに1度のバトルで500万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001112","11","7005","3001","2022/12/23 11:59:59","5000000","1"
"31001201","暴走のイノセントボウに累積500万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001201","20","7004","3002","2022/12/23 11:59:59","0","5000000"
"31001202","暴走のイノセントボウに累積750万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001202","20","7004","3002","2022/12/23 11:59:59","0","7500000"
"31001203","暴走のイノセントボウに累積1000万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001203","20","7004","3002","2022/12/23 11:59:59","0","10000000"
"31001211","暴走のイノセントボウに1度のバトルで250万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001211","21","7005","3002","2022/12/23 11:59:59","2500000","1"
"31001212","暴走のイノセントボウに1度のバトルで500万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001212","21","7005","3002","2022/12/23 11:59:59","5000000","1"
"31001301","ファントムバロンに累積500万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001301","30","7004","3003","2022/12/23 11:59:59","0","5000000"
"31001302","ファントムバロンに累積750万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001302","30","7004","3003","2022/12/23 11:59:59","0","7500000"
"31001303","ファントムバロンに累積1000万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001303","30","7004","3003","2022/12/23 11:59:59","0","10000000"
"31001311","ファントムバロンに1度のバトルで250万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001311","31","7005","3003","2022/12/23 11:59:59","2500000","1"
"31001312","ファントムバロンに1度のバトルで500万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001312","31","7005","3003","2022/12/23 11:59:59","5000000","1"
"31001401","テンタパスに累積500万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001401","40","7004","3004","2022/12/23 11:59:59","0","5000000"
"31001402","テンタパスに累積750万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001402","40","7004","3004","2022/12/23 11:59:59","0","7500000"
"31001403","テンタパスに累積1000万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001403","40","7004","3004","2022/12/23 11:59:59","0","10000000"
"31001411","テンタパスに1度のバトルで250万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001411","41","7005","3004","2022/12/23 11:59:59","2500000","1"
"31001412","テンタパスに1度のバトルで500万ダメージ与えよう","3","1001","2022/12/16 12:00:00","31001412","41","7005","3004","2022/12/23 11:59:59","5000000","1"
"31002101","ゴウシンに累積500万ダメージ与えよう","3","1002","2022/12/16 12:00:00","31002101","10","7004","3005","2022/12/23 11:59:59","0","5000000"
"31002102","ゴウシンに累積750万ダメージ与えよう","3","1002","2022/12/16 12:00:00","31002102","10","7004","3005","2022/12/23 11:59:59","0","7500000"
"31002103","ゴウシンに累積1000万ダメージ与えよう","3","1002","2022/12/16 12:00:00","31002103","10","7004","3005","2022/12/23 11:59:59","0","10000000"
"31002104","ゴウシンに累積1億1000万ダメージ与えよう","3","1002","2022/12/16 12:00:00","31002104","10","7004","3005","2022/12/23 11:59:59","0","110000000"
"31002111","ゴウシンに1度のバトルで250万ダメージ与えよう","3","1002","2022/12/16 12:00:00","31002111","11","7005","3005","2022/12/23 11:59:59","2500000","1"
"31002112","ゴウシンに1度のバトルで500万ダメージ与えよう","3","1002","2022/12/16 12:00:00","31002112","11","7005","3005","2022/12/23 11:59:59","5000000","1"
"31002113","ゴウシンに1度のバトルで2200万ダメージ与えよう","3","1002","2022/12/16 12:00:00","31002113","11","7005","3005","2022/12/23 11:59:59","22000000","1"
"31003101","アルマ＆オラムに累積500万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003101","10","7004","3006","2022/12/23 11:59:59","0","5000000"
"31003102","アルマ＆オラムに累積750万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003102","10","7004","3006","2022/12/23 11:59:59","0","7500000"
"31003103","アルマ＆オラムに累積1000万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003103","10","7004","3006","2022/12/23 11:59:59","0","10000000"
"31003104","アルマ＆オラムに累積1億ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003104","10","7004","3006","2022/12/23 11:59:59","0","100000000"
"31003111","アルマ＆オラムに1度のバトルで250万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003111","11","7005","3006","2022/12/23 11:59:59","2500000","1"
"31003112","アルマ＆オラムに1度のバトルで500万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003112","11","7005","3006","2022/12/23 11:59:59","5000000","1"
"31003113","アルマ＆オラムに1度のバトルで2000万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003113","11","7005","3006","2022/12/23 11:59:59","20000000","1"
"31003201","なかよしX＆名もなき芸術に累積500万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003201","20","7004","3007","2022/12/23 11:59:59","0","5000000"
"31003202","なかよしX＆名もなき芸術に累積750万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003202","20","7004","3007","2022/12/23 11:59:59","0","7500000"
"31003203","なかよしX＆名もなき芸術に累積1000万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003203","20","7004","3007","2022/12/23 11:59:59","0","10000000"
"31003204","なかよしX＆名もなき芸術に累積1億2000万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003204","20","7004","3007","2022/12/23 11:59:59","0","120000000"
"31003211","なかよしX＆名もなき芸術に1度のバトルで250万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003211","21","7005","3007","2022/12/23 11:59:59","2500000","1"
"31003212","なかよしX＆名もなき芸術に1度のバトルで500万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003212","21","7005","3007","2022/12/23 11:59:59","5000000","1"
"31003213","なかよしX＆名もなき芸術に1度のバトルで2400万ダメージ与えよう","3","1003","2022/12/16 12:00:00","31003213","21","7005","3007","2022/12/23 11:59:59","24000000","1"
