c6540dbcee850c9ee836a7e3f0f8fb342beb3f5d8963a819c53f95984311bf73,f7ab3ad553aed6ace0b32e9e02ded71d9d472f82319d078c7de918d3f45e24c1,5bf429cdebca9c5e2f2d357c101a254db465f5864238b32ceef26e861e714717,f061e584b84a07dd23f4bcc5121c5a34c4dce0498e7b0ec4b168b9687e0771e6,bfaea96e4e4f01cb9916fe7a611067d9e9679df21f70aa94159e7b8b2be12eb9,bee8126e4f752d77f987a4cdee83b6434b87b6a17cfa9389164e2869ec2c8b4c,ec917786461fb3ed96f3be7af2c68b4a1440a79e02a3920ae5c8aebe7d337baf,105f33992ca8198b025bb3afb06eaed60707f60873409783a0d1d18ead2b27d2,e7f05dfacb5a699d42baaffab41974f7b1809ad0b3adb667ccdd70e9c4bcc618,9164e371bfbde53cc88478d655fdd759286d4f998407fa5127ead8d9863ed018,a5ddb276b442d50c74d01c1e49f3e45bc541664f17e3647ce552e689c5712fa7
"cgg_idle_normal","101001","0","1","-230","-420","5","160","100","1","101"
"cgg_idle_def","101002","1","1","-230","375","1","1.6","100","105811","101"
"cgg_idle_def","101003","1","1","-230","490","1","1.6","101","106011","101"
"","101004","0","1","1","1","6","0.1","1","1","101"
"","101005","0","105811","1","1","6","0.1","1","1","101"
"","101006","0","106011","1","1","6","0.1","1","1","101"
"","101007","","0.2","","","93","","","0","101"
"","101008","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_1_001","101"
"0","101009","0","105811","0","0","11","0","7","見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","101"
"","101010","","1","","","3","0.2","1","cgg_idle_surprise1","101"
"","101011","0","105811","1","cgg_talk_surprise_kira","3","0.2","0","cgg_surprise_kira","101"
"","101012","","2.1","","","93","","","0","101"
"","101013","","1","","","3","0.2","1","cgg_idle_surprise3","101"
"","101014","","105811","","","3","0.2","1","cgg_talk_joy1","101"
"","101015","","101009","","","91","","","","101"
"","101016","","105811","","","3","0.2","1","cgg_idle_def","101"
"","101017","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_1_002","101"
"0","101018","0","106011","0","0","11","0","6","こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","101"
"","101019","","1","","","3","0.2","1","cgg_idle_reaction1","101"
"","101020","","106011","","","3","0.2","1","cgg_talk_surprise1","101"
"","101021","","2.1","","","93","","","0","101"
"","101022","","1","","","3","0.2","1","cgg_idle_nod","101"
"","101023","","106011","","","3","0.2","1","cgg_talk_bitter","101"
"","101024","","101018","","","91","","","","101"
"","101025","","0.5","","","93","","","0","101"
"","101026","","1","","","3","0.2","1","cgg_idle_normal","101"
"","101027","","106011","","","3","0.2","1","cgg_idle_def","101"
"","101028","","105811","","","3","0.2","1","cgg_idle_joy2","101"
"","101029","","105811","","","12","0.2","1.4","10","101"
"","101030","","3","","","93","","","0","101"
"","101031","","105811","","","3","0.2","1","cgg_idle_def","101"
"","101032","","106011","","","3","0.2","1","cgg_talk_surprise_dere","101"
"","101033","","106011","","","12","0.2","1.4","8","101"
"","101034","","3","","","93","","","0","101"
"","101035","","106011","","","3","0.2","1","cgg_idle_def","101"
"","101036","0","1","1","cgg_idle_surprise1","3","0.2","0","cgg_surprise1","101"
"","101037","","1","","","12","0.2","1.4","4","101"
"","101038","","3","","","93","","","0","101"
"","101039","","101026","","","101","","","0","101"
"","101040","","0","","","22","","","0.5","101"
"","101041","0","1","0","1","6","0.1","1","1","101"
"","101042","0","105811","0","1","6","0.1","1","1","101"
"","101043","0","106011","0","1","6","0.1","1","1","101"
"","101044","","0.1","","","93","","","0","101"
"","101045","","1","","","3","0","1","cgg_idle_normal","101"
"","101046","","105811","","","3","0","1","cgg_idle_def","101"
"","101047","","106011","","","3","0","1","cgg_idle_def","101"
"cgg_idle_normal","102001","0","1","-230","-420","5","160","100","1","102"
"cgg_idle_def","102002","1","1","-230","375","1","1.6","100","105911","102"
"cgg_idle_def","102003","1","1","-230","490","1","1.6","101","106411","102"
"","102004","0","1","1","1","6","0.1","1","1","102"
"","102005","0","105911","1","1","6","0.1","1","1","102"
"","102006","0","106411","1","1","6","0.1","1","1","102"
"","102007","","0.2","","","93","","","0","102"
"","102008","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_2_003","102"
"0","102009","0","105911","0","0","11","0","5","ライブ会場に到着です\n随分と大きくて\n開放的ですね…","102"
"","102010","","1","","","3","0.2","1","cgg_idle_surprise1","102"
"","102011","","105911","","","3","0.2","0","cgg_lookup","102"
"","102012","","2.6","","","93","","","0","102"
"","102013","","105911","","","3","0.2","1","cgg_talk_wish_surprise","102"
"","102014","","102009","","","91","","","","102"
"","102015","","105911","","","3","0.4","1","cgg_idle_def","102"
"","102016","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_2_004","102"
"0","102017","0","106411","0","0","11","0","5","カルミナのライブ……\nふふっ、楽しみね。\nあ、ちょっとグッズを\n見てきていいかしら。","102"
"","102018","","1","","","3","0.2","1","cgg_idle_reaction1","102"
"","102019","","106411","","","3","0.2","1","cgg_talk_surprise1","102"
"","102020","","2.6","","","93","","","0","102"
"","102021","0","1","1","cgg_idle_nod","3","0.2","0","cgg_talk_nod","102"
"","102022","","106411","","","3","0.2","1","cgg_talk_joy3_blink","102"
"","102023","","3.2","","","93","","","0","102"
"","102024","","1","","","3","0.2","1","cgg_idle_reaction5","102"
"","102025","","106411","","","3","0.2","1","cgg_talk_normal","102"
"","102026","","102017","","","91","","","","102"
"","102027","","0.5","","","93","","","0","102"
"","102028","","106411","","","3","0.2","1","cgg_idle_def","102"
"","102029","","1","","","3","0.2","1","cgg_idle_normal","102"
"","102030","","105911","","","3","0.2","1","cgg_talk_joy3_blink","102"
"","102031","","105911","","","12","0.2","1.4","10","102"
"","102032","","3","","","93","","","0","102"
"","102033","","105911","","","3","0.2","1","cgg_idle_def","102"
"","102034","","106411","","","3","0.2","1","cgg_talk_joy1","102"
"","102035","","106411","","","12","0.2","1.4","11","102"
"","102036","","3","","","93","","","0","102"
"","102037","","106411","","","3","0.2","1","cgg_idle_def","102"
"","102038","","1","","","3","0.2","1","cgg_idle_surprise3","102"
"","102039","","1","","","12","0.2","1.4","6","102"
"","102040","","3","","","93","","","0","102"
"","102041","","102029","","","101","","","0","102"
"","102042","","0","","","22","","","0.5","102"
"","102043","0","1","0","1","6","0.1","1","1","102"
"","102044","0","105911","0","1","6","0.1","1","1","102"
"","102045","0","106411","0","1","6","0.1","1","1","102"
"","102046","","0.1","","","93","","","0","102"
"","102047","","1","","","3","0","1","cgg_idle_normal","102"
"","102048","","105911","","","3","0","1","cgg_idle_def","102"
"","102049","","106411","","","3","0","1","cgg_idle_def","102"
"cgg_idle_normal","103001","0","1","-230","-420","5","160","100","1","103"
"cgg_idle_def","103002","1","1","-230","375","1","1.6","100","100211","103"
"cgg_idle_def","103003","1","1","-230","490","1","1.6","101","100111","103"
"","103004","0","1","1","1","6","0.1","1","1","103"
"","103005","0","100211","1","1","6","0.1","1","1","103"
"","103006","0","100111","1","1","6","0.1","1","1","103"
"","103007","","0.2","","","93","","","0","103"
"","103008","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_3_005","103"
"0","103009","0","100211","0","0","11","0","6","次は何が出るのかな？\n楽しみだね、\nヒヨリちゃん","103"
"","103010","","1","","","3","0.2","1","cgg_idle_surprise1","103"
"","103011","","100211","","","3","0.2","1","cgg_talk_wish","103"
"","103012","","2.4","","","93","","","0","103"
"","103013","","100211","","","3","0.2","1","cgg_talk_joy3","103"
"","103014","","103009","","","91","","","","103"
"","103015","","100211","","","3","0.2","1","cgg_idle_def","103"
