e4efce34ec2834319be4fbac3bc2925d5afc2a92c2ff237f2c6ab40241e3451c,5d58ed66c614f2bbb59651a07c15549046be8a76b65b41ee0378d598ac685723,57fdc081d9d86a9cbcbf2ec808a3288cc6317d7ba6eab4a4d98491da4897f883,23afaa453379bb303415d0aa02529c541ec2853077a3e930794c803e56564cff,b64d0bfd639b33b3c78e16aeb482d2668cbfa3054718418af872ba5152d7db3e
"100","30109001","91002","8","1"
"10","30109001","20002","2","2"
"100","30109002","91002","8","3"
"40000","30109002","94002","12","4"
"300","30109003","91002","8","5"
"500","30109004","91002","8","6"
"500","30109005","91002","8","7"
"1000000","30109005","94002","12","8"
"500","30109006","91002","8","9"
"500000","30109006","94002","12","10"
"600","30110001","91002","8","11"
"200000","30110006","94002","12","12"
