694eab4de484d26829e6b036b9bc03490a4fb835708fabfaa979fef8bcf25276,153951b81736fbd94f336dc771c030b04a6442e8bcbaeaf9aae1a3584dbb2224,24d0ba9b284aebc7eec489e2c6ef3e12236bce5517e843e6645474a5b2ffef50,b2f5dcb3fa098ec116ba2b001b5b3d4e75d7fdcf2a524bc82d91018c5c11f638,a32270efbbb9234b00875526efebe27bb7769044fae8a6ac1c04a84ca6d5721a,59858c0722d1dd0bb144a17573718ffcd8c711a1ecb611191c9a16a2c57eb13e,63984728b7adf0be71ad69f5ba0dea0aa07326261169d13a759c69011947eb67,87e3ce01dc0e99095f800535f7e9808795aad22dc76ab1e79903b849d89898e9,cf57d8308631e1846ac669d8c7bc6d65f9c47b936be9bad008d8708328c65c6c,52aeeb1b810065b0454b2368ac43609b94ea6114220de4643975b09354a8045c,d35ac3f71a0666ba1704dfac9d95acb34197d8e15a48b82199d36c8076c7bf7f
"ttk_idle_def","5","1","850","1","1010001","1","102611","100","1","-120"
"","31","2","0","1","1010002","","2","0","1","1"
"","31","1","-80","1","1010003","","1","-120","1","1"
"","93","1","","1","1010004","","","","",""
"","21","vo_minigame_1005","0","1","1010005","","vo_minigame_1005_top_000","0","",""
"","3","102611","0","1","1010006","0.3","ttk_doya","ttk_idle_doya","0.3","1"
"","11","102611","8","1","1010007","0","任された仕事は\nきちんとやるよ","","0",""
"","91","0","","1","1010008","","","","",""
"ttk_idle_def","5","1","850","2","1020001","1","102611","100","1","-120"
"","31","2","0","2","1020002","","2","0","1","1"
"","31","1","-80","2","1020003","","1","-120","1","1"
"","93","1","","2","1020004","","","","",""
"","21","vo_minigame_1005","0","2","1020005","","vo_minigame_1005_top_001","0","",""
"","3","102611","0","2","1020006","0.3","ttk_idle_smile","ttk_idle_def","0.3","1"
"","11","102611","8","2","1020007","0","あたしの前に\n現れたこと\n後悔させてあげる","","0",""
"","91","0","","2","1020008","","","","",""
"ttk_idle_def","5","1","850","3","1030001","1","102611","100","1","-120"
"","31","2","0","3","1030002","","2","0","1","1"
"","31","1","-80","3","1030003","","1","-120","1","1"
"","93","1","","3","1030004","","","","",""
"","21","vo_minigame_1005","0","3","1030005","","vo_minigame_1005_top_002","0","",""
"","3","102611","0","3","1030006","0.3","ttk_joy","ttk_idle_joy","0.1","1"
"","11","102611","8","3","1030007","0","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","","0",""
"","93","2.2","","3","1030008","","","","",""
"","3","102611","1","3","1030009","0.3","ttk_talk_sad","","0.3",""
"","93","3","","3","1030010","","","","",""
"","3","102611","1","3","1030011","0.3","ttk_idle_def","","0.3",""
"","91","0","","3","1030012","","","","",""
"ttk_idle_def","5","1","850","4","1040001","1","102611","100","1","-120"
"","31","2","0","4","1040002","","2","0","1","1"
"","31","1","-80","4","1040003","","1","-120","1","1"
"","93","1","","4","1040004","","","","",""
"","21","vo_minigame_1005","0","4","1040005","","vo_minigame_1005_top_003","0","",""
"","3","102611","0","4","1040006","0.3","ttk_shock","ttk_idle_shock","0.3","1"
"","11","102611","8","4","1040007","0","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","","0",""
"","93","5","","4","1040008","","","","",""
"","3","102611","1","4","1040009","0.3","ttk_idle_def","","0.3",""
"","93","0.7","","4","1040010","","","","",""
"ttk_idle_def","5","1","850","5","1050001","1","102611","100","1","-120"
"","31","2","0","5","1050002","","2","0","1","1"
"","31","1","-80","5","1050003","","1","-120","1","1"
"","93","1","","5","1050004","","","","",""
"","21","vo_minigame_1005","0","5","1050005","","vo_minigame_1005_top_004","0","",""
"","3","102611","0","5","1050006","0.3","ttk_surprise","","0.3",""
"","11","102611","8","5","1050007","0","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","","0",""
"","93","0.9","","5","1050008","","","","",""
"","3","102611","1","5","1050009","0.3","ttk_talk_anger","","0.3",""
"","93","0.8","","5","1050010","","","","",""
"","3","102611","0","5","1050011","0.3","ttk_sad","ttk_talk_sad","0.3","1"
"","93","5","","5","1050012","","","","",""
"","3","102611","1","5","1050013","0.3","ttk_idle_def","","0.3",""
"","91","0","","5","1050014","","","","",""
"ttk_idle_def","5","1","850","6","1060001","1","102611","100","1","-120"
"","31","2","0","6","1060002","","2","0","1","1"
"","31","1","-80","6","1060003","","1","-120","1","1"
"","93","1","","6","1060004","","","","",""
"","21","vo_minigame_1005","0","6","1060005","","vo_minigame_1005_top_005","0","",""
"","3","102611","1","6","1060006","0.3","ttk_idle_worry","","0.3",""
"","11","102611","8","6","1060007","0","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","","0",""
"","93","7","","6","1060008","","","","",""
"","3","102611","0","6","1060009","0.3","ttk_amz","ttk_idle_def","0.3","1"
"","91","0","","6","1060010","","","","",""
