deccdae86e3361542eda9685c0ee65cc204543b34b7714746060c4b303c4f620,e9330dcc390f4435e56032e9021890094c42b671625b7e5c8a2ec22d652a2004,77895009f158a37c58bca465923cdd459b35aa421231e6b79b25a984ad1acece,cb7d9111b0a52e5b8b71587c343d6680408f1c162d3da9536329e183c5d8d6f0,64bbb912eef545a078ce3039127d5e1da7c229cf39e845a710a4fe65b76d7f87
"10151110","10151","信頼度","1","6124101"
"10153102","10153","信頼度","1","6017101"
"10168102","10168","信頼度","1","6144101"
"0","20015","信頼度","1","0"
"0","20017","信頼度","1","0"
"0","20018","信頼度","1","0"
"0","20019","信頼度","1","0"
"0","20020","信頼度","1","0"
"0","20022","信頼度","1","0"
"0","20023","信頼度","1","0"
"0","20024","信頼度","1","0"
"0","20025","信頼度","1","0"
"0","20026","信頼度","1","0"
"0","20028","信頼度","1","0"
"0","20029","信頼度","1","0"
"0","20030","信頼度","1","0"
"0","20031","信頼度","1","0"
"0","20032","信頼度","1","0"
"0","20035","信頼度","1","0"
"0","20037","信頼度","1","0"
"0","20038","信頼度","1","0"
"0","20042","信頼度","1","0"
"0","20043","信頼度","1","0"
"0","20048","信頼度","1","0"
"0","20049","信頼度","1","0"
"0","20051","信頼度","1","0"
"0","20054","信頼度","1","0"
"0","20055","信頼度","1","0"
"0","20056","信頼度","1","0"
"0","20061","信頼度","1","0"
