29809d200bf688bfbe0e1b00e042885edb3afa4b0ec8aa2b2fff880caabc9188,b6985ac0625e40c2cae5ad91e83989fe702823bf5a720cd451d96b1a8a4e97b1,2888fa167601824b3ce8f74fcaea560f59a5d436f2d52e8dea6d5564e68c8310,342e8da74ee54cef6963fb34fd923ac8402c71a1e4809e7bba36b134d7d5afd0,3e073478dce5bcc6a7619c33fa6a4ac206e992cb7f276c324dbe8bcf4e30adac
"1","1","3","2","10201"
"2","2","3","2","10202"
"3","3","3","2","10203"
"4","4","10","2","10301"
"5","5","10","2","10302"
"6","6","10","2","10303"
"7","7","10","2","10304"
"8","8","20","2","10401"
"9","9","20","2","10402"
"10","10","20","2","10403"
"11","11","20","2","10404"
"12","12","20","2","10405"
"13","13","20","2","10406"
"14","14","20","2","10407"
"15","15","20","2","10408"
"16","16","20","2","10409"
"17","1","3","1","10701"
"18","2","3","1","10601"
"19","3","3","1","10602"
"20","4","3","1","10603"
"21","5","3","1","10604"
"22","6","10","1","11301"
"23","7","10","1","11302"
"24","8","10","1","11303"
"25","9","20","1","11401"
"26","10","20","1","11402"
"27","11","20","1","11403"
"28","12","20","1","11601"
"29","13","20","1","11602"
"30","14","20","1","11603"
"31","15","20","1","11604"
"32","16","20","1","11605"
"33","17","20","1","11606"
"34","18","20","1","11101"
"35","19","20","1","11102"
"36","20","20","1","11103"
"37","21","20","1","11701"
"38","22","20","1","11702"
"39","23","20","1","11703"
"40","1","3","3","10501"
"41","2","3","3","10502"
"42","3","3","3","10503"
"43","4","10","3","11201"
"44","5","10","3","10801"
"45","6","10","3","10802"
"46","7","10","3","10803"
"47","8","10","3","10804"
"48","9","20","3","10901"
"49","10","20","3","10902"
"50","11","20","3","10903"
"51","12","20","3","10904"
"52","13","20","3","11001"
"53","14","20","3","11002"
"54","15","20","3","11003"
"55","16","20","3","11501"
"56","17","20","3","11502"
"57","18","20","3","11503"
"58","19","20","3","11504"
"59","20","20","3","11505"
"60","21","20","3","11506"
