f176b13ce51638524577d76234f75876943ffe782b0a73023990aa344b48576c,e9519ba874b47cba7177d6cf2c8bbf991ce82a96799789a4c155a19b99023970,503015272ac5422429425508e404bf8eb9521ffadf3cba8e90a2ed77543c553b
"138401","135801","2"
"138401","135801","3"
"138401","135801","4"
"138401","135801","5"
"138401","135801","6"
"138401","135801","7"
"138401","135801","8"
"118401","180701","2"
"118301","180701","3"
"118401","180701","4"
"118401","180701","5"
"118301","180701","6"
"118401","180701","7"
"118301","180701","8"
"170101","105701","9"
"170101","105701","10"
"170101","105701","11"
"170101","105701","12"
"120401","180801","2"
"120501","180801","3"
"120601","180801","4"
"120501","180801","5"
"120601","180801","6"
"120501","180801","7"
"120401","180801","8"
"121701","180901","2"
"121801","180901","3"
"121701","180901","4"
"121801","180901","5"
"121701","180901","6"
"121801","180901","7"
"121801","180901","8"
"124401","181001","2"
"124301","181001","3"
"124401","181001","4"
"124401","181001","5"
"124301","181001","6"
"124401","181001","7"
"124301","181001","8"
"128201","181101","2"
"128101","181101","3"
"128201","181101","4"
"128201","181101","5"
"128101","181101","6"
"128201","181101","7"
"128101","181101","8"
