ed7f67ded285c9e2a89192777d375bcc90d052f9c1722303bb09075765a97e46,3779eab4f943c96b22785bb4b62b6f80308d3a1ddd2c63412e3f4b14ab3da7ca,dd9aad2857a879e3535fcc05f6598ff8373faf3ffe6f18ad66299e3b0d32b384,17fd72309c0ccccd7b8e1059404d5a11a88884fa0a2591fb91b8cc1c0ca3c67b,5aed7f42912eaf294cd0e266110659b6dd8d4419867a911a015014f9f6f6ab9c,cc92004b18b153469ba1326581a48de04ee724ada38442e32608638b950a9aec,db1ae44a7e25ca0489ae2d9a3a28d8559cfa8e90605fc3a6768cab0142f42ec3,9a7c5ddaa30467ad286fbaf12973f15637f0b0424998f945d6b5baa2f699d0b6,b10fa2641267fbd2d295523d4d2201ae417839fe10a37952423242075d64f2c0,81243a48c81589c6d17f51091d21e8bb7ab1b4afc6e1fe29406283ad3f6caafb,43e511f85297fd86719e599e621343f1b4c1e87293c50b325507d99c27e268de
"1","102611","1","ttk_idle_def","5","1","100","1","-120","850","1010001"
"1","2","","","31","1","0","2","1","0","1010002"
"1","1","","","31","1","-120","1","1","-80","1010003"
"1","","","","93","","","1","","","1010004"
"1","vo_minigame_1005_top_000","","","21","","0","vo_minigame_1005","","0","1010005"
"1","ttk_doya","0.3","","3","0.3","ttk_idle_doya","102611","1","0","1010006"
"1","任された仕事は\nきちんとやるよ","0","","11","0","","102611","","8","1010007"
"1","","","","91","","","0","","","1010008"
"2","102611","1","ttk_idle_def","5","1","100","1","-120","850","1020001"
"2","2","","","31","1","0","2","1","0","1020002"
"2","1","","","31","1","-120","1","1","-80","1020003"
"2","","","","93","","","1","","","1020004"
"2","vo_minigame_1005_top_001","","","21","","0","vo_minigame_1005","","0","1020005"
"2","ttk_idle_smile","0.3","","3","0.3","ttk_idle_def","102611","1","0","1020006"
"2","あたしの前に\n現れたこと\n後悔させてあげる","0","","11","0","","102611","","8","1020007"
"2","","","","91","","","0","","","1020008"
"3","102611","1","ttk_idle_def","5","1","100","1","-120","850","1030001"
"3","2","","","31","1","0","2","1","0","1030002"
"3","1","","","31","1","-120","1","1","-80","1030003"
"3","","","","93","","","1","","","1030004"
"3","vo_minigame_1005_top_002","","","21","","0","vo_minigame_1005","","0","1030005"
"3","ttk_joy","0.3","","3","0.1","ttk_idle_joy","102611","1","0","1030006"
"3","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","0","","11","0","","102611","","8","1030007"
"3","","","","93","","","2.2","","","1030008"
"3","ttk_talk_sad","0.3","","3","0.3","","102611","","1","1030009"
"3","","","","93","","","3","","","1030010"
"3","ttk_idle_def","0.3","","3","0.3","","102611","","1","1030011"
"3","","","","91","","","0","","","1030012"
"4","102611","1","ttk_idle_def","5","1","100","1","-120","850","1040001"
"4","2","","","31","1","0","2","1","0","1040002"
"4","1","","","31","1","-120","1","1","-80","1040003"
"4","","","","93","","","1","","","1040004"
"4","vo_minigame_1005_top_003","","","21","","0","vo_minigame_1005","","0","1040005"
"4","ttk_shock","0.3","","3","0.3","ttk_idle_shock","102611","1","0","1040006"
"4","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","0","","11","0","","102611","","8","1040007"
"4","","","","93","","","5","","","1040008"
"4","ttk_idle_def","0.3","","3","0.3","","102611","","1","1040009"
"4","","","","93","","","0.7","","","1040010"
"5","102611","1","ttk_idle_def","5","1","100","1","-120","850","1050001"
"5","2","","","31","1","0","2","1","0","1050002"
"5","1","","","31","1","-120","1","1","-80","1050003"
"5","","","","93","","","1","","","1050004"
"5","vo_minigame_1005_top_004","","","21","","0","vo_minigame_1005","","0","1050005"
"5","ttk_surprise","0.3","","3","0.3","","102611","","0","1050006"
"5","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","0","","11","0","","102611","","8","1050007"
"5","","","","93","","","0.9","","","1050008"
"5","ttk_talk_anger","0.3","","3","0.3","","102611","","1","1050009"
"5","","","","93","","","0.8","","","1050010"
"5","ttk_sad","0.3","","3","0.3","ttk_talk_sad","102611","1","0","1050011"
"5","","","","93","","","5","","","1050012"
"5","ttk_idle_def","0.3","","3","0.3","","102611","","1","1050013"
"5","","","","91","","","0","","","1050014"
"6","102611","1","ttk_idle_def","5","1","100","1","-120","850","1060001"
"6","2","","","31","1","0","2","1","0","1060002"
"6","1","","","31","1","-120","1","1","-80","1060003"
"6","","","","93","","","1","","","1060004"
"6","vo_minigame_1005_top_005","","","21","","0","vo_minigame_1005","","0","1060005"
"6","ttk_idle_worry","0.3","","3","0.3","","102611","","1","1060006"
"6","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","0","","11","0","","102611","","8","1060007"
"6","","","","93","","","7","","","1060008"
"6","ttk_amz","0.3","","3","0.3","ttk_idle_def","102611","1","0","1060009"
"6","","","","91","","","0","","","1060010"
