5d4c3bee8463ee84b9168c24f7305a8ab0bec1ad498cc585b00c0eb43bca5b0c,f5513770000ca67d0e78d6599b9476e704877c141a44fd07f2766906782f3245,5abd925917fd47bcc37b2f8bdaf71f88a0a6403a8af720cffc2de9c6fbe4d749,ccc5b757e9cc78e38ef20345d3fd8f31a00c1b0d03979d30c4fe47abad854b82,e49a5b03b00efc0b2b1d7f585c683cc20553002c51947566006664d1367be752,7333e7bcb416e624119d2d660b4702bcf9a1f645a54232f31f25b1e3864225d4,6f3b626bdb05233b9dd843586fbcb1b2e86e1d8fc7085a05703df7110748dcb5,b03ef757a8378e7889843c288a0dbbae023765b1871de17e594837c9579e2819,16b17cdcbc7ae7cc2e8925c162ff96bd0d7e8d629521aacb0da96232e69b2439,b3fddf3cca45a7682c9f6b024b05ab8e0534f63df6f71d7baea0fa7e27222b9a,3706a80d0d906808c3a4c7e88745c9c683b81bd2c53607c06c583b19a3097204
"1","5","empty","10101","1","0","1","53","0","1101010001","0"
"2","5","empty","10101","1","0","101000","56","0","1101010002","0"
"3","5","empty","10101","1","0","101000","70","0","1101010003","0"
"0","31","","10101","0","1","101000","0","0","1101010004",""
"1","31","","10101","0","1","101001","0","0","1101010005",""
"2","31","","10101","0","1","101002","0","0","1101010006",""
"3","31","","10101","0","1","101003","0","0","1101010007",""
"4","31","","10101","0","1","101004","0","0","1101010008",""
"10","31","","10101","0","1","1","0","0","1101010009",""
"30","31","","10101","0","1","3","0","0","1101010010",""
"0","91","","10101","","","0","","","1101010011",""
"1","32","","10101","","","0","","","1101010012",""
"1","32","","10101","","","10","","","1101010013",""
"getDish_1_in","3","","10101","0","","2","0","","1101010014",""
"0","93","","10101","","","0.2","","","1101010015",""
"getDish","3","","10101","0","","1","0","","1101010016",""
"getDish_1_B","3","","10101","0","","2","0","","1101010017",""
"getDish_1_F","3","","10101","0","","3","0","","1101010018",""
"1","32","","10101","","","1","","","1101010019",""
"1","32","","10101","","","3","","","1101010020",""
"0","93","","10101","","","7.2","","","1101010021",""
"1","101","","10101","","","1101010023","","","1101010022",""
"1","35","","10101","","","2","","","1101010023",""
"1","32","","10101","","","2","","","1101010024",""
"1","35","","10101","","","4","","","1101010025",""
"1","32","","10101","","","4","","","1101010026",""
"0","32","","10101","","","3","","","1101010027",""
"0","93","","10101","","","2.3","","","1101010028",""
"1","35","","10101","","","30","","","1101010029",""
"1","32","","10101","","","30","","","1101010030",""
"0","93","","10101","","","0.2","","","1101010031",""
"1","6","","10101","0","0","1","1","1","1101010032","0"
"1","6","","10101","0","0","2","1","1","1101010033","0"
"1","6","","10101","0","0","3","1","1","1101010034","0"
"0","32","","10101","","","0","","","1101010035",""
"0","32","","10101","","","1","","","1101010036",""
"0","32","","10101","","","2","","","1101010037",""
"0","32","","10101","","","3","","","1101010038",""
"0","32","","10101","","","4","","","1101010039",""
"0","32","","10101","","","10","","","1101010040",""
"0","93","","10101","","","0.3","","","1101010041",""
"1","111","","10101","0.1","0","1","1","1","1101010042","0"
"1","5","empty","10201","0.9","-325","2","50","-205","1102010001","0"
"2","5","empty","10201","0.9","-325","102000","58","-205","1102010002","0"
