b9d23fccc668cad6e181602c7bf28fbd3adba2dc265ef60f4a942e8f0b2567e0,b7607118d462a777fff45e9aad0cbf4831779970673fcbe1eaaa9851a80f6ca0,e54c9328fa35a5160a6b0344588145b833b5d909f484ecb3d47973ce5ae4ee4a,2c9a1c62c6fefcee81f33fe7667ab3eff9a9e3719e699e51a88434c047da154d,136147423f7e18d9dd8f572a439324fbebda7e4c4b8bfd3a5032338ea36c2d2e,bb2fe8479a67814fb59ccc4cfcce0a9cbfd1fa1152ad781fdcb79c6c8cfbc22d,a6fa078fe5ebe1b7f93c4b6817e34ad109afaacda272092671411a81195ebe9c,b0b989299add5894a48086dd25931469892fbc482336abf3efe0e30742795e43
"0","0","600090001","600060001","600130001","0","0","610201001"
"0","0","600300101","600090001","600070001","0","0","610201002"
"0","600230001","600050001","600380001","600420001","0","0","610201003"
"0","0","600300003","600090103","600110003","0","0","610201004"
"0","0","600300003","600120001","600390003","0","0","610201005"
"0","600340003","600380102","600290103","600160003","0","0","610201006"
"0","0","600060004","600370004","600440004","0","0","610201007"
"0","0","600210104","600330002","600080004","0","0","610201008"
"0","600160004","600380103","600270004","600420004","0","0","610201009"
"0","0","600320010","600380009","600340010","0","0","610201010"
"0","0","600300010","600050009","600140010","0","0","610201011"
"0","600130110","600290210","600330008","600250010","0","0","610201012"
"0","0","600280011","600030011","600020011","0","0","610201013"
"0","0","600010011","600210111","600280011","0","0","610201014"
"0","600210111","600030011","600040010","600100011","0","0","610201015"
"0","0","600090013","600060013","600130013","0","0","610201016"
"0","0","600300113","600090013","600070013","0","0","610201017"
"0","600230013","600050012","600380012","600420013","0","0","610201018"
"0","0","600300014","600090114","600110014","0","0","610201019"
"0","0","600300014","600120012","600390014","0","0","610201020"
"0","600340014","600380113","600290114","600160014","0","0","610201021"
"0","0","600060016","600370016","600440016","0","0","610201022"
"0","0","600210116","600330014","600080016","0","0","610201023"
"0","600160016","600380115","600270016","600420016","0","0","610201024"
"0","0","600320017","600380016","600340017","0","0","610201025"
"0","0","600300017","600050016","600140017","0","0","610201026"
"0","600130117","600290217","600330015","600250017","0","0","610201027"
"0","0","600280019","600030019","600020019","0","0","610201028"
"0","0","600010019","600210119","600280019","0","0","610201029"
"0","600210119","600030019","600040018","600100019","0","0","610201030"
"0","0","600290120","600030020","600390020","0","0","610201031"
"0","0","600230018","600060020","600300120","0","0","610201032"
"0","600020020","600040020","600130120","600050020","0","0","610201033"
"0","0","600400022","600090022","600110022","0","0","610201034"
"0","0","600090122","600070022","600430022","0","0","610201035"
"0","600140022","600380122","600120022","600420022","0","0","610201036"
"0","0","600400023","600090023","600110023","0","0","610201037"
"0","0","600270023","600280022","600010021","0","0","610201038"
"0","600150023","600380123","600240023","600220023","0","0","610201039"
"0","0","0","610201101","0","0","0","610201101"
"0","0","0","610201201","0","0","0","610201102"
"0","0","0","610201202","0","0","0","610201103"
"0","0","0","610201203","0","0","0","610201104"
"0","0","0","610201301","0","0","0","610201105"
"0","0","0","610201302","0","0","0","610201106"
"0","0","0","610201303","0","0","0","610201107"
"0","0","0","610201151","0","0","0","610201151"
"0","610201453","610201451","610201251","610201452","0","0","610201152"
"0","0","0","610201252","0","0","0","610201153"
"0","0","0","610201253","0","0","0","610201154"
"0","610201553","610201551","610201351","610201552","0","0","610201155"
"0","0","0","610201352","0","0","0","610201156"
"0","0","0","610201353","0","0","0","610201157"
"0","0","0","610202101","0","0","0","610202101"
"610202404","610202403","610202401","610202201","610202402","0","0","610202102"
"0","0","0","610202202","0","0","0","610202103"
"0","0","0","610202203","0","0","0","610202104"
"610202504","610202503","610202501","610202301","610202502","0","0","610202105"
"0","0","0","610202302","0","0","0","610202106"
"0","0","0","610202303","0","0","0","610202107"
"0","0","0","610203101","0","0","0","610203101"
"610203404","610203403","610203401","610203201","610203402","0","0","610203102"
"0","0","0","610203202","0","0","0","610203103"
"0","0","0","610203203","0","0","0","610203104"
"610203504","610203503","610203501","610203301","610203502","0","0","610203105"
"0","0","0","610203302","0","0","0","610203106"
"0","0","0","610203303","0","0","0","610203107"
"0","0","0","610204101","0","0","0","610204101"
"610204404","610204403","610204401","610204201","610204402","0","0","610204102"
"0","0","0","610204202","0","0","0","610204103"
"0","0","0","610204203","0","0","0","610204104"
"610204504","610204503","610204501","610204301","610204502","0","0","610204105"
"0","0","0","610204302","0","0","0","610204106"
"0","0","0","610204303","0","0","0","610204107"
"0","0","0","610205101","0","0","0","610205101"
"610205404","610205403","610205401","610205201","610205402","0","0","610205102"
"0","0","0","610205202","0","0","0","610205103"
"0","0","0","610205203","0","0","0","610205104"
"610205504","610205503","610205501","610205301","610205502","0","0","610205105"
"0","0","0","610205302","0","0","0","610205106"
"0","0","0","610205303","0","0","0","610205107"
"0","0","0","610206101","0","0","0","610206101"
"610206404","610206403","610206401","610206201","610206402","0","0","610206102"
"610206408","610206407","610206405","610206202","610206406","0","0","610206103"
"0","0","0","610206203","0","0","0","610206104"
"610206504","610206503","610206501","610206301","610206502","0","0","610206105"
"610206508","610206507","610206505","610206302","610206506","0","0","610206106"
"0","0","0","610206303","0","0","0","610206107"
"0","0","0","610207101","0","0","0","610207101"
"610207404","610207403","610207401","610207201","610207402","0","0","610207102"
"0","0","0","610207202","0","0","0","610207103"
"0","0","0","610207203","0","0","0","610207104"
"610207504","610207503","610207501","610207301","610207502","0","0","610207105"
"0","0","0","610207302","0","0","0","610207106"
"0","0","0","610207303","0","0","0","610207107"
"0","0","0","610208101","0","0","0","610208101"
"0","0","610208401","610208201","610208402","0","0","610208102"
"0","0","0","610208202","0","0","0","610208103"
"0","0","0","610208203","0","0","0","610208104"
"0","0","610208501","610208301","610208502","0","0","610208105"
"0","0","0","610208302","0","0","0","610208106"
"0","0","0","610208303","0","0","0","610208107"
"0","0","0","610209101","0","0","0","610209101"
"610209404","610209403","610209401","610209201","610209402","0","0","610209102"
"0","0","0","610209202","0","0","0","610209103"
"0","0","0","610209203","0","0","0","610209104"
"610209504","610209503","610209501","610209301","610209502","0","0","610209105"
"0","0","0","610209302","0","0","0","610209106"
"0","0","0","610209303","0","0","0","610209107"
"0","0","0","610210101","0","0","0","610210101"
"610210404","610210403","610210401","610210201","610210402","0","0","610210102"
"0","0","0","610210202","0","0","0","610210103"
"0","0","0","610210203","0","0","0","610210104"
"610210504","610210503","610210501","610210301","610210502","0","0","610210105"
"0","0","0","610210302","0","0","0","610210106"
"0","0","0","610210303","0","0","0","610210107"
"0","0","0","610211101","0","0","0","610211101"
"610211404","610211403","610211401","610211201","610211402","0","0","610211102"
"0","0","0","610211202","0","0","0","610211103"
"0","0","0","610211203","0","0","0","610211104"
"610211504","610211503","610211501","610211301","610211502","0","0","610211105"
"0","0","0","610211302","0","0","0","610211106"
"0","0","0","610211303","0","0","0","610211107"
"0","0","0","610212101","0","0","0","610212101"
"0","610212403","610212401","610212201","610212402","0","0","610212102"
"0","0","0","610212202","0","0","0","610212103"
"0","0","0","610212203","0","0","0","610212104"
"0","610212503","610212501","610212301","610212502","0","0","610212105"
"0","0","0","610212302","0","0","0","610212106"
"0","0","0","610212303","0","0","0","610212107"
"0","0","0","610213101","0","0","0","610213101"
"610213404","610213403","610213401","610213201","610213402","0","0","610213102"
"0","0","0","610213204","0","0","0","610213103"
"0","0","0","610213207","0","0","0","610213104"
"610213504","610213503","610213501","610213301","610213502","0","0","610213105"
"0","0","0","610213304","0","0","0","610213106"
"0","0","0","610213307","0","0","0","610213107"
"0","0","0","610213151","0","0","0","610213151"
"610213454","610213453","610213451","610213251","610213452","0","0","610213152"
"0","0","0","610213252","0","0","0","610213153"
"0","0","0","610213253","0","0","0","610213154"
"610213554","610213553","610213551","610213351","610213552","0","0","610213155"
"0","0","0","610213352","0","0","0","610213156"
"0","0","0","610213353","0","0","0","610213157"
"0","0","0","610214101","0","0","0","610214101"
"610214404","610214403","610214401","610214201","610214402","0","0","610214102"
"610214408","610214407","610214405","610214202","610214406","0","0","610214103"
"0","0","0","610214203","0","0","0","610214104"
"610214504","610214503","610214501","610214301","610214502","0","0","610214105"
"610214508","610214507","610214505","610214302","610214506","0","0","610214106"
"0","0","0","610214303","0","0","0","610214107"
