9362bcea2648602e97ac4c624a1e771bd4a43bd5a1c6269f616ccdbe7d726f03,4c39ccb9dda670254fac7156cf92d7c03ea0c52ba9983e6b3195df0d7fe6dfc5,d0ccfd5f64c46211ce4a282a8b85ddf9bf2460d48c776b9e904af6ea541089d1,b3c412602bc8718a19e30a5f26965df0f215124817800f6c31d39cd2c7c7a34e,2b1585b9e4f2c09878fa925fafdd0fd95c31e567ef2a985f3e3ba7688f71281f,5cd72204c6bd1eea8f026bbac39a99abd02992b76c6a267b01e4fc58d43fa4fa,58523c9dd9eb113bb137962af4dff4f439651be9af098e7fd78e653d6aa90998,adefaaad54929935d6370255055df7d0405d8f2b188960cb01da981697c10f51,601e238ea8d52564ac1041748c5b0068e22e22373d19e817356d0e7aea32a8c6,dc4cbae37bf844d36dc4bf47e063c16b1d5116d05df179dde9b35db2115ecd2b,2f4bb94d322781eb591dd77b16ca764b01459827929b642f66c27efce1692c2e
"1","-100","nop_idle_joy1","101","115","-150","101001","1","0","1.5","111831"
"1","100","nop_idle_normal_joy","101","114","-150","101002","1","1","1.5","120731"
"1","-215","nop_idle_arm_crossed","101","111","-127","101003","1","0","1.5","120831"
"1","215","nop_idle_normal","101","110","-127","101004","1","1","1.5","111931"
"1","-330","nop_idle_thinking","101","113","-150","101005","1","0","1.5","120931"
"1","330","nop_idle_normal","101","112","-150","101006","1","1","1.5","112031"
"1","-100","nop_idle_joy1","102","115","-150","102001","1","0","1.5","108731"
"1","100","nop_idle_joy_normal","102","114","-150","102002","1","1","1.5","108831"
"1","-215","nop_idle_normal","102","111","-127","102003","1","0","1.5","108931"
"1","-100","nop_idle_joy1","103","113","-135","103001","1","0","1.5","102011"
"1","-215","nop_idle_normal","103","115","-150","103002","1","0","1.5","100411"
"1","100","nop_idle_wish","103","114","-143","103003","1","1","1.5","103631"
"1","-100","nop_idle_normal","104","115","-150","104001","1","0","1.5","101231"
"1","100","nop_idle_normal","104","114","-150","104002","1","1","1.5","104011"
"1","-215","nop_idle_normal","104","111","-127","104003","1","0","1.5","101511"
"1","-100","nop_idle_normal","105","113","-135","105001","1","0","1.5","103111"
"1","100","nop_idle_sad","105","111","-135","105002","1","1","1.5","102211"
"1","-215","nop_05_miyako_idle_normal","105","115","-150","105003","1","0","1.5","100711"
"1","215","nop_idle_joy1","105","112","-150","105004","1","1","1.5","100611"
"1","-25","nop_skull_idle","105","114","-135","105005","5","1","1.5","2051"
"1","-215","nop_idle_arm_crossed","106","115","-150","106001","1","0","1.5","104731"
"1","215","nop_idle_arm_crossed","106","114","-150","106002","1","1","1.5","107131"
"1","-100","nop_idle_normal","106","111","-135","106003","1","0","1.5","103731"
"1","100","nop_idle_joy1","106","110","-135","106004","1","1","1.5","100511"
"1","-100","nop_idle_normal","107","115","-150","107001","1","0","1.5","102831"
"1","100","nop_idle_normal","107","114","-150","107002","1","1","1.5","102111"
"1","-215","nop_idle_normal","107","111","-127","107003","1","0","1.5","102511"
"1","215","nop_idle_normal","107","110","-127","107004","1","1","1.5","102311"
"1","-100","nop_idle_joy_normal","108","115","-150","108001","1","0","1.5","101011"
"1","100","nop_idle_arm_crossed","108","114","-150","108002","1","1","1.5","104331"
