15623ce9b0630b54068eab769c908a56b9ef9d09fb254e96b51de801750bb4ad,808f18540f2464827bbfb1eb539a0a18238059dc31964e488cc075f45f78a98c,d297378785873ad819f9bb49674f620d852bb85de80cdf19fb98f0d8543338d8
"101","50183","1"
"102","50183","2"
"103","50183","3"
"104","50183","4"
"1","50183","5"
"2","50183","6"
"3","50183","7"
"4","50183","8"
"5","50183","9"
"6","50183","10"
"105","50217","1"
"101","50217","2"
"102","50217","3"
"103","50217","4"
"104","50217","5"
"1","50217","6"
"2","50217","7"
"3","50217","8"
"4","50217","9"
"5","50217","10"
"6","50217","11"
"105","50248","1"
"101","50248","2"
"102","50248","3"
"103","50248","4"
"104","50248","5"
"1","50248","6"
"2","50248","7"
"3","50248","8"
"4","50248","9"
"5","50248","10"
"6","50248","11"
"105","50278","1"
"101","50278","2"
"102","50278","3"
"103","50278","4"
"104","50278","5"
"1","50278","6"
"2","50278","7"
"3","50278","8"
"4","50278","9"
"5","50278","10"
"6","50278","11"
"105","50309","1"
"101","50309","2"
"102","50309","3"
"103","50309","4"
"104","50309","5"
"1","50309","6"
"2","50309","7"
"3","50309","8"
"4","50309","9"
"5","50309","10"
"6","50309","11"
"104","50341","1"
"105","50341","2"
"101","50341","3"
"102","50341","4"
"103","50341","5"
"1","50341","6"
"2","50341","7"
"3","50341","8"
"4","50341","9"
"5","50341","10"
"6","50341","11"
