151233aef2c9cca7fdf47c9016874a4d0e78a5abc424c32b93f916289ade6690,3e77bc722d2e9423ba3fb1eb4d22ab84713eadf3ef83ee1ee1eb0683a67e04ca,545d992f0b0ffd0a50a2c47cebcfed8084b3c440173d7df37f58b53ec399945f,d9581ad73b59a1290b4301248b67cb2fa1ebba9fd826b1fcf79db69f2464c104,af26e2bd4e783ff90c022618b90d28f1ecf91351484caa8be036ef788f2e2ff2,85fa26f672dca5d494308177bfdad4c013dd09b277109fd45737e4173cb5daee,691c7dca8a1900fdf45f6d5b46613bd8ac8628e714f4719b1c6607bb2d2f1c64,4c8ab354477e3ba7a0b9785a228237696cf8dc3280afc6683eea60f798812244,425fef8b4e177b999b465551e35fc0dae55e801bbf8b178f912203e2bf7ccbb8,06fe1750da6284e4729b62b73410269940e24f5d4b22829864324afec182ae5b,1d994f3d35a18b9674e373aceb87b7f6e33117a257364431c26c3201bddabb29
"101001","1","1","-150","115","101","-100","nop_idle_joy1","0","111831","1.5"
"101002","1","1","-150","114","101","100","nop_idle_normal_joy","1","120731","1.5"
"101003","1","1","-127","111","101","-215","nop_idle_arm_crossed","0","120831","1.5"
"101004","1","1","-127","110","101","215","nop_idle_normal","1","111931","1.5"
"101005","1","1","-150","113","101","-330","nop_idle_thinking","0","120931","1.5"
"101006","1","1","-150","112","101","330","nop_idle_normal","1","112031","1.5"
"102001","1","1","-150","115","102","-100","nop_idle_joy1","0","108731","1.5"
"102002","1","1","-150","114","102","100","nop_idle_joy_normal","1","108831","1.5"
"102003","1","1","-127","111","102","-215","nop_idle_normal","0","108931","1.5"
"103001","1","1","-135","113","103","-100","nop_idle_joy1","0","102011","1.5"
"103002","1","1","-150","115","103","-215","nop_idle_normal","0","100411","1.5"
"103003","1","1","-143","114","103","100","nop_idle_wish","1","103631","1.5"
"104001","1","1","-150","115","104","-100","nop_idle_normal","0","101231","1.5"
"104002","1","1","-150","114","104","100","nop_idle_normal","1","104011","1.5"
"104003","1","1","-127","111","104","-215","nop_idle_normal","0","101511","1.5"
"105001","1","1","-135","113","105","-100","nop_idle_normal","0","103111","1.5"
"105002","1","1","-135","111","105","100","nop_idle_sad","1","102211","1.5"
"105003","1","1","-150","115","105","-215","nop_05_miyako_idle_normal","0","100711","1.5"
"105004","1","1","-150","112","105","215","nop_idle_joy1","1","100611","1.5"
"105005","1","5","-135","114","105","-25","nop_skull_idle","1","2051","1.5"
"106001","1","1","-150","115","106","-215","nop_idle_arm_crossed","0","104731","1.5"
"106002","1","1","-150","114","106","215","nop_idle_arm_crossed","1","107131","1.5"
"106003","1","1","-135","111","106","-100","nop_idle_normal","0","103731","1.5"
"106004","1","1","-135","110","106","100","nop_idle_joy1","1","100511","1.5"
"107001","1","1","-150","115","107","-100","nop_idle_normal","0","102831","1.5"
"107002","1","1","-150","114","107","100","nop_idle_normal","1","102111","1.5"
"107003","1","1","-127","111","107","-215","nop_idle_normal","0","102511","1.5"
"107004","1","1","-127","110","107","215","nop_idle_normal","1","102311","1.5"
"108001","1","1","-150","115","108","-100","nop_idle_joy_normal","0","101011","1.5"
"108002","1","1","-150","114","108","100","nop_idle_arm_crossed","1","104331","1.5"
"108003","1","1","-127","111","108","-215","nop_idle_joy1","0","101711","1.5"
"108004","1","1","-127","110","108","215","nop_idle_normal","1","101431","1.5"
"109001","1","1","-150","115","109","-100","nop_idle_joy1","0","103311","1.5"
"109002","1","1","-127","111","109","-215","nop_idle_joy_normal","0","105211","1.5"
"109003","1","1","-150","114","109","100","nop_idle_sad2","1","102611","1.5"
"109004","1","1","-127","110","109","215","nop_idle_normal","1","103811","1.5"
"110001","1","1","-150","115","110","-100","nop_idle_joy1","0","103231","1.5"
"110002","1","1","-127","110","110","215","nop_10_yukari_02","1","103411","1.5"
"110003","1","5","-127","111","110","215","nop_10_yukari_02","1","11","1.5"
"110004","1","1","-150","114","110","100","nop_idle_doya","1","104811","1.5"
"110005","1","1","-127","111","110","-215","nop_idle_joy_normal","0","104611","1.5"
"111001","1","1","-150","115","111","-100","nop_11_anna_idle_arm_crossed","0","100911","1.5"
"111002","1","1","-150","114","111","100","nop_idle_joy_normal","1","101311","1.5"
"111003","1","1","-127","111","111","-215","nop_11_eriko_idle_wish","0","102711","1.5"
"111004","1","1","-127","110","111","215","nop_idle_normal","1","105111","1.5"
"112001","1","1","-143","115","112","100","nop_idle_joy1","1","101831","1.5"
"112002","1","1","-135","110","112","-100","nop_idle_joy_normal","0","101611","1.5"
"112003","1","1","-150","114","112","-215","nop_idle_joy_normal","0","105011","1.5"
"113001","1","1","-150","113","113","100","nop_idle_normal_joy","1","105331","1.5"
"113002","1","1","-150","114","113","-100","nop_13_kuka_idle_memory2","0","104511","1.5"
"113003","1","1","-127","110","113","-215","nop_idle_joy1","0","103031","1.5"
"113004","1","1","-150","111","113","-330","nop_idle_thinking","0","100811","1.5"
"113005","1","1","-150","115","113","240","nop_idle_sad","1","105511","1.5"
"114001","1","1","-150","115","114","100","nop_idle_normal","1","106831","1.5"
"114002","1","1","-150","114","114","-100","nop_idle_normal","0","101131","1.5"
"114003","1","1","-127","110","114","-215","nop_idle_normal","0","104931","1.5"
"115001","1","1","-143","115","115","100","nop_idle_joy1","1","102931","1.5"
"115002","1","1","-135","110","115","-100","nop_idle_wish","0","104211","1.5"
"115003","1","1","-150","114","115","-215","nop_idle_normal","0","105411","1.5"
"116001","1","1","-150","115","116","100","nop_idle_normal","1","106731","1.5"
"116002","1","1","-150","114","116","-100","nop_idle_joy1","0","106631","1.5"
"116003","1","1","-127","110","116","-215","nop_16_kaya_idle_normal2","0","106531","1.5"
"116004","1","5","-150","116","116","180","nop_rago_idle","1","2","1.5"
"117001","1","1","-150","115","117","100","nop_idle_normal","1","111031","1.5"
"117002","1","1","-150","114","117","-100","nop_idle_joy2","0","110931","1.5"
"117003","1","1","-127","110","117","-215","nop_17_chloe_idle_normal2","0","110831","1.5"
"117004","1","5","-150","115","117","-100","NoItem_idle","0","1","1.5"
"118001","1","1","-150","115","118","-100","nop_18_muimi_idle_joy_normal","1","114711","1.5"
"118002","1","1","-150","114","118","100","nop_18_karin_idle_normal","0","118511","1.5"
"118003","1","1","-127","111","118","-215","nop_idle_normal","0","115031","1.5"
"118004","1","1","-127","110","118","215","nop_idle_joy1","1","118031","1.5"
"201001","1","1","0","100","201","-60","nop_idle_joy1","0","111831","1.2"
"201002","1","1","0","101","201","60","nop_idle_normal_joy","1","120731","1.2"
"201003","1","1","-5","102","201","-130","nop_idle_arm_crossed","0","120831","1.2"
"201004","1","1","-5","103","201","130","nop_idle_normal","1","111931","1.2"
"201005","1","1","-20","104","201","-200","nop_idle_thinking","0","120931","1.2"
"201006","1","1","-20","105","201","200","nop_idle_normal","1","112031","1.2"
"202001","1","1","0","100","202","-60","nop_idle_joy1","0","108731","1.2"
"202002","1","1","0","101","202","60","nop_idle_joy_normal","1","108831","1.2"
"202003","1","1","-5","102","202","-130","nop_idle_normal","0","108931","1.2"
"203001","1","1","0","100","203","-60","nop_idle_joy1","0","102011","1.2"
"203002","1","1","-5","101","203","-130","nop_idle_normal","0","100411","1.2"
