0e1902c23eb8c310d4badab2703797f394f81b0d61dea994574a3722ae743b6f,5c6342ee59b11892a0dd8c3e0dc811b1459b641a31902467140e2dc805531d5f,6afcbf60c5b99fb367b2458c93044d4c3df57df5b1a3a18f7d16629512e46496,bec66a2b5ab931f9b54e06f5af3966bab49c5ed1ea5cbe5a3a4a3971c67ec302,fb1c8375f3ace8d018748989c4eb958d437fc705eea2085410bde0242cdf8968,1b867860ca4dccbfe0fc0b0519c256144f96ebfbe5f3f1a658a2aa120521b1da,7a0d4cdd7747410604434e36c9d65777849428631564116ae5ff9e2c510ebb62
"ツムギのフィギュア","1","細かいディテールにこだわった躍動感あふれる至高のツムギフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","10101","0.3046875","3","0.478515625"
"ノゾミのフィギュア","1","細かいディテールにこだわった躍動感あふれる至高のノゾミフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","10102","0.365234375","3","0.490234375"
"チカのフィギュア","1","細かいディテールにこだわった躍動感あふれる至高のチカフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","10103","0.291015625","3","0.478515625"
"ツムギ直筆サイン色紙","2","ツムギの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","10201","0.440625","3","0.440625"
"ノゾミ直筆サイン色紙","2","ノゾミの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","10202","0.440625","3","0.440625"
"チカ直筆サイン色紙","2","チカの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","10203","0.440625","3","0.440625"
"ツムギのメモリアルピンバッジ","3","ツムギのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","10301","1.40625","3","1.40625"
"ノゾミのメモリアルピンバッジ","3","ノゾミのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","10302","1.40625","3","1.40625"
"チカのメモリアルピンバッジ","3","チカのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","10303","1.40625","3","1.40625"
"カルミナメモリアルピンバッジ","3","サマーライブ開催を記念し作られた限定メモリアルピンバッジ。\nエンブレムが刻印された高級感のある珠玉の一品。各メンバーの\nバッジと一緒にそろえよう！","10304","1.40625","3","1.40625"
"ツムギのブロマイド","7","ツムギのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ツムギへの熱い思いがいっそう高まること間違いなし。","10401","1.0875","2","0.675"
"ツムギのサマーブロマイド","7","ツムギのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","10402","1.0875","2","0.675"
"ツムギのハロウィンブロマイド","7","ツムギのハロウィン衣装のブロマイドセット。ハロウィンの時しか\n見られない貴重なショットの数々。甘いお菓子と悪戯、どっちも\n魅力的。ハッピーハロウィン！","10403","1.0875","2","0.675"
"ノゾミのブロマイド","7","ノゾミのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ノゾミへの熱い思いがいっそう高まること間違いなし。","10404","1.0875","2","0.675"
"ノゾミのサマーブロマイド","7","ノゾミのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","10405","1.0875","2","0.675"
"ノゾミのクリスマスブロマイド","7","ノゾミのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","10406","1.0875","2","0.675"
"チカのブロマイド","7","チカのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、チカへの熱い思いがいっそう高まること間違いなし。","10407","1.0875","2","0.675"
"チカのサマーブロマイド","7","チカのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","10408","1.0875","2","0.675"
"チカのクリスマスブロマイド","7","チカのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","10409","1.0875","2","0.675"
"ツムギのリストバンド","8","ツムギのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","10501","0.665625","3","1.0125"
"ノゾミのリストバンド","8","ノゾミのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","10502","0.665625","3","1.0125"
"チカのリストバンド","8","チカのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","10503","0.665625","3","1.0125"
"ツムギのポスター","10","ツムギの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","10601","0.365234375","3","0.470703125"
"ノゾミのポスター","10","ノゾミの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","10602","0.365234375","3","0.470703125"
