48db62db7f6b60dc302bcbd1a651de842fedc1eaa571f347e74a25513397d14e,daa4bb78c83bfcb80e69202660b4c3ee604e3b8092e1b3f4148f87f6a583a443,83ff2d49870d9d6b9def2aafd94109215bf1c3dae8dd1eb581bafc326ff3b46d,e0561215c545b56fbee11115591d8e01186d0b5d788746618d322b2966824970,6b14f6e004e7fd920481cb07e7505f7f336e7350a463ea9e57826c1b54772542,f6176eee0976ea77d3ea68fc25783d7db3cfd9121db778c2ea43c65f7d139e2e,f3080e268728de7475017ba3f9caee269b4d497539037dd80687e905545006b6
"101","91002","2500","10","8","累計スコアを2500pt 獲得しよう","1"
"102","91002","5000","10","8","累計スコアを5000pt 獲得しよう","1"
"103","91002","10000","10","8","累計スコアを10000pt 獲得しよう","1"
"104","91002","12500","10","8","累計スコアを12500pt 獲得しよう","1"
"105","91002","15000","10","8","累計スコアを15000pt 獲得しよう","1"
"106","91002","20000","10","8","累計スコアを20000pt 獲得しよう","1"
"107","91002","25000","10","8","累計スコアを25000pt 獲得しよう","1"
"108","91002","30000","10","8","累計スコアを30000pt 獲得しよう","1"
"109","91002","35000","10","8","累計スコアを35000pt 獲得しよう","1"
"110","91002","40000","10","8","累計スコアを40000pt 獲得しよう","1"
"111","91002","45000","10","8","累計スコアを45000pt 獲得しよう","1"
"112","11001302","50000","1","15","累計スコアを50000pt 獲得しよう","1"
"201","91002","2500","10","8","累計スコアを2500pt 獲得しよう","2"
"202","91002","5000","10","8","累計スコアを5000pt 獲得しよう","2"
"203","91002","10000","10","8","累計スコアを10000pt 獲得しよう","2"
"204","91002","12500","10","8","累計スコアを12500pt 獲得しよう","2"
"205","91002","15000","10","8","累計スコアを15000pt 獲得しよう","2"
"206","91002","20000","10","8","累計スコアを20000pt 獲得しよう","2"
"207","91002","25000","10","8","累計スコアを25000pt 獲得しよう","2"
"208","91002","30000","10","8","累計スコアを30000pt 獲得しよう","2"
"209","91002","35000","10","8","累計スコアを35000pt 獲得しよう","2"
"210","91002","40000","10","8","累計スコアを40000pt 獲得しよう","2"
"211","91002","45000","10","8","累計スコアを45000pt 獲得しよう","2"
"212","11001303","50000","1","15","累計スコアを50000pt 獲得しよう","2"
