09ec7e67ae22ba5d49f18fe74f186270fcda4a5b72d4617c035bd44b195700a0,b405c3126f44aa1b577e8e3098c1c2c842fb4414bb42e705e0c7daf061d1c5ab,990c0abf9ea21e3a6fe5cdb4c860db965106fcc9ba43a21ea763ae2fce6578ee,b7a06d0da18854a4c6508849b758bb6ba514b5319fb8d23fdf173ae7cbbf7044,bafa88523234068b8fec4509830e985687052491203c7726b5ce1a3ecc0418fc,3a445b0a93378e66a6b7b0c7f1cce0d1c1819fed7e00e8821c37ae09aedccd96,4950eebaef60026558f4798f8df377380cd835cf867a16ee64ddf3b9098e8ddb,e66717025cdc755a69aae87fb817db0d94a52558766d773e4d322ea56cec6c51,fe0b40374f07c499a21919c28260f868772e38bf53887096efc6dcb20f9f5379,ca680ce50f13236d4bdc1708dceaa15fffdf5142a33eda4a55aa494117c33d33,ea61fa7cbfb054cb3595c339a38a4b45930d031d628a6fdaaa3750f4afe99201,d1011ef0f00ea48aa5c96d4ce7fbff8cf764bceb751cba7caae95cb36ca08e39,2446929ceb29310f781dda0de70c9fbdad3683d099e652477d620aed50a46a9f,20b71ea5649a33fa0a8427724f0ac3a291c138732f368488e52f6977e1c5984e,a1595080253ed69fb5b14d445988ad872ff2f7d054f8b8bc523c90e3f054cf6c,64304b8ac8a804506d0d1f51f1be8f57019e27a174b14b5b5dbb98da8ec70770,0a6c8c9c688b7be984d09e0168758ea114784575140b82d9427298214e3eaa00,7e3ee7a705b5004d8f611b4f3d2582a4651e55a22c334fa79ba4b2dcfd4320eb,0cd552365cb91a654f1df9a5ebd5e778d99b8891a9b74a5cc37d1f744234c434,e291ffbfff9ebd5d897f8a3b9679e5165dcd421dd2563785ce27f0d748cf7d19,ecab7d741843185242d95c95636b14e6caf49fbafb9d297dd40e494332fb16f7
"0","3","30","敵単体に{0}の物理ダメージ","100100101","-1","0","0","1","1","0","0","1","2.4","1","0","1","30","0","1","単体物理ダメージ+{0}"
"0","3","50","","100100102","-1","0","0","3","1","0","0","1","500","1","0","3","0","0","99",""
"0","3","13.5","範囲内の敵に{0}の物理ダメージ","100100103","400","0","0","1","2","0","0","1","1.08","1","0","1","13.5","0","99","範囲物理ダメージ+{0}"
"0","3","20","敵単体に{0}の物理ダメージ","100100201","-1","0","0","1","1","0","0","1","1.6","1","0","1","20","0","1","物理ダメージ+{0}"
"0","1","8","敵単体に{0}の物理ダメージ","100100301","0","0","0","1","1","0","0","1","0.6","1","0","1","8","0","1","物理ダメージ+{0}"
"0","7","1","自分の物理攻撃力を{0}アップ","100100302","0","12","0","10","1","1","1","2","11","1","0","10","11","0","1","物理攻撃力アップ+{0}"
"0","3","60","敵単体に{0}の物理ダメージ","100101101","-1","0","0","1","1","0","0","1","4.8","1","0","1","60","0","1","単体物理ダメージ+{0}"
"0","3","45","範囲内の敵に{0}の物理ダメージ","100101102","600","0","0","1","2","0","0","1","3.6","1","0","1","45","0","99","範囲物理ダメージ+{0}"
"0","3","20","敵単体に{0}の物理ダメージ","100101201","-1","0","0","1","1","0","0","1","1.6","1","0","1","20","0","1","単体物理ダメージ+{0}"
"0","3","9","範囲内の敵に{0}の物理ダメージ","100101202","400","0","0","1","2","0","0","1","0.72","1","0","1","9","0","99","範囲物理ダメージ+{0}"
"0","0","1","自分の物理攻撃力を{0}アップ","100150101","0","1","0","90","0","0","0","0","15","1","0","2","15","0","0","物理攻撃力アップ+{0}"
"0","0","1","自分の物理攻撃力を{0}アップ","100151101","0","1","0","90","0","0","0","0","15","1","0","2","240","0","0","物理攻撃力アップ+{0}"
"0","3","1","味方全体のＨＰを{0}回復","100200101","2160","0.45","0","4","3","0","0","2","6","1","0","2","6","0","99","ＨＰ回復量+{0}"
"0","3","15","敵単体に{0}の魔法ダメージ","100200201","-1","0","0","1","1","0","0","1","1.2","1","0","2","15","0","1","魔法ダメージ+{0}"
"0","3","1","味方全体の物理防御力を{0}アップ","100200301","2160","12","0","10","3","1","1","2","0.23","1","0","20","0.23","0","99","物理防御力アップ+{0}"
"0","3","1","味方全体のＨＰを{0}回復","100201101","2160","0.6","0","4","3","0","0","2","8","1","0","2","8","0","99","ＨＰ回復量+{0}"
"0","3","1","味方全体の物理防御力を{0}アップ","100201102","2160","18","0","10","3","1","1","2","1.2","1","0","20","1.2","0","99","物理防御力アップ+{0}"
