abbca953545a7e939fd0fb38af60b4776f9572a3866163ef27e8400a3f8983a1,832f1c170faac69a8a9e9e2ed431cf2ee964125bb46c6c38f6d60b0bda71a3d5,be50a9145d30f3015d37b077e22d351e0fa04d3315d70eee4947615e8e59316b,3ae973733af443924dafb91714e00de50ac93dc8715757b4497a67079b6dc24f,5b07c78c7d050e5408f307ea458a49d211a03646e894ef93e4300a8a66dc37b6,e1712ea8e36e1a4d4af4682df0a7619c63e625815297d3aa268669a2e35486ab,edc551e11d2e92a193918d720086aa7336260698326ef58843cb2411269bbd72,b9f672f6e79ccf6278315c432dfb8668711494ea10dec7a891549ba58a2f2a7f
"短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","0","0","0","2001","短時間、障害物バリアを展開！","101","3"
"中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","5","5","0","3","中時間、スピードとジャンプ小アップ！","102","5"
"短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","0","6","0","1","短時間、スピード中アップ！","103","4"
"中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","0","0","0","2001","中時間、障害物バリアを展開！","104","5"
"中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","0","3","0","1","中時間、スピード小アップ！","105","6"
"中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","0","4","0","1001","中時間、対戦相手のスピード小ダウン！","106","6"
"中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","16","17","0","3","中時間、スピードとジャンプ特大アップ！","107","5"
"ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","0","8","0","1","ラウンド中、スピード中アップ！","108","40"
"短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","0","30","0","1","短時間、スピード特大アップ！","109","4"
"ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","0","10","0","1001","ラウンド中、対戦相手が大きく減速！","110","40"
"ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","0","0","0","2001","ごく短時間、障害物バリアを展開！","111","1"
"短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","0","15","0","1004","短時間、先頭の対戦相手が大きく減速！","112","4"
"中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","0","5","0","1","中時間、スピード小アップ！","113","6"
"中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","0","5","0","2","中時間、ジャンプ小アップ！","114","5"
"長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","0","0","0","2002","長時間、バリアで能力ダウンを防ぐ！","115","7"
"累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","0","3","0","1","累積で、スピード小アップ！","116","25"
"累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","0","3","0","1001","累積で、対戦相手が小さく減速！","117","25"
"長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","20","30","0","3","長時間、スピードとジャンプ特大アップ！","118","7"
"短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","0","15","0","1004","短時間、先頭の対戦相手が大きく減速！","119","4"
"長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","0","0","0","2002","長時間、バリアで能力ダウンを防ぐ！","120","7"
"長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","0","30","0","2","長時間、ジャンプ特大アップ！","121","12"
"累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","0","15","0","1004","累積で、先頭の対戦相手が大きく減速！","122","30"
"短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","2","11","8","4","短時間大きく加速した後、ごく短時間減速！","123","4"
"長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","0","9","0","1","長時間、スピード中アップ！","124","8"
"短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","0","0","0","2001","短時間、障害物バリアを展開！","125","4"
"累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","0","3","0","1001","累積で、対戦相手が小さく減速！","126","30"
"長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","0","22","0","1","長時間、スピード特大アップ！","127","10"
"短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","0","30","0","2","短時間、ジャンプ特大アップ！","128","4"
"短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","0","20","0","1001","短時間、対戦相手のスピード特大ダウン！","129","3"
"短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","0","30","0","1","短時間、スピード特大アップ！","130","4"
