4119dad0d22ca8280783b325a99fc8858c6e274fc2cd6b5388ada06816f5845f,dad0575cb93b6aa81979ba757633f4d3a7fc310fa5057c1f2cebd19c3abb60c3,c1ba8274fde20f95b2bf9234a4046ba2d58b1e69f9653cd4f4bc25a1442a5c73,4eb314119dcd176919153b132b31bef2b436dc9cb506fb49732db97d827064c0,10e9fd304f379ac9e5dcca12593741fc4622cc6b40eae91075dffe97a2fcb919
"1","135","1","1","300"
"2","425","1","1","-100"
"3","-100","1","2","125"
"4","375","1","2","-415"
"5","25","1","3","-50"
"6","-25","1","3","-300"
"7","-195","1","4","-335"
"8","105","1","4","-415"
"9","135","1","5","-160"
"10","345","1","6","-40"
"11","-230","1","7","90"
"12","230","1","8","-420"
"13","30","1","9","250"
"14","280","1","10","-245"
"15","-150","1","11","-110"
