21b4a3617e71a1f8ac48fbe19802996283ecb53e8f7ae12258aa19d4ca8ee487,d20d50c0dec57389c9c6723fa6b054e67b9fa98717b87d5c2346bb9e1933ae75,b4cdb1ddd6162c04fe4fa342459a7a464dcecea4cca85b42b28529c1924ba626,5db71eeba36930ce6dcf3d4be6ad581c6e631aeffddeba54d6d187a866ff9255,ef57c861cdb35baca263f3cc4788d01a18c1d06cb204c536cbdbe3eccb6d2555,e000116c42a69ceaabeaa745e814d6746f7bd022fe99de8d85ad3a3200e454d6,c6b6b0b1c0f0b8c2d9ba31ed0c73352142ce8994a72c30936d1c132afda5e496,4ac665fe04e46659068710324edec2577d74b81252bcb89283bbb9ae6a08c7f0
"100","200","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","53001","平凡な\n未鑑定トレジャー","1","1","平凡な未鑑定トレジャー"
"200","400","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","53002","貴重な\n未鑑定トレジャー","2","1","貴重な未鑑定トレジャー"
"400","800","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","53003","至高の\n未鑑定トレジャー","3","1","至高の未鑑定トレジャー"
"100","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53004","平凡なジェムストーン","1","0","平凡なジェムストーン"
"200","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53005","貴重なジェムストーン","2","0","貴重なジェムストーン"
"400","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53006","至高のジェムストーン","3","0","至高のジェムストーン"
"100","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53007","平凡なインゴット","1","0","平凡なインゴット"
"200","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53008","貴重なインゴット","2","0","貴重なインゴット"
"400","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53009","至高のインゴット","3","0","至高のインゴット"
"100","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53010","平凡なスクロール","1","0","平凡なスクロール"
"200","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53011","貴重なスクロール","2","0","貴重なスクロール"
"400","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53012","至高のスクロール","3","0","至高のスクロール"
"100","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53013","平凡なティアラ","1","0","平凡なティアラ"
"200","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53014","貴重なティアラ","2","0","貴重なティアラ"
"400","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53015","至高のティアラ","3","0","至高のティアラ"
"100","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53016","平凡なルーン","1","0","平凡なルーン"
"200","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53017","貴重なルーン","2","0","貴重なルーン"
"400","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53018","至高のルーン","3","0","至高のルーン"
"100","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53019","平凡なクラウン","1","0","平凡なクラウン"
"200","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53020","貴重なクラウン","2","0","貴重なクラウン"
"400","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53021","至高のクラウン","3","0","至高のクラウン"
"100","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53022","平凡なアーティファクト","1","0","平凡なアーティファクト"
"200","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53023","貴重なアーティファクト","2","0","貴重なアーティファクト"
"400","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53024","至高のアーティファクト","3","0","至高のアーティファクト"
