a5453dd5a36bc9cca40ff27ba409d940b618aae9cd7befa8cf01f81888b6b973,c89fecaeca8454092912e0a48da2e49f8840938b59e76b965acfd349c9f4dd1d,ad57e5f393a9f8c70349dd33329fb8e8ee835da597f36592988f6f0c9374d9d6,f09e5e263af10ef64510c84237106a1d244a91257830c687182d60e07f077c58,e09b9c3b547996fa91739b883392fe62fa9bfba7608995a5116a5ba5d5d1ffb1,2ad6f3ee32ad8bad941152eb6ac543a92be4d4e3a8215260c9f016347fa10073,993d70c0341f7290ba46b718856156bd799c882525b58fa12b9fef85cdafe3b4,b343acf440575628658a4040715613b6b9d800ef9a27663af1c492af00721861,7671107d4bd0164d728a7f6321af1f88d3998a3ca1eee834d802baa5d55d8dfd,3a0b033d708d4a0fee762e445804e2495b6c8169c37e5690484217e60cb1f88b,ad41ea09124855bf4de2f77a8d554a6aa52e122bf42827859285aba1e6823795,150b92e734fbff314a46a24c77dd190b14a618a72e0ef22f8557fd41199a4eb8
"29","342","0.025","1","0","0","0","0","0.05","37","33","0"
"28","333","0.025","2","0","0","0","0","0.05","36","32","0"
"27","324","0.025","3","0","0","0","0","0.05","35","31","0"
"26","315","0.025","4","0","0","0","0","0.05","34","30","0"
"25","306","0.025","5","0","0","0","0","0.05","33","29","0"
"24","297","0.025","6","0","0","0","0","0.05","32","28","0"
"23","288","0.025","7","0","0","0","0","0.05","31","27","0"
"22","279","0.025","8","0","0","0","0","0.05","30","26","0"
"21","270","0.025","9","0","0","0","0","0.05","29","25","0"
"20","261","0.025","10","0","0","0","0","0.05","28","24","0"
"19","252","0.025","11","0","0","0","0","0.05","27","23","0"
"18","243","0.025","12","0","0","0","0","0.05","26","22","0"
"17","234","0.025","13","0","0","0","0","0.05","25","21","0"
"16","225","0.025","14","0","0","0","0","0.05","24","20","0"
"15","216","0.025","15","0","0","0","0","0.05","23","19","0"
"14","207","0.025","16","0","0","0","0","0.05","22","18","0"
"13","198","0.025","17","0","0","0","0","0.05","21","17","0"
"12","189","0.025","18","0","0","0","0","0.05","20","16","0"
"11","180","0.025","19","0","0","0","0","0.05","19","15","0"
"10","171","0.025","20","0","0","0","0","0.05","18","14","0"
"9","161","0.025","21","0","0","0","0","0.05","17","13","0"
"8","152","0.025","22","0","0","0","0","0.05","16","12","0"
"7","143","0.025","23","0","0","0","0","0.05","15","11","0"
"6","134","0.025","24","0","0","0","0","0.05","14","10","0"
"5","125","0.025","25","0","0","0","0","0.05","13","9","0"
"4","116","0.025","26","0","0","0","0","0.05","12","8","0"
"3","107","0.025","27","0","0","0","0","0.05","11","7","0"
"2","101","0.025","28","0","0","0","0","0.05","10","6","0"
"0","1","0","29","0","0","0","0","0","0","0","0"
