6230ca6c69a2d8fe8fef9f8c0fac1368461c7f98f60d2fe812ce555f0781aed8,ad094c0a7921f62b0525e1c47bfa45d7cf5ccee883048fcff4702d9e1230b7a0,c3f2b69820ddada2cd3eb3f4f232f44428bed0d704560879eac34e5a3ebc4a0b,527aa59dc19933ccf15147444bd51408ba50f931687b7ec86fd2fda535863d4f,cbcec17234481394fdb423f8fe5f6098c399776a70cb330e74d79ec97645e4ea,83d10f41b1b129fba85916fec08eebe8e99a69afe9bb9804fb1473e5b2cc1083,f4f4c334166ca0bbc516cb8c23fc4497bf13ba0a4c1cbd69f6d1de03d7f7e816,155973097b6ceae86d43996d1fa8276e7146d603b421db512a6ccf83f0852f1f,2e8c854c5ecb93bf70a1283c96328aae1cb18a61624430ef1d0c41025bce20f2,2479cec35916c6e93786991ee59a475e88b2e563e0e6e60b01ee552548b778e2,a073b1bbb147ed0e468556298ea78a781e58d4fe8393f8997a34cb7895fb748e,c394da666338537d1608750ed652712146d54d658f0092e7c1ad28bff8c2de8b,486666cb0ba52f1cbb1d54b1b2178316f73cc73e12c40d05b5a8aee0cb58badd,162cf588ecd92494921909e98de1d935d52382ace08bc93dcf1cb0b032653013,39e6189d08086690b55e6217301b9e919a37620e8c5dab2bf77a9b0096309333,435f000bef0a41c197f635c145f96bcc3b782876df795e90e8016add23b4bf29,df3c19182150b440ae96ca781aaf31d7ba8a8f9c21829145da41ce5b3c3d0348,6937ea9309d2a1e705c7d87f63e54050e566cd2683f6315fcdb9b5b943c474e2,23f288421f6f36699c4015e82111d0e29948187a48c0cb47f4ad76324e59abfb,1d0d8bb27db026f1b5dcbf303b1701924f9297c856677b794af11f39ab488fb7
"1","1","0","0","0","0","2","0","0","3100104","0","0","1","1001201","2","20","5","90006","20003","0"
"3","2","0","0","0","0","2","0","0","3100103","0","0","2","1001201","2","15","4","90006","20003","0"
"10","3","0","0","0","0","2","0","0","3100102","0","0","4","1001201","2","10","3","90006","20003","0"
"30","4","0","0","0","0","2","0","0","3100101","0","0","11","1001201","2","5","1","90006","20003","0"
"1","5","0","0","0","0","2","0","0","3100104","0","0","1","1001202","2","20","5","90006","20003","0"
"3","6","0","0","0","0","2","0","0","3100103","0","0","2","1001202","2","15","4","90006","20003","0"
"10","7","0","0","0","0","2","0","0","3100102","0","0","4","1001202","2","10","3","90006","20003","0"
"30","8","0","0","0","0","2","0","0","3100101","0","0","11","1001202","2","5","1","90006","20003","0"
"1","9","0","0","0","0","2","0","0","3100104","0","0","1","1001203","2","20","5","90006","20003","0"
"3","10","0","0","0","0","2","0","0","3100103","0","0","2","1001203","2","15","4","90006","20003","0"
"10","11","0","0","0","0","2","0","0","3100102","0","0","4","1001203","2","10","3","90006","20003","0"
"30","12","0","0","0","0","2","0","0","3100101","0","0","11","1001203","2","5","1","90006","20003","0"
"1","13","0","0","0","0","2","0","0","3100104","0","0","1","1001204","2","20","5","90006","20003","0"
"3","14","0","0","0","0","2","0","0","3100103","0","0","2","1001204","2","15","4","90006","20003","0"
"10","15","0","0","0","0","2","0","0","3100102","0","0","4","1001204","2","10","3","90006","20003","0"
"30","16","0","0","0","0","2","0","0","3100101","0","0","11","1001204","2","5","1","90006","20003","0"
"1","17","0","0","0","0","2","0","0","3100104","0","0","1","1001205","2","40","10","90006","20003","0"
"3","18","0","0","0","0","2","0","0","3100103","0","0","2","1001205","2","30","8","90006","20003","0"
"10","19","0","0","0","0","2","0","0","3100102","0","0","4","1001205","2","20","6","90006","20003","0"
"30","20","0","0","0","0","2","0","0","3100101","0","0","11","1001205","2","10","2","90006","20003","0"
"1","21","0","0","0","0","2","0","0","3100104","0","0","1","1001206","2","5","4","90006","20003","0"
"3","22","0","0","0","0","2","0","0","3100103","0","0","2","1001206","2","4","3","90006","20003","0"
"10","23","0","0","0","0","2","0","0","3100102","0","0","4","1001206","2","3","2","90006","20003","0"
"30","24","0","0","0","0","2","0","0","3100101","0","0","11","1001206","2","2","1","90006","20003","0"
"1","25","0","0","0","0","2","0","0","3100104","0","0","1","1001207","2","5","4","90006","20003","0"
"3","26","0","0","0","0","2","0","0","3100103","0","0","2","1001207","2","4","3","90006","20003","0"
"10","27","0","0","0","0","2","0","0","3100102","0","0","4","1001207","2","3","2","90006","20003","0"
"30","28","0","0","0","0","2","0","0","3100101","0","0","11","1001207","2","2","1","90006","20003","0"
"1","29","0","0","0","0","2","0","0","3100104","0","0","1","1001208","2","5","4","90006","20003","0"
"3","30","0","0","0","0","2","0","0","3100103","0","0","2","1001208","2","4","3","90006","20003","0"
"10","31","0","0","0","0","2","0","0","3100102","0","0","4","1001208","2","3","2","90006","20003","0"
"30","32","0","0","0","0","2","0","0","3100101","0","0","11","1001208","2","2","1","90006","20003","0"
"1","33","0","0","0","0","2","0","0","3100104","0","0","1","1001209","2","5","4","90006","20003","0"
"3","34","0","0","0","0","2","0","0","3100103","0","0","2","1001209","2","4","3","90006","20003","0"
"10","35","0","0","0","0","2","0","0","3100102","0","0","4","1001209","2","3","2","90006","20003","0"
"30","36","0","0","0","0","2","0","0","3100101","0","0","11","1001209","2","2","1","90006","20003","0"
"1","37","0","0","0","0","2","0","0","3100104","0","0","1","1001210","2","5","4","90006","20003","0"
"3","38","0","0","0","0","2","0","0","3100103","0","0","2","1001210","2","4","3","90006","20003","0"
"10","39","0","0","0","0","2","0","0","3100102","0","0","4","1001210","2","3","2","90006","20003","0"
"30","40","0","0","0","0","2","0","0","3100101","0","0","11","1001210","2","2","1","90006","20003","0"
"1","41","0","0","0","0","2","0","0","3100104","0","0","1","1002201","2","20","5","90006","20003","0"
"3","42","0","0","0","0","2","0","0","3100103","0","0","2","1002201","2","15","4","90006","20003","0"
"10","43","0","0","0","0","2","0","0","3100102","0","0","4","1002201","2","10","3","90006","20003","0"
"30","44","0","0","0","0","2","0","0","3100101","0","0","11","1002201","2","5","1","90006","20003","0"
"1","45","0","0","0","0","2","0","0","3100104","0","0","1","1002202","2","20","5","90006","20003","0"
