5a15514d78087b4d4a497622a330df1f7b3f5db18fb235e53243f06f9cbd5522,d8a25180a9b2fc0f593c0136ed1c593a406d5eea5fdb356e5b950e2d378f7ea4,16ed30ab2c1c3c65965dab06181a7d3a0903ccec03016789472f1ee19afcc167,16a3cc0187dacce0cd4adef6ebbe46b0b2421c79a4f59a845603c3c4a4c1b586,09e0d52db839b913cf4ae63b7660a77a7fbd512eb0f90acfd498ae12f6ad623c,f7ab661aa1445f2437669bd53d7688894f92a0285765067e5971e3d86bd7cdf2,b3866e1a0bac451fb9e02a43f3b6665d6cca13ced15c324ed276fc9178082f42,6aa3976d3163300db77624c06b90725622ea4b0180421f22975c155c13ef78a9,03f7537dfe857d3f40a5e68e560ea266c314a5d9b2e250d42d636a0859a86202,89d0589e33e549bb136cdfc70bcd750305c9271ad617b9722c2809bb904a168e,1bb2d58f07ed3d5225583bc5d7bc8e575d9c8cf06a7969e977ac1a00ae16eceb,86b1da2ea800569e110d3afbb9f5089ac5ce1514c9e471521008c9483f7aa07b,d00b6fe522ad42ba52321e7d48dadb5dc0d74eca67b3b81a5fab231ba5a91a9a
"-416.5","0","2","100","2.1","2030/01/01 14:59:59","ヤマト","130011","ミッションねえ……\nちょうどいいや\nどこまで片付けられるか\n賭けをしようじゃないか","2024/10/31 12:00:00","1","3001100","3001"
"-416.5","0","2","101","5.68","2030/01/01 14:59:59","ヤマト","130011","他人から言われた任務を\n言われるままにやるなんざ\n性に合わないんだがね……\nま、報酬は貰っとこうか","2024/10/31 12:00:00","4","3001101","3001"
"-416.5","0","1","102","0","2030/01/01 14:59:59","ヤマト","130011","なんだい？　やれンなら\nとっとと済ませちまいな。\nフブキが早くやることやれ\nってボヤいてたよ。","2024/10/31 12:00:00","1","3001102","3001"
"-416.5","0","1","100","0","2030/01/01 14:59:59","フブキ","130211","え～？　ぼくに頼みごと～？\nどうしちゃおっかな～\nちゃんとお願いできたら\n考えてあげよっかな～？","2024/10/31 12:00:00","1","3002100","3002"
"-416.5","0","1","101","0","2030/01/01 14:59:59","フブキ","130211","ほらほらぁ、これが\n欲しいんでしょ～？\nほんと、しょうがないよね～\nザコおに～いさん♡","2024/10/31 12:00:00","1","3002101","3002"
"-416.5","0","2","102","8.53","2030/01/01 14:59:59","フブキ","130211","へえ～、欲しいんだ～？\nぼくのた・い・せ・つ・な・モ・ノ\nあははっ！　なに考えてんの？\nもうへんふしじゃ～んｗ","2024/10/31 12:00:00","5","3002102","3002"
"-416.5","0","1","103","5.67","2030/01/01 14:59:59","フブキ","130211","なになに～？　もしかしてまた\nおねだりするつもりなんだ？\nとか言って、ほんとはぼくに\n会いたいだけだったりして～？","2024/10/31 12:00:00","7","3002103","3002"
"-416.5","0","1","104","0","2030/01/01 14:59:59","フブキ","130211","ザコお兄さんってぇ\n頼み方もワンパなのぉ～？\nもっと必死にならないと\nぼくの心は動かせないよ～？","2024/10/31 12:00:00","1","3002104","3002"
"-416.5","0","3","300","0","2030/01/01 14:59:59","フブキ","130211","あのさーザコお兄さん、\nな～んか調子乗ってない？\nぼくのこと、なんでもくれる\nチョロいやつとか思ってたりー？","2024/10/31 12:00:00","3","3002300","3004"
"-416.5","0","7","301","0","2030/01/01 14:59:59","フブキ","130211","ざんね～ん♪\nうざいお兄さんには、もうな～んにもあげませ～ん♡\nほんとなっさけなーい♪\nばいば～い♡","2024/10/31 12:00:00","7","3002400","3005"
"-416.5","0","1","200","4.4","2030/01/01 14:59:59","フブキ","130211","きゃはは、ほんと必死～♡\nは～、面白かった。\n笑えたからいいよ～\nそれ、恵んだげる～♪","2024/10/31 12:00:00","2","3003200","3003"
"-416.5","0","7","201","0","2030/01/01 14:59:59","フブキ","130211","は～、しょうがないな～♡\nザコお兄さんってば\nほんとよわよわで\n情けないよね～ｗ","2024/10/31 12:00:00","7","3003201","3003"
"-416.5","0","2","202","5.6","2030/01/01 14:59:59","フブキ","130211","お兄さんってば、ぼくがいないと\nほんとザッコザコだよね～\nもっと感謝しろし～♪","2024/10/31 12:00:00","1","3003202","3003"
