68d844990671619f698e1b429ba6211bf07accb240fa7b7c128c423bfc06cee3,a56d9ab5ffcf695e014f781e9cda6c0f3b06e659a42c806b19f72fb52e11894c,cbbc26a965f515081a1c8604d3d479926874faa7fbe1f2697d5d30e653a08e07,e180c9df085755d86c68c0030bf1d04d2d5e1285d92b0a5d31788fbbe4905e5c,48c263c9e3725ec52006694959f1e860af55e0cd0020d44e207a1770c32fd2b6,71065aa81fa71fa215e3fe543c5f0cfab7beef309956721c3dfb51956974b393,c30d16df9577c1c36151d6964b8144b88a4f12cdd50e8891dce03a6514698927,3586e5ddd446e509975f955249f10b8b6cf6baa841faf947bb19cbbea1c06e26,a939e21207b30e437e4159949fc893a62cdfbda4cdbefb03206faa0250edfe06
"20","10701","7","1","22","15","15","53002","1"
"22","10702","7","2","22","14","14","53002","1"
"24","10703","7","3","22","13","13","53002","2"
"26","10704","7","4","22","12","12","53002","2"
"28","10705","7","5","22","11","11","53002","3"
"30","10706","7","6","22","10","10","53002","3"
"32","10707","7","7","22","9","9","53002","4"
"34","10708","7","8","22","8","8","53002","4"
"36","10709","7","9","22","7","0","53002","5"
"20","10801","8","1","22","15","15","53002","1"
"22","10802","8","2","22","14","14","53002","1"
"24","10803","8","3","22","13","13","53002","2"
"26","10804","8","4","22","12","12","53002","2"
"28","10805","8","5","22","11","11","53002","3"
"30","10806","8","6","22","10","10","53002","3"
"32","10807","8","7","22","9","9","53002","4"
"34","10808","8","8","22","8","8","53002","4"
"36","10809","8","9","22","7","0","53002","5"
