2b2407a34c18b3c812ba36e40fb11b0dad7fbffc137c22384b2d678f61d629e5,6948f437a408f213d9e619439182ea2f5d98dbe81eb957e473c961ff308bf994,96edf795de48ac32708cecef8e4fd846be20107989010a20e8e66d690ca700f8,c7e1d763957bf50c80cd161176eb85456a08433b08e2f8fae0152885fd98c0b4,4bf64e133fd2d4a27597558f06fe844d934d75db0664032db0eb6121c7072451,9c9c124c87b8f0f537b378256ed2c1bcd20960cbd7522f18465497958d6ddf9a,47eda786f7631a1ce9c764c92d35666d3c5f2d1f2d88aa900b148f223fc7d0f1
"81001105","1","1","1001101","0","306700","0"
"81001106","1","1","1001102","0","306700","0"
"81001205","1","1","1001201","0","306800","0"
"81001206","1","1","1001202","0","306800","0"
"81001305","1","1","1001301","0","307000","0"
"81001306","1","1","1001302","0","307000","0"
"81001405","1","1","1001401","0","307500","0"
"81001406","1","1","1001402","0","307500","0"
"81001505","1","1","1001501","0","307300","0"
"81001506","1","1","1001502","0","307300","0"
"81001605","1","1","1001601","0","307700","0"
"81001606","1","1","1001602","0","307700","0"
"81001705","1","1","1001701","0","307400","0"
"81001706","1","1","1001702","0","307400","0"
"81001805","1","1","1001801","0","307900","0"
"81001806","1","1","1001802","0","307900","0"
"81001905","1","1","1001901","0","307800","0"
"81001906","1","1","1001902","0","307800","0"
"81002005","1","1","1002001","0","308100","0"
"81002006","1","1","1002002","0","308100","0"
"81002101","1","1","1002101","0","308000","0"
"81002102","1","1","1002102","0","308000","0"
"81002205","1","1","1002201","0","308300","0"
"81002206","1","1","1002202","0","308300","0"
"81002301","1","1","1002301","0","308200","0"
"81002302","1","1","1002302","0","308200","0"
"81002405","1","1","1002401","0","304705","0"
"81002406","1","1","1002402","0","304705","0"
"81002501","1","1","1002501","0","308400","0"
"81002502","1","1","1002502","0","308400","0"
"81002605","1","1","1002601","0","305004","0"
"81002606","1","1","1002602","0","305004","0"
"81002701","1","1","1002701","0","308600","0"
"81002702","1","1","1002702","0","308600","0"
"81002805","1","1","1002801","0","305205","0"
"81002806","1","1","1002802","0","305205","0"
"81002901","1","1","1002901","0","309300","0"
"81002902","1","1","1002902","0","309300","0"
"81003005","1","1","1003001","0","305500","0"
"81003006","1","1","1003002","0","305500","0"
"81003101","1","1","1003101","0","310000","0"
"81003102","1","1","1003102","0","310000","0"
"81003205","1","1","1003201","0","306000","0"
"81003206","1","1","1003202","0","306000","0"
"81000605","1","1","1003301","0","310300","0"
"81003301","1","1","1003302","0","310300","0"
"81001105","1","1","1003401","0","306700","0"
"81001106","1","1","1003402","0","306700","0"
"100021","2.5","2.5","1003501","0","310500","0"
"100531","2.5","2.5","1003502","0","310500","0"
"81003601","0.4","0.4","1003601","0","310600","0"
"81003602","0.4","0.4","1003602","0","310600","0"
"81001205","1","1","1003701","0","306800","0"
"81001206","1","1","1003702","0","306800","0"
"81003801","1.2","1.2","1003801","0","310700","0"
"81003802","1.2","1.2","1003802","0","310700","0"
"81001305","1","1","1003901","0","307000","0"
"81001306","1","1","1003902","0","307000","0"
"81004001","1","1","1004001","0","310800","0"
"81004002","1","1","1004002","0","310800","0"
"81001505","1","1","1004101","0","307300","0"
"81001506","1","1","1004102","0","307300","0"
"81004201","1","1","1004201","0","311100","0"
"81004202","1","1","1004202","0","311100","0"
"81001905","1","1","1004301","0","307800","0"
"81001906","1","1","1004302","0","307800","0"
"81004401","1","1","1004401","0","311300","0"
"81004402","1","1","1004402","0","311300","0"
"81002101","1","1","1004501","0","308000","0"
"81002102","1","1","1004502","0","308000","0"
"81004601","1","1","1004601","0","311400","0"
"81004602","1","1","1004602","0","311400","0"
"81002301","1","1","1004701","0","308200","0"
"81002302","1","1","1004702","0","308200","0"
"81002405","1","1","1004801","0","311500","0"
"81002406","1","1","1004802","0","311500","0"
"81002501","1","1","1004901","0","308400","0"
"81002502","1","1","1004902","0","308400","0"
"81005001","1.4","1.4","1005001","0","311600","-28"
"81005002","1.4","1.4","1005002","0","311600","-28"
"81002701","1","1","1005101","0","308600","0"
"81002702","1","1","1005102","0","308600","0"
"81000605","1","1","1005201","0","312100","0"
"81003301","1","1","1005202","0","312100","0"
"81001705","1","1","1005301","0","307400","0"
"81001706","1","1","1005302","0","307400","0"
"81003005","1","1","1005401","0","312200","0"
"81003006","1","1","1005402","0","312200","0"
"81002901","1","1","1005501","0","309300","0"
"81002902","1","1","1005502","0","309300","0"
"81005601","1","1","1005601","0","312300","0"
"81005602","1","1","1005602","0","312302","0"
"81003101","1","1","1005701","0","310000","0"
"81003102","1","1","1005702","0","310000","0"
"100021","1.75","1.75","1005801","0","312600","0"
"100531","1.75","1.75","1005802","0","312600","0"
"101821","1","1","1005901","0","312700","0"
"101841","1","1","1005902","0","312700","0"
"81000605","1","1","1006001","0","310300","0"
"81003301","1","1","1006002","0","310300","0"
"81006101","0.65","0.65","1006101","0","312800","-27"
"81006102","0.65","0.65","1006102","0","312800","-27"
"100021","2.5","2.5","1006201","0","310500","0"
"100531","2.5","2.5","1006202","0","310500","0"
"81003601","0.4","0.4","1006301","0","310600","0"
"81003602","0.4","0.4","1006302","0","310600","0"
"81006401","1","1","1006401","0","313200","-30"
"81006402","1","1","1006402","0","313200","-30"
"81003801","1.2","1.2","1006501","0","310700","0"
"81003802","1.2","1.2","1006502","0","310700","0"
"81006601","0.7","0.7","1006601","0","313100","-25"
