510bb87623a2e4a2c24c8e38546597f0bf7dffd9109a13aa89ad2aaf91f6e2c4,d62eb0b2a3833448d2986a34cc09602d9a0e27f5ae765df4bea66d0e45610550,ef8caa5ca97dd33fc1a979c078cd2db8059d633eccf3d6cbefbbecd9f0b361a4,4f763abfc2c1e94db8f86cac0bc163c91bf6c6ccfe10383abfc88dfd6a51cda0,f7e21cf6cc162e7fe37597ada143b498537d62754e1c51a7ba2c0da8cda7b217,ad35bbcb2f38d835d7da64cedcca8397fa6ce21e25a84993b5d3bce445afb09b,39328fbd0c6cea5d4e91c8e8da2b04445c34c3f750db45e99cb8cd265dde7e03,5177a0b91b128af8a37bd15fa868c0347ad0378bf837cbfbf6ab0f58f4a2d4c3,e4b7aedd418547c02ef862d44774d85463b9d0f81cf41a0d5815bbc9ea5c06d1
"","0","1.6","0","1","0","1","610201101","50"
"","0","1.6","0","1","0","1","610201201","50"
"","0","1.6","0","1","0","1","610201202","50"
"","0","1.6","0","1","0","1","610201203","50"
"","0","1.6","0","1","0","1","610201301","50"
"","0","1.6","0","1","0","1","610201302","50"
"","0","1.6","0","1","0","1","610201303","50"
"","1","1","0","0","0","2","610201401","0"
"","1","1","0","0","0","3","610201402","0"
"","1","1","0","0","0","4","610201403","0"
"","1","1","0","0","0","2","610201501","0"
"","1","1","0","0","0","3","610201502","0"
"","1","1","0","0","0","4","610201503","0"
