1d588f82c7016525eead86c9252afdb70eb89086e4b36884ccb8717b906c78b8,89fc54694d0e59e8d4b722dd5636d28c91468adc9056c8821aca9adf77cf8270,d5c54c6bb724349305c54038948d7b14c3106aed16c6b21095d18ea341baec7b
"装備中","通常時","106101"
"特殊スキル","通常時","106701"
"権能解放中","通常時","106801"
"特殊スキル","通常時","106901"
"パターン変化中","通常時","114401"
"変身中","通常時","115801"
"特殊スキル","通常時","116401"
"特殊スキル","通常時","118201"
"特殊スキル","通常時","118501"
"特殊スキル","通常時","118601"
"初回発動時","通常時","120801"
"特殊スキル","通常時","122001"
"共闘中","通常時","122301"
"特殊スキル","通常時","122701"
"特殊スキル","通常時","123001"
"共闘中","通常時","125001"
"特殊スキル","通常時","125801"
"特殊スキル","通常時","126001"
"特殊スキル","通常時","126101"
"特殊スキル","通常時","126201"
"【フルチャージ】中","通常時","126401"
"特殊スキル","通常時","126501"
"特殊スキル","通常時","129001"
"特殊スキル","通常時","129301"
"特殊スキル","通常時","129401"
"初回発動時","通常時","129501"
"特殊スキル","通常時","129601"
"特殊スキル","通常時","129701"
"特殊スキル","通常時","130001"
"特殊スキル","通常時","130101"
"特殊スキル","通常時","131201"
"特殊スキル","通常時","131801"
"特殊スキル","通常時","132001"
"鬼化中","通常時","132101"
"初回発動時","通常時","132401"
"初回発動時","通常時","132901"
"特殊スキル","通常時","133101"
"召喚体スキル","通常時","133801"
"特殊スキル","通常時","134501"
"特殊スキル","通常時","134901"
"特殊スキル","通常時","135001"
"特殊スキル","通常時","135101"
"特殊効果","通常時","135201"
"特殊スキル","通常時","135601"
"初回発動時","通常時","135901"
"特殊スキル","通常時","136001"
"特殊スキル","通常時","136101"
"初回発動時","通常時","136401"
"特殊効果","通常時","136501"
"パターン変化後","通常時","137401"
"パターン変化中","通常時","138101"
"特殊スキル","通常時","138301"
"特殊スキル","通常時","139501"
"特殊スキル","通常時","139601"
"特殊スキル","通常時","139701"
"特殊スキル","通常時","139801"
"特殊スキル","通常時","181201"
