c872cc330d6de032e0abc1b072a7ee544cc492e96cb91dca1a8b285dd8da2e16,33fabb1ee4c15a866659d94eefff6dc56527129bd2bf7b108fe1bd4e034f887c,a993327a52d8d698115f961c59bb15553e03823fdfbfcf4051fe702a07dcf0b9,384ca07489a0d78de8fab47235db3cc138146542adc75a647751a20254113160,7669f3b043af071989a2fd993eb56f2a8be52a17c234f3d229b15dda3354e658,51cab914385493d4831c1bc843bf7818675294b71e90f4cdabe81d0a64b6c0ae,d87502c812d719146682aaf826887c4bd885ebd86c2fb494583fd7e18657e29c,64f67b5d7f35ab96c66803b86730d847707677f7969c183d7b8b7af2e8723dc9,523a5d9603408884ad8079dd5646d78f328741f54be559bee42ea19e15e5d6b1
"全難易度合計で10000pt獲得しよう","1001","0","10000","1","100101","1001","0","100101"
"全難易度合計で30000pt獲得しよう","1001","0","30000","1","100102","1001","0","100102"
"全難易度合計で50000pt獲得しよう","1001","0","50000","1","100103","1001","0","100103"
"全難易度合計で70000pt獲得しよう","1001","0","70000","1","100104","1001","0","100104"
"全難易度合計で90000pt獲得しよう","1001","0","90000","1","100105","1001","1","100105"
"全難易度合計で105000pt獲得しよう","1001","0","105000","1","100106","1001","1","100106"
"全難易度合計で120000pt獲得しよう","1001","0","120000","1","100107","1001","1","100107"
"全難易度合計で135000pt獲得しよう","1001","0","135000","1","100108","1001","1","100108"
"難易度NORMAL1で1回戦おう","1002","1","0","1","100109","1001","2","100109"
"難易度NORMAL2で1回戦おう","1003","1","0","1","100110","1001","2","100110"
"難易度NORMAL3で1回戦おう","1004","1","0","1","100111","1001","2","100111"
"難易度NORMALで10000pt獲得しよう","1001","1","10000","1","100112","1001","3","100112"
"難易度NORMALで20000pt獲得しよう","1001","1","20000","1","100113","1001","3","100113"
"難易度NORMALで30000pt獲得しよう","1001","1","30000","1","100114","1001","3","100114"
"難易度HARD1で1回戦おう","1002","2","0","1","100115","1001","4","100115"
"難易度HARD2で1回戦おう","1003","2","0","1","100116","1001","4","100116"
"難易度HARD3で1回戦おう","1004","2","0","1","100117","1001","4","100117"
"難易度HARDで15000pt獲得しよう","1001","2","15000","1","100118","1001","5","100118"
"難易度HARDで30000pt獲得しよう","1001","2","30000","1","100119","1001","5","100119"
"難易度HARDで45000pt獲得しよう","1001","2","45000","1","100120","1001","5","100120"
"難易度EXTRA1で1回戦おう","1002","3","0","1","100121","1001","6","100121"
"難易度EXTRA2で1回戦おう","1003","3","0","1","100122","1001","6","100122"
"難易度EXTRA3で1回戦おう","1004","3","0","1","100123","1001","6","100123"
"難易度EXTRAで20000pt獲得しよう","1001","3","20000","1","100124","1001","7","100124"
"難易度EXTRAで40000pt獲得しよう","1001","3","40000","1","100125","1001","7","100125"
"難易度EXTRAで60000pt獲得しよう","1001","3","60000","1","100126","1001","7","100126"
"全難易度合計で10000pt獲得しよう","1001","0","10000","1","100201","1002","0","100201"
"全難易度合計で30000pt獲得しよう","1001","0","30000","1","100202","1002","0","100202"
"全難易度合計で50000pt獲得しよう","1001","0","50000","1","100203","1002","0","100203"
"全難易度合計で70000pt獲得しよう","1001","0","70000","1","100204","1002","0","100204"
"全難易度合計で90000pt獲得しよう","1001","0","90000","1","100205","1002","1","100205"
"全難易度合計で105000pt獲得しよう","1001","0","105000","1","100206","1002","1","100206"
"全難易度合計で120000pt獲得しよう","1001","0","120000","1","100207","1002","1","100207"
"全難易度合計で135000pt獲得しよう","1001","0","135000","1","100208","1002","1","100208"
"難易度NORMAL1で1回戦おう","1002","1","0","1","100209","1002","2","100209"
"難易度NORMAL2で1回戦おう","1003","1","0","1","100210","1002","2","100210"
"難易度NORMAL3で1回戦おう","1004","1","0","1","100211","1002","2","100211"
"難易度NORMALで10000pt獲得しよう","1001","1","10000","1","100212","1002","3","100212"
"難易度NORMALで20000pt獲得しよう","1001","1","20000","1","100213","1002","3","100213"
"難易度NORMALで30000pt獲得しよう","1001","1","30000","1","100214","1002","3","100214"
"難易度HARD1で1回戦おう","1002","2","0","1","100215","1002","4","100215"
"難易度HARD2で1回戦おう","1003","2","0","1","100216","1002","4","100216"
