456240cf1ec0f6c8e91c96002f72143b1693065cff024ef48f4ad212495b0ed0,672222c232075db66d3c9f120ced64949b81a5a51b68efd28c99b817ec263e22,bb79b552c89b0c1ed95361f2782bd004370209bdabfadfa06786c839f06203dc,2d3e3a4bb8e701f14ddbfc58c605509a3fd5141d437179f780134e481488384a,35d2ad8d4a6d0f5fc926f620b4b4a49ca9bc245dcf9aa8a4925bb4f632d3b234,47ce55b7d2078fed7660c14f56988168e52b44885a6e19318f4c00f399c03cc9,e946d0c46f832a79e9aa6edf6980cfa87d80b1bac9dc21d341e1513498bdf226,84f6970748359250d66493fd3194a63d50aa13dffc76cbe8e544102dc9e5df3b,65c5300b2978f6833d520e9dc408e7b1cb8ba959fb3d744ecc4ec2355dda0f6b,a3213e569755a6f4c23795fed8a16c246fbb0f7fcbfe83456cf5fbfb7414ad54,8915b045b850e724d87cfc2fff579e3299520a98a23fe4d63a42800d649c3662
"25011","1","2","8","8","10","2","31","25021","91002","281001001"
"25011","2","2","8","8","10","2","31","25021","91002","281001002"
"25011","3","2","8","8","10","2","32","25021","91002","281001003"
"25011","4","2","8","8","10","2","32","25021","91002","281001004"
"25011","5","2","8","8","10","2","33","25021","91002","281001005"
"25011","6","2","8","9","10","2","33","25021","91002","281001006"
"25011","7","2","8","9","10","2","34","25021","91002","281001007"
"25011","8","2","8","9","10","2","35","25021","91002","281001008"
"25011","9","2","8","9","10","2","35","25021","91002","281001009"
"25011","10","2","8","10","30","2","37","25021","91002","281001010"
"25011","11","2","8","10","10","2","41","25021","91002","281001011"
"25011","12","2","8","11","10","2","43","25021","91002","281001012"
"25011","13","2","8","11","10","2","46","25021","91002","281001013"
"25011","14","2","8","12","10","2","48","25021","91002","281001014"
"25011","15","2","8","12","10","2","50","25021","91002","281001015"
"25011","16","2","8","13","10","2","53","25021","91002","281001016"
"25011","17","2","8","14","10","2","55","25021","91002","281001017"
"25011","18","2","8","14","10","2","58","25021","91002","281001018"
"25011","19","2","8","15","10","2","60","25021","91002","281001019"
"25011","20","2","8","15","30","2","62","25021","91002","281001020"
"25011","21","2","8","16","10","2","68","25021","91002","281001021"
"25011","22","2","8","16","10","2","70","25021","91002","281001022"
"25011","23","2","8","16","10","2","72","25021","91002","281001023"
"25011","24","2","8","17","10","2","75","25021","91002","281001024"
"25011","25","2","8","18","10","2","77","25021","91002","281001025"
"25011","26","2","8","18","10","2","79","25021","91002","281001026"
"25011","27","2","8","19","10","2","82","25021","91002","281001027"
"25011","28","2","8","19","10","2","84","25021","91002","281001028"
"25011","29","2","8","19","10","2","86","25021","91002","281001029"
"25011","30","2","8","20","30","2","89","25021","91002","281001030"
"25011","31","2","8","20","10","2","94","25021","91002","281001031"
"25011","32","2","8","21","10","2","96","25021","91002","281001032"
"25011","33","2","8","21","10","2","99","25021","91002","281001033"
"25011","34","2","8","22","10","2","101","25021","91002","281001034"
"25011","35","2","8","22","10","2","103","25021","91002","281001035"
"25011","36","2","8","23","10","2","106","25021","91002","281001036"
"25011","37","2","8","23","10","2","108","25021","91002","281001037"
"25011","38","2","8","24","10","2","111","25021","91002","281001038"
"25011","39","2","8","25","10","2","113","25021","91002","281001039"
"25011","40","2","8","25","30","2","115","25021","91002","281001040"
"25011","41","2","8","26","10","2","121","25021","91002","281001041"
"25011","42","2","8","27","10","2","123","25021","91002","281001042"
"25011","43","2","8","28","10","2","125","25021","91002","281001043"
"25011","44","2","8","28","10","2","128","25021","91002","281001044"
"25011","45","2","8","29","10","2","130","25021","91002","281001045"
"25011","46","2","8","30","10","2","132","25021","91002","281001046"
"25011","47","2","8","30","10","2","135","25021","91002","281001047"
"25011","48","2","8","31","10","2","137","25021","91002","281001048"
"25011","49","2","8","31","10","2","139","25021","91002","281001049"
"25011","50","2","8","31","30","2","142","25021","91002","281001050"
"25011","51","2","8","32","10","2","144","25021","91002","281001051"
"25011","52","2","8","32","10","2","146","25021","91002","281001052"
"25011","53","2","8","32","10","2","149","25021","91002","281001053"
"25011","54","2","8","33","10","2","152","25021","91002","281001054"
"25011","55","2","8","33","10","2","155","25021","91002","281001055"
"25011","56","2","8","33","10","2","157","25021","91002","281001056"
"25011","57","2","8","34","10","2","160","25021","91002","281001057"
"25011","58","2","8","34","10","2","163","25021","91002","281001058"
"25011","59","2","8","34","10","2","166","25021","91002","281001059"
"25011","60","2","8","35","30","2","169","25021","91002","281001060"
"25011","61","2","8","35","10","2","171","25021","91002","281001061"
"25011","62","2","8","35","10","2","174","25021","91002","281001062"
"25011","63","2","8","36","10","2","177","25021","91002","281001063"
"25011","64","2","8","36","10","2","180","25021","91002","281001064"
"25011","65","2","8","36","10","2","182","25021","91002","281001065"
"25011","66","2","8","37","10","2","185","25021","91002","281001066"
"25011","67","2","8","37","10","2","187","25021","91002","281001067"
"25011","68","2","8","37","10","2","190","25021","91002","281001068"
"25011","69","2","8","38","10","2","193","25021","91002","281001069"
"25011","70","2","8","38","30","2","196","25021","91002","281001070"
