edd7b1d56e6175ffedf7241c9c73efb8b07b9fd8ffffa31a3d8fd8895ac7cba6,7012d8dc66ae7a63377945aeef4b5152447d8fbb1ebb2b93882af7b5c7cf8b60,d80d176298653d1056356f758cce47950724ecc0c31d70403184beb3cb1e2b3d,0586c3e59b3ffa6f1e243a5c3e52755e1830106576d92e573d6cfc2413d65788,4cd12e0d9ebd6ded3931276cb4e0219281309ed5091e486eee08f511b56f820a,a6a3d37e5f38b2a43f7186c4e95c97d38204580696f8a1d970814f2fbb718ea0,f427e37668774db4eccf61729e57f245ba46a45a5df26d540b32ca2dd8451701
"0","1","1","0","1","1","1"
"0","1","1","0","2","4","2"
"12","1","1","0","1","5","3"
"0","1","1","0","2","2","4"
"0","2","1","0","1","8","5"
"0","1","2","0","1","1","1"
"0","1","2","0","2","1","2"
"0","1","2","0","1","6","3"
"0","1","2","0","2","1","4"
"0","1","2","0","3","1","5"
"11","3","2","0","1","3","6"
"0","1","2","0","2","1","7"
"0","1","2","0","1","3","8"
"0","2","2","0","1","1","9"
"0","1","3","0","1","1","1"
"0","1","3","0","2","10","2"
"0","1","3","0","1","11","3"
"0","1","3","0","2","5","4"
"0","1","3","0","3","6","5"
"0","1","3","0","3","3","6"
"9","2","3","0","4","3","7"
"0","1","3","0","4","7","8"
"0","1","3","0","4","1","9"
"8","3","3","0","1","9","10"
"0","1","3","0","2","4","11"
"0","1","3","0","1","1","12"
"0","1","3","0","4","3","13"
"11","2","3","0","3","3","14"
"10","1","4","0","1","4","1"
"12","1","4","0","1","12","2"
"10","1","4","0","2","1","3"
"4","1","4","0","1","11","4"
"0","1","4","0","2","1","5"
"13","1","4","0","1","4","6"
"6","1","4","0","2","2","7"
"0","1","4","0","1","8","8"
"10","1","4","0","2","8","9"
"10","1","5","0","1","1","1"
"5","1","5","0","2","11","2"
"7","1","5","0","1","1","3"
"12","1","5","0","2","5","4"
"11","1","5","0","1","1","5"
"4","1","5","0","2","3","6"
"12","1","5","0","2","5","7"
"6","1","5","0","1","2","8"
"4","1","5","0","2","11","9"
"8","1","5","0","1","8","10"
"10","1","5","0","1","4","11"
"10","1","5","0","2","5","12"
"7","1","6","0","1","8","1"
"10","1","6","0","2","4","2"
"11","1","6","0","1","1","3"
"8","1","6","0","2","8","4"
"6","1","6","0","1","11","5"
"7","2","6","0","1","2","6"
"4","1","6","0","1","5","7"
"10","1","6","0","2","4","8"
"13","2","6","0","1","10","9"
"7","1","7","0","1","8","1"
"10","1","7","0","2","12","2"
"12","1","7","0","2","4","3"
"7","1","7","0","1","11","4"
"10","1","7","0","1","1","5"
"12","1","7","0","2","5","6"
"11","1","7","0","2","5","7"
"10","1","7","0","2","8","8"
"8","1","7","0","1","2","9"
"7","1","7","0","1","8","10"
"9","1","7","0","2","4","11"
"10","2","8","0","1","1","1"
"10","1","8","0","2","12","2"
"5","1","8","0","1","12","3"
"12","1","8","0","1","5","4"
"10","1","8","0","2","1","5"
"12","1","8","0","1","5","6"
"12","1","8","0","1","5","7"
"10","1","8","0","2","1","8"
"9","1","8","0","2","8","9"
"9","2","8","0","1","4","10"
"8","1","9","0","1","4","1"
"10","1","9","0","1","5","2"
"7","1","9","0","2","4","3"
"8","1","9","0","2","6","4"
"10","1","9","0","1","1","5"
"11","1","9","0","1","11","6"
"6","1","9","0","1","1","7"
"8","1","9","0","2","5","8"
"7","1","9","0","2","8","9"
"6","1","9","0","1","4","10"
"10","1","10","0","2","11","1"
"7","1","10","0","1","1","2"
"8","2","10","0","1","8","3"
"9","1","10","0","2","5","4"
"8","1","10","0","1","10","5"
"7","2","10","0","1","1","6"
