5d49442e91a91a4c948f7bf8752760924927e5aafbc00f26ee3360fbbd19fb0f,ea1281628e1d6bf9f11d60ed3f574540c52ead813d24f07acaa353214ec8ac20,00319f9e9029f9b1c97b1b6d78abab19a75d0ed9d6d5e893b48019e258f846bd,9ffc04086cac53e4d95491cc8346dff04e9b902b43a151bf1793122c71e1a481,50b93ca102565aa5990b69a1fe1756905c0a0652166ee0cde50f1e4ddab392af,8bf2f60e54f23a905e02ad178bd239034086a46c7396f69d5bebae9720bef2d8,951aec5f054567c93e90047a7d58a2fb417856b6a71321d4c2a687d4364cee44,45fe15a6bb62e755a4b38856e5ef064961a3fbbf9e84976a9317d20ddca10855,e9a1f816f732c06c4a0e0f304d0949ba5b3acf98d01fb24856dd4068d72f0940,4ac21c92d7513431cfe4a29ba76e27d4f951fc2fcbfee7e78a82c6c785e9e91c,acc035d9be57859c1a900ccef6e9d0277dd1705871e80c33cac618523c621592,d2b62ee3d410e2d3c98980f94fe4e2ac0fbe58c7a92a68c57b625199d5686b86,bfea00590b895ebbe4a2a4cc83d3dc0c0f2420600f30de0d94049434141c37d2,f7fa6415563f853297076993d634757ace697cdffd85f00f516c1e3da3e383ac,15ce402a2e26a1ae85d41b53d8d6d4f3c77f361bb60b68283cd8af10731dd14e,d5c52e4369f6beae43d2727a93127cfccb071983315fdd35cbef5ddb50b6b6cd
"90006","2","0","22002","40","0","91002","1","0","0","40","2","0","8","0","1001101"
"90006","2","0","22002","50","0","91002","2","0","0","60","2","0","8","0","1001102"
"90006","2","0","22002","60","0","91002","3","0","0","80","2","0","8","0","1001103"
"90006","2","0","22002","80","0","91002","4","0","0","100","2","0","8","0","1001104"
"90006","2","0","22003","150","0","91002","2","0","0","200","2","0","8","0","1001105"
"22002","0","0","0","1","0","90006","0","0","0","20","2","0","2","0","1001106"
"22002","0","0","0","1","0","90006","0","0","0","20","2","0","2","0","1001107"
"22002","0","0","0","1","0","90006","0","0","0","20","2","0","2","0","1001108"
"22002","0","0","0","1","0","90006","0","0","0","20","2","0","2","0","1001109"
"22003","0","0","0","1","0","90006","0","0","0","20","2","0","2","0","1001110"
"90006","2","0","22002","40","0","91002","1","0","0","40","2","0","8","0","1002101"
"90006","2","0","22002","50","0","91002","2","0","0","60","2","0","8","0","1002102"
"90006","2","0","22002","60","0","91002","3","0","0","80","2","0","8","0","1002103"
"90006","2","0","22002","80","0","91002","4","0","0","100","2","0","8","0","1002104"
"90006","2","0","22003","150","0","91002","2","0","0","200","2","0","8","0","1002105"
"22002","0","0","0","1","0","90006","0","0","0","40","2","0","2","0","1002106"
"22002","0","0","0","1","0","90006","0","0","0","40","2","0","2","0","1002107"
"22002","0","0","0","1","0","90006","0","0","0","40","2","0","2","0","1002108"
"22002","0","0","0","1","0","90006","0","0","0","40","2","0","2","0","1002109"
"22003","0","0","0","1","0","90006","0","0","0","40","2","0","2","0","1002110"
"90006","2","0","22002","40","0","91002","1","0","0","40","2","0","8","0","1003101"
"90006","2","0","22002","50","0","91002","2","0","0","60","2","0","8","0","1003102"
"90006","2","0","22002","60","0","91002","3","0","0","80","2","0","8","0","1003103"
"90006","2","0","22002","80","0","91002","4","0","0","100","2","0","8","0","1003104"
"90006","2","0","22003","150","0","91002","2","0","0","200","2","0","8","0","1003105"
"22002","0","0","0","1","0","90006","0","0","0","40","2","0","2","0","1003106"
"22002","0","0","0","1","0","90006","0","0","0","40","2","0","2","0","1003107"
"22002","0","0","0","1","0","90006","0","0","0","40","2","0","2","0","1003108"
"22002","0","0","0","1","0","90006","0","0","0","40","2","0","2","0","1003109"
"22003","0","0","0","1","0","90006","0","0","0","40","2","0","2","0","1003110"
"90006","2","0","0","20","0","91002","0","0","0","40","2","0","8","0","1004101"
"90006","2","0","0","30","0","91002","0","0","0","50","2","0","8","0","1004102"
"90006","2","0","0","40","0","91002","0","0","0","75","2","0","8","0","1004103"
"90006","2","0","0","50","0","91002","0","0","0","100","2","0","8","0","1004104"
"90006","2","0","31018","100","0","91002","2","0","0","150","2","0","8","0","1004105"
"90006","2","0","0","20","0","91002","0","0","0","20","2","0","8","0","1004106"
"90006","2","0","0","30","0","91002","0","0","0","25","2","0","8","0","1004107"
"90006","2","0","0","40","0","91002","0","0","0","30","2","0","8","0","1004108"
"90006","2","0","0","50","0","91002","0","0","0","40","2","0","8","0","1004109"
"90006","2","0","31018","100","0","91002","1","0","0","80","2","0","8","0","1004110"
"90006","2","0","0","30","0","91002","0","0","0","20","2","0","8","0","1004111"
"90006","2","0","0","40","0","91002","0","0","0","25","2","0","8","0","1004112"
"90006","2","0","0","50","0","91002","0","0","0","30","2","0","8","0","1004113"
"90006","2","0","0","60","0","91002","0","0","0","40","2","0","8","0","1004114"
"90006","2","0","31018","100","0","91002","1","0","0","80","2","0","8","0","1004115"
"0","0","0","0","0","0","94002","0","0","0","25000","0","0","12","0","1004116"
"90006","2","0","0","20","0","91002","0","0","0","40","2","0","8","0","1005101"
"90006","2","0","0","30","0","91002","0","0","0","50","2","0","8","0","1005102"
"90006","2","0","0","40","0","91002","0","0","0","75","2","0","8","0","1005103"
"90006","2","0","0","50","0","91002","0","0","0","100","2","0","8","0","1005104"
"90006","2","0","31042","100","0","91002","2","0","0","150","2","0","8","0","1005105"
"90006","2","0","0","20","0","91002","0","0","0","20","2","0","8","0","1005106"
"90006","2","0","0","30","0","91002","0","0","0","25","2","0","8","0","1005107"
"90006","2","0","0","40","0","91002","0","0","0","30","2","0","8","0","1005108"
"90006","2","0","0","50","0","91002","0","0","0","40","2","0","8","0","1005109"
"90006","2","0","31042","100","0","91002","1","0","0","80","2","0","8","0","1005110"
"90006","2","0","0","30","0","91002","0","0","0","20","2","0","8","0","1005111"
"90006","2","0","0","40","0","91002","0","0","0","25","2","0","8","0","1005112"
"90006","2","0","0","50","0","91002","0","0","0","30","2","0","8","0","1005113"
"90006","2","0","0","60","0","91002","0","0","0","40","2","0","8","0","1005114"
"90006","2","0","31042","100","0","91002","1","0","0","80","2","0","8","0","1005115"
"0","0","0","0","0","0","94002","0","0","0","25000","0","0","12","0","1005116"
"90006","2","0","0","20","0","91002","0","0","0","40","2","0","8","0","1006101"
"90006","2","0","0","30","0","91002","0","0","0","50","2","0","8","0","1006102"
"90006","2","0","0","40","0","91002","0","0","0","75","2","0","8","0","1006103"
"90006","2","0","0","50","0","91002","0","0","0","100","2","0","8","0","1006104"
"90006","2","0","31025","100","0","91002","2","0","0","150","2","0","8","0","1006105"
"90006","2","0","0","20","0","91002","0","0","0","20","2","0","8","0","1006106"
"90006","2","0","0","30","0","91002","0","0","0","25","2","0","8","0","1006107"
"90006","2","0","0","40","0","91002","0","0","0","30","2","0","8","0","1006108"
"90006","2","0","0","50","0","91002","0","0","0","40","2","0","8","0","1006109"
"90006","2","0","31025","100","0","91002","1","0","0","80","2","0","8","0","1006110"
"90006","2","0","0","30","0","91002","0","0","0","20","2","0","8","0","1006111"
"90006","2","0","0","40","0","91002","0","0","0","25","2","0","8","0","1006112"
"90006","2","0","0","50","0","91002","0","0","0","30","2","0","8","0","1006113"
"90006","2","0","0","60","0","91002","0","0","0","40","2","0","8","0","1006114"
"90006","2","0","31025","100","0","91002","1","0","0","80","2","0","8","0","1006115"
"0","0","0","0","0","0","94002","0","0","0","25000","0","0","12","0","1006116"
"90006","2","0","0","20","0","91002","0","0","0","40","2","0","8","0","1007101"
"90006","2","0","0","30","0","91002","0","0","0","50","2","0","8","0","1007102"
"90006","2","0","0","40","0","91002","0","0","0","75","2","0","8","0","1007103"
"90006","2","0","0","50","0","91002","0","0","0","100","2","0","8","0","1007104"
"90006","2","0","31018","100","0","91002","2","0","0","150","2","0","8","0","1007105"
"90006","2","0","0","20","0","91002","0","0","0","20","2","0","8","0","1007106"
"90006","2","0","0","30","0","91002","0","0","0","25","2","0","8","0","1007107"
"90006","2","0","0","40","0","91002","0","0","0","30","2","0","8","0","1007108"
"90006","2","0","0","50","0","91002","0","0","0","40","2","0","8","0","1007109"
"90006","2","0","31018","100","0","91002","1","0","0","80","2","0","8","0","1007110"
"90006","2","0","0","30","0","91002","0","0","0","20","2","0","8","0","1007111"
"90006","2","0","0","40","0","91002","0","0","0","25","2","0","8","0","1007112"
"90006","2","0","0","50","0","91002","0","0","0","30","2","0","8","0","1007113"
"90006","2","0","0","60","0","91002","0","0","0","40","2","0","8","0","1007114"
"90006","2","0","31018","100","0","91002","1","0","0","80","2","0","8","0","1007115"
"0","0","0","0","0","0","94002","0","0","0","25000","0","0","12","0","1007116"
"90006","2","0","0","20","0","91002","0","0","0","40","2","0","8","0","1008101"
