8bcf182949e1556f6066ffb8eaa06da8c134763b5b01b8b2cad5ac5596837624,1cd02e743879ca5d3f62f987407033a9cc456e82183b9aff843a45e4398ac852,2175ac5918b301f544ab4cb7f44da488bfc1fc96150f4772324d9d3ec125a881,cd028573f50329c60fe504ee7a0011556eede5b0c5b96bae4a5cbf7629249c36,dcf48cd602459e40ac0fa4ef2fbb46f0033ac268341adad04bc5b9a5ecaf9963,115a07d78e12d5ad7b36c70d709eaa35709f5012ed4605cff32d81f430838128,69fcc24e0f9f36dba674b0781c7ab86f67d76837047e989373b11eb3d21f57a1,0dc9cda7196727aa6e0927ce21eb0a3121b8cf06229217c48c5829301ed0ef8d
"104","3","2","200","5","1","4","111"
"14","3","2","2","5","1","4","211"
"103","3","2","2","5","1","4","311"
"102","3","2","2","5","1","4","411"
"104","3","2","200","5","1","4","511"
"1","3","2","250","5","1","4","611"
"101","3","2","3","5","1","4","711"
"100","3","2","3","5","1","4","811"
"104","3","2","200","5","1","4","911"
"1","3","2","250","5","1","4","1011"
"3","3","2","250","5","1","4","1111"
"5","3","2","250","5","1","4","1112"
"6","3","2","150","5","1","4","1211"
"7","3","2","150","5","1","4","1212"
"104","3","2","200","5","1","4","1311"
"103","3","2","2","5","1","4","1411"
"102","3","2","2","5","1","4","1511"
"1","3","2","250","5","1","4","1611"
"104","3","2","200","5","1","4","1711"
"2","3","2","500","5","1","4","1811"
"4","3","2","500","5","1","4","1812"
"101","3","2","3","5","1","4","1911"
"100","3","2","3","5","1","4","2011"
"104","3","2","200","5","1","4","2111"
"1","3","2","250","5","1","4","2211"
"100","3","2","3","5","1","4","2311"
"101","3","2","3","5","1","4","2411"
"104","3","2","200","5","1","4","2511"
"2","3","2","500","5","1","4","2611"
"4","3","2","500","5","1","4","2612"
"6","3","2","150","5","1","4","2711"
"7","3","2","150","5","1","4","2712"
"2","3","2","500","5","1","4","2811"
"4","3","2","500","5","1","4","2812"
"104","3","2","200","5","1","4","2911"
"3","3","2","250","5","1","4","3011"
"5","3","2","250","5","1","4","3012"
"100","3","2","3","5","1","4","3111"
"101","3","2","3","5","1","4","3211"
"104","3","2","200","5","1","4","3311"
"100","3","2","2","5","1","4","3411"
"104","3","2","200","5","1","4","3511"
"103","3","2","1","5","1","4","3611"
"102","3","2","1","5","1","4","3711"
"2","3","2","250","5","1","4","3811"
"4","3","2","250","5","1","4","3812"
"102","3","2","1","5","1","4","3911"
"104","3","2","200","5","1","4","4011"
"100","3","2","2","5","1","4","4111"
"6","3","2","150","5","1","4","4211"
"7","3","2","150","5","1","4","4212"
"104","3","2","200","5","1","4","4311"
"103","3","2","1","5","1","4","4411"
"104","3","2","200","5","1","4","4511"
"101","3","2","2","5","1","4","4611"
"102","3","2","1","5","1","4","4711"
"104","3","2","200","5","1","4","4811"
"103","3","2","1","5","1","4","4911"
"104","3","2","200","5","1","4","5011"
"101","3","2","2","5","1","4","5111"
"102","3","2","1","5","1","4","5211"
"104","3","2","200","5","1","4","5311"
"6","3","2","150","5","1","4","5411"
"7","3","2","150","5","1","4","5412"
"103","3","2","1","5","1","4","5511"
"104","3","2","200","5","1","4","5611"
"100","3","2","2","5","1","4","5711"
"101","3","2","2","5","1","4","5811"
"103","3","2","1","5","1","4","5911"
"104","3","2","200","5","1","4","6011"
"102","3","2","1","5","1","4","6111"
"2","3","2","250","5","1","4","6211"
"4","3","2","250","5","1","4","6212"
"104","3","2","200","5","1","4","6311"
"103","3","2","1","5","1","4","6411"
"102","3","2","1","5","1","4","6511"
"104","3","2","200","5","1","4","6611"
"6","3","2","150","5","1","4","6711"
"7","3","2","150","5","1","4","6712"
"102","3","2","1","5","1","4","6811"
"104","3","2","200","5","1","4","6911"
"103","3","2","1","5","1","4","7011"
"101","3","2","2","5","1","4","7111"
"100","3","2","2","5","1","4","7211"
"104","3","2","200","5","1","4","7311"
"103","3","2","1","5","1","4","7411"
"102","3","2","1","5","1","4","7511"
"2","3","2","250","5","1","4","7611"
"4","3","2","250","5","1","4","7612"
"104","3","2","200","5","1","4","7711"
"101","3","2","2","5","1","4","7811"
"100","3","2","2","5","1","4","7911"
"104","3","2","200","5","1","4","8011"
"6","3","2","150","5","1","4","8111"
"7","3","2","150","5","1","4","8112"
"101","3","2","2","5","1","4","8211"
"2","3","2","250","5","1","4","8311"
"4","3","2","250","5","1","4","8312"
"103","3","2","1","5","1","4","8411"
"104","3","2","200","5","1","4","8511"
"100","3","2","2","5","1","4","8611"
"102","3","2","1","5","1","4","8711"
"103","3","2","1","5","1","4","8811"
"104","3","2","200","5","1","4","8911"
"102","3","2","1","5","1","4","9011"
"104","3","2","200","5","1","4","9111"
"2","3","2","250","5","1","4","9211"
"4","3","2","250","5","1","4","9212"
"104","3","2","200","5","1","4","9311"
"102","3","2","1","5","1","4","9411"
"103","3","2","1","5","1","4","9511"
"104","3","2","200","5","1","4","9611"
