01fe468c1318e1fae6f7dfb2c1da651b86b8345e344efb3ba39716075f714051,be399a7d792d4c6cb78cae6c1b0e89a0f829d298399e256e53797d28e93530cb,7d913f1870dceccd1e109ba6fa347e093d6b25c3cc5cd63b3eac2bdd386211cb,6dc6d75168237ad8e1d3fb2860adba4d222dd283a52bced84e4d1c5933b18a01,26a5c27e899ef642fd0a48bd671b1418cba5f91ac5539102b6f1896e56e62501,2266ef61e3002ad728ad3304ae2a324a7b39134da35bd15df3e0d604be162e77,590f5e42f1bd4f87ad4294a023aebe618deffd47e29c9a22e0ee4934256e1632,24dbbd37d6bf8f9dbc5ec23f79be1a1d316ff5808bb4ee4de989cfa72a18bbf3,49342a31f426027ee8e6a8d0f73024ca85cf1a3eb9eff1496ebf8ec0393b9d44,bdb55769b6a5e8913104195669ce2012ad7d0d87abf713c77a0eed70d4866cf3,9a3c36195902d5def95e9a7fb6553d1755aa10c702051d8fba3ef45473daf88b
"1","idle_normal","1001","100","-216","5","1","1","-103","1.4","1"
"","","1002","-57","-140","31","13","13","1","0","1"
"","","1003","-57","-140","31","14","14","1","0","1"
"","","1004","","","91","0","0","","","1"
"0","","1005","0","top_luis_arm_crossed_idle","3","top_luis_arm_crossed_in","1","1","0.2","1"
"","","1006","","","93","0","4","","","1"
"0","","1007","0","top_luis_approach_idle","3","top_luis_approach_in","1","1","0.2","1"
"","","1008","","","93","0","3.5","","","1"
"","","1009","1","","3","top_luis_thinking","1","","0.2","1"
"","","1010","","","93","0","3.5","","","1"
"","","1011","1","","3","top_luis_walk_think","1","","0.2","1"
"","","1012","-103","2","2","-495","1","0","","1"
"","","1013","","","93","0","2","","","1"
"","","1014","","","4","0","1","","","1"
"","","1015","-103","2","2","-216","1","0","","1"
"","","1016","","","93","0","2","","","1"
"","","1017","1","","3","top_luis_notice","1","","0","1"
"","","1018","","","93","0","1","","","1"
"","","1019","1","","3","top_luis_walk_jog","1","","0.2","1"
"","","1020","-130","0.5","2","-100","1","0","","1"
"","","1021","","","93","0","0.5","","","1"
"","","1022","","","4","1","1","","","1"
"0","","1023","0","top_luis_sit_idle","3","top_luis_sit_in","1","1","0.2","1"
"","","1024","","","93","0","0.1","","","1"
"","","1025","-140","0.4","2","-57","1","0","","1"
"","","1026","","","93","0","1","","","1"
"","","1027","0","","3","top_luis_experiment_failer_in","1","","0.2","1"
"","","1028","","","93","0","2.3","","","1"
"","","1029","0","","3","top_luis_experiment_failer_mix","1","","0.1","1"
"","","1030","","","93","0","2.7","","","1"
"","","1031","","","32","1","13","","","1"
"","","1032","0","","3","top_luis_experiment_failer_burst","1","","0.1","1"
"","","1033","","","93","0","2.7","","","1"
"","","1034","0","","3","top_luis_experiment_failer_out","1","","0.1","1"
"","","1035","","","93","0","1.1","","","1"
"0","","1036","0","idle_normal","3","top_luis_sit_out","1","1","0.2","1"
"","","1037","-130","0.3","2","-100","1","0","","1"
"","","1038","","","93","0","1","","","1"
"","","1039","0","","3","walk_normal","1","","0.2","1"
"","","1040","-103","1","2","-216","1","0","","1"
"","","1041","","","93","0","1","","","1"
"","","1042","0","","3","idle_normal","1","","0.1","1"
"","","1043","","","93","0","0.8","","","1"
"","","1044","","","32","0","13","","","1"
"0","","1045","0","top_luis_arm_crossed_idle","3","top_luis_arm_crossed_in","1","1","0.2","1"
"","","1046","","","93","0","4","","","1"
"0","","1047","0","top_luis_approach_idle","3","top_luis_approach_in","1","1","0.2","1"
"","","1048","","","93","0","3.5","","","1"
"","","1049","1","","3","top_luis_thinking","1","","0.2","1"
"","","1050","","","93","0","3.5","","","1"
"","","1051","1","","3","top_luis_walk_think","1","","0.2","1"
"","","1052","-103","2","2","-495","1","0","","1"
"","","1053","","","93","0","2","","","1"
"","","1054","","","4","0","1","","","1"
"","","1055","-103","2","2","-216","1","0","","1"
"","","1056","","","93","0","2","","","1"
"","","1057","1","","3","top_luis_notice","1","","0","1"
"","","1058","","","93","0","1","","","1"
"","","1059","1","","3","top_luis_walk_jog","1","","0.2","1"
"","","1060","-130","0.5","2","-100","1","0","","1"
"","","1061","","","93","0","0.5","","","1"
"","","1062","","","4","1","1","","","1"
"0","","1063","0","top_luis_sit_idle","3","top_luis_sit_in","1","1","0.2","1"
"","","1064","","","93","0","0.1","","","1"
"","","1065","-140","0.4","2","-57","1","0","","1"
"","","1066","","","93","0","1","","","1"
"","","1067","0","","3","top_luis_experiment_success_in","1","","0.2","1"
"","","1068","","","93","0","2.3","","","1"
"","","1069","0","","3","top_luis_experiment_success_mix","1","","0.1","1"
"","","1070","","","93","0","2.7","","","1"
"","","1071","","","32","1","14","","","1"
"","","1072","0","","3","top_luis_experiment_success_burst","1","","0.1","1"
"","","1073","","","93","0","2.7","","","1"
"","","1074","0","","3","top_luis_experiment_success_out","1","","0.1","1"
"","","1075","","","93","0","1.1","","","1"
"0","","1076","0","idle_normal","3","top_luis_sit_out","1","1","0.2","1"
"","","1077","-130","0.3","2","-100","1","0","","1"
"","","1078","","","93","0","1","","","1"
"","","1079","0","","3","walk_normal","1","","0.2","1"
"","","1080","-103","1","2","-216","1","0","","1"
"","","1081","","","93","0","1","","","1"
"","","1082","0","","3","idle_normal","1","","0.1","1"
"","","1083","","","93","0","0.8","","","1"
"","","1084","","","32","0","14","","","1"
"","","1085","0","0","101","","1005","","","1"
"1","top_iroha_read","2001","100","400","5","2","2","-130","1.43","2"
"1","butterfly","2002","101","980","5","11","11","130","1.4","2"
"","","2003","400","-130","31","11","11","1","0","2"
"","","2004","","","91","0","0","","","2"
"","","2005","1","","3","top_iroha_read","2","","0.2","2"
"","","2006","","","93","0","9","","","2"
"","","2007","","","4","1","11","","","2"
"","","2008","130","7","2","-980","11","0","","2"
"","","2009","","","93","0","2.5","","","2"
"","","2010","0","","3","top_iroha_read_notice","2","","0.2","2"
"","","2011","","","93","0","0.6","","","2"
"0","","2012","0","top_iroha_run","3","top_iroha_notice_to_run","2","1","0","2"
"","","2013","","","93","0","0.4","","","2"
"","","2014","","","32","1","11","","","2"
"","","2015","","","37","smokeR","11","","","2"
"","","2016","-130","4.2","33","-980","11","0","","2"
"","","2017","-130","4.2","2","-980","2","0","","2"
"","","2018","","","93","0","4.2","","","2"
"","","2019","","","32","0","11","","","2"
"","","2020","","","93","0","1","","","2"
"","","2021","","","4","0","11","","","2"
"","","2022","130","7","2","980","11","0","","2"
"","","2023","","","93","0","1.5","","","2"
"","","2024","","","32","1","11","","","2"
"","","2025","","","37","smokeL","11","","","2"
"","","2026","-130","5.964","33","980","11","0","","2"
"","","2027","1","","3","top_iroha_run_joy","2","","0","2"
"","","2028","","","4","0","2","","","2"
"","","2029","-130","5.964","2","980","2","0","","2"
"","","2030","","","93","0","5.964","","","2"
"","","2031","","","32","0","11","","","2"
"","","2032","","","93","0","2","","","2"
"","","2033","1","","3","top_iroha_walk","2","","0","2"
"","","2034","","","4","1","2","","","2"
"","","2035","-130","3","2","400","2","0","","2"
"","","2036","-130","3","33","400","11","0","","2"
"","","2037","","","93","0","3","","","2"
"0","","2038","0","idle_normal","3","top_iroha_walk_out","2","1","0.2","2"
"","","2039","","","93","0","0.4","","","2"
"0.2","","2040","0","","3","top_iroha_sit_in","2","","0.2","2"
"","","2041","","","93","0","4","","","2"
"","","2042","","","101","","2005","","","2"
"1","top_sono_readPaper","3001","100","350","5","3","3","-130","1.38","3"
"","","3002","475","-18","31","10","10","1","1","3"
"","","3003","","","91","0","0","","","3"
"","","3004","1","","3","top_sono_readPaper","3","","0.2","3"
"","","3005","","","93","0","13.6","","","3"
"0","","3006","0","top_sono_stretch","3","top_sono_sit_out","3","1","0.2","3"
"","","3007","","","93","0","3.5","","","3"
"","","3008","1","","3","top_sono_drink","3","","0.2","3"
"","","3009","","","93","","10.5","","","3"
"","","3010","0","","3","top_sono_sit_in","3","","0.2","3"
"","","3011","","","93","0","2.6","","","3"
"","","3012","","","101","","3004","","","3"
"1","top_iroha_read","4001","101","400","5","2","2","-130","1.43","4"
"1","top_luis_thinking","4002","100","-216","5","1","1","-103","1.4","4"
"1","butterfly","4003","102","980","5","11","11","130","1.4","4"
"","","4004","400","-130","31","11","11","1","0","4"
"","","4005","","","91","0","0","","","4"
"","","4006","1","","3","top_luis_thinking","1","","0.2","4"
"","","4007","1","","3","top_iroha_read","2","","0.2","4"
"","","4008","","","93","0","9","","","4"
"","","4009","","","4","1","11","","","4"
"","","4010","130","7","2","-980","11","0","","4"
"","","4011","","","93","0","2.5","","","4"
"","","4012","0","","3","top_iroha_read_notice","2","","0.2","4"
"","","4013","","","93","0","0.6","","","4"
"0","","4014","0","top_iroha_run","3","top_iroha_notice_to_run","2","1","0","4"
"","","4015","","","93","0","0.4","","","4"
"","","4016","","","32","1","11","","","4"
"","","4017","","","37","smokeR","11","","","4"
"","","4018","-130","4.2","33","-980","11","0","","4"
"","","4019","-130","4.2","2","-980","2","0","","4"
"","","4020","","","93","0","1.9","","","4"
"0","","4021","0","top_luis_surprise_idle","3","top_luis_surprise_in","1","1","0.2","4"
"","","4022","","","93","0","2.3","","","4"
"","","4023","","","32","0","11","","","4"
"","","4024","","","93","0","1","","","4"
"","","4025","","","4","0","11","","","4"
"","","4026","130","7","2","980","11","0","","4"
"","","4027","","","93","0","1.5","","","4"
"","","4028","","","32","1","11","","","4"
"","","4029","","","37","smokeL","11","","","4"
"","","4030","-130","5.964","33","980","11","0","","4"
"","","4031","1","","3","top_iroha_run_joy","2","","0","4"
"","","4032","","","4","0","2","","","4"
"","","4033","-130","5.964","2","980","2","0","","4"
"","","4034","","","93","0","2.2","","","4"
"","","4035","1","","3","top_luis_surprise_look","1","","0","4"
"","","4036","","","93","0","3.764","","","4"
"","","4037","1","","3","top_luis_thinking","1","","0.2","4"
"","","4038","","","32","0","11","","","4"
"","","4039","","","93","0","2","","","4"
"","","4040","1","","3","top_iroha_walk","2","","0","4"
"","","4041","","","4","1","2","","","4"
"","","4042","-130","3","2","400","2","0","","4"
"","","4043","-130","3","33","400","11","0","","4"
"","","4044","","","93","0","3","","","4"
