af95a321a4bbc52474560ef7d8d2503e27c688791f95c07f53d36f27c186a622,e338248983ac4a6e0531d1de7c0c8b85b195213a626d322f23d56aea01a7c7f6,b9411a77ec4e1363d32e0e421647ad935b506a9b1b5c39ba674eedf67fb4c7bd,c32053824de888df80f257f8a768b283521df2f63f7e921f48c1e51b8d96a515,55f4e69fc28c4e0e9243fd82f02fe60b71cdadf2ac7e34c38c7d051adc59bc04,e665918e8d7b1a17832e9bfcab035fec0cc14eb5ebc44ef227192f13c9589528,31fcac7a3d631293fa0e8ae43a843c3462c4f55738b89021b26d6940be433b14,43c3224e66fd6fee0a16c95847be084fbec89836b3296e9b967a31f2557eb313,b9366be5188ed8fbdd3a84001d99ed5649c8e2cd5ee96491d03ef559af8ea3c1,b14f5832fa53d403ea6c7882e350e635f484fe54fdd66506296b12400ab054cf,12693a33f5a8bd3e0b285ecd5220720203ae523c8802f3e349427636948657f3,88eb6836292526a7fad252f0b44f08356222a9544c3a36955d86f98812cb3aaf,a62ac56491a3622a262d86906d2029f88c664254756afad3e18e55c8085ed8b7,06616de07663ad97ed1a8c6710b777253bc46399d900fc8d26ca99966363b904,c13d280a1b37f5f10920e0a51a539c29e8ad5b132c576777281c50746401a681,b20fdd08a2e4c3bbaa91f5c4d6c9f77630d0ca114bcca78966a5ad45dd58c5cc,29a5bbd9fa22be1053a9eba2c1076a386881e99c6601021f417cc3780aaef811,84d877816bd772c0879d85a339364f153968bda2c76473ae6a5d4c8ee817578c,ee179e6db44cb65ed9e5de8c5643fb806693eb622741e74fdeed0059ae73726a,9ef295072ebce4a17df483c4cf35513d6880ab5e017c40802f543c38f865e16a,9bc424b0f18e272ce1828d8923286e0827458712d1f56e3ec7150f2acb588768,d9737498b56a928d6907c3364f9814cabf9b6e5766a7b0e25729d070e72904e5,17b095e2c880e6ecf42cc92640c9b35185d0135bf008be72976ae594f04e4f75,42ca211697580b1a6f4f170a8ad8b1592b22fde966f4f549765dec75a8a50808,c682246b97286cf0721d76082641ae1efe55f8b562e9f574114cc8c2626b2b5a,9352aafb1e4e30977490eb4219ea5b45862f4979b6ceff6f9c43c0a804bf78e1,046585a8c1506cfe3b39f15bcb71c5fdbe7acef8dd1994c7e40c23b88d5031ab,c7782c9d2f5bb581e43a1edf121470d9be31fe847957e532c6100d17b3bea18f,3d23d500e88809243e443aca9b90e12eaa51babba9dc473f7cf74823d4c9e723,c5f979390217045dadc12b315e63f0af1f79e322384908c744642443ad0fb21d,c1a818e85535582762efede4bbcf16a16b2ee021aca4b68469afa31c217b9dc8,8a664464bba1786671f5ceef46adcef11ee32949cc6fb448b8454eefc69121ce,eb083307e407503adb1f23418fdb231d631ebea39ae2287a836a2ac30035594c,9769b61b8c30c5e83b4b705e5260d017cf27ce40c7ded6bad77bb127a3b509e5,1347a5fdcc2aa66ed8eabaa8a9f91f142172dd4e810d8c9672fdf142103ba4a2,abea3f2fadded5929eae0c8ccf9e64d46c2d81f1a91e88bde606c7cee6628ac9,748f4a3a664666b0b71ab052c800e08f5ca572cf9f91634f5e37dd56b99436ef,e2ae1392da5d33c64f9c7d6dbf9b795141f504da82b918155c0953025bd2f2d8,333a8355565f50c87cf22c120ead40d183bc76253d8d47e6423167578dc6c0e5,f23ae120310742b7c8bd4905fdea0af5d057abfedaf5cf185598e7538ab16464
"329","1","1","0","1","1","4","1","1","0","3","0","10","1","1","10","0","1","0","200000006","1","0","30","0","670010001","0","1","1","1","1","24","1","1","1","1","1","0","1","0","200100"
"338","2","2","0","2","2","9","2","2","0","3","0","10","2","2","10","0","2","0","200000006","2","0","30","0","670010002","0","2","2","2","2","28","2","1","1","2","2","0","1","0","200100"
"347","3","3","0","3","3","5","3","3","0","4","0","10","3","3","10","0","3","0","200000006","3","0","30","0","670010003","0","3","3","3","3","32","3","1","1","3","3","0","1","0","200100"
"347","4","4","0","4","4","5","4","4","0","4","0","10","4","4","10","0","4","0","200000006","4","0","30","0","670010004","0","4","4","4","4","32","4","1","1","4","4","0","1","0","200100"
"349","5","5","0","5","5","5","5","5","0","4","0","10","5","5","10","0","5","0","200000006","5","0","30","0","670010005","0","5","5","5","5","35","5","1","1","5","5","0","1","0","200100"
"367","6","6","0","6","6","7","6","6","0","6","0","10","6","6","10","0","6","0","200000006","6","0","30","0","670010006","0","6","6","6","6","48","6","1","1","6","6","0","1","0","200100"
"413","7","7","0","7","7","8","7","7","0","7","0","10","7","7","10","0","7","0","200000006","7","0","30","0","670010007","0","7","7","7","7","55","7","1","1","7","7","0","1","0","200100"
"459","8","8","0","8","8","9","8","8","0","7","0","10","8","8","10","0","8","0","200000006","8","0","30","0","670010008","0","8","8","8","8","62","8","1","1","8","8","0","1","0","200100"
"505","9","9","0","9","9","9","9","9","0","8","0","10","9","9","10","0","9","0","200000006","9","0","30","0","670010009","0","9","9","9","9","68","9","1","1","9","9","0","1","0","200100"
"551","10","10","0","10","10","10","10","10","0","9","0","10","10","10","10","0","10","0","200000006","10","0","30","0","670010010","0","10","10","10","10","75","10","1","1","10","10","0","1","0","200100"
"598","11","11","0","11","11","11","11","11","0","9","0","10","11","11","10","0","11","0","200000006","11","0","30","0","670010011","0","11","11","11","11","82","11","1","1","11","11","0","1","0","200100"
"644","12","12","0","12","12","12","12","12","0","10","0","10","12","12","10","0","12","0","200000006","12","0","30","0","670010012","0","12","12","12","12","89","12","1","1","12","12","0","1","0","200100"
"690","13","13","0","13","13","12","13","13","0","11","0","10","13","13","10","0","13","0","200000006","13","0","30","0","670010013","0","13","13","13","13","95","13","1","1","13","13","0","1","0","200100"
"736","14","14","0","14","14","13","14","14","0","11","0","10","14","14","10","0","14","0","200000006","14","0","30","0","670010014","0","14","14","14","14","102","14","1","1","14","14","0","1","0","200100"
"782","15","15","0","15","15","14","15","15","0","12","0","10","15","15","10","0","15","0","200000006","15","0","30","0","670010015","0","15","15","15","15","109","15","1","1","15","15","0","1","0","200100"
"851","16","16","0","16","16","15","16","16","0","12","0","10","16","16","10","0","16","0","200000006","16","0","30","0","670010016","0","16","16","16","16","123","16","1","1","16","16","0","1","0","200100"
"919","17","17","0","17","17","15","17","17","0","12","0","10","17","17","10","0","17","0","200000006","17","0","30","0","670010017","0","17","17","17","17","136","17","1","1","17","17","0","1","0","200100"
"1296","18","18","0","18","18","15","18","18","0","13","0","10","18","18","10","0","18","0","200000006","18","0","30","0","670010018","0","18","18","18","18","164","18","1","1","18","18","0","1","0","200100"
"1482","19","19","0","19","19","15","19","19","0","13","0","10","19","19","10","0","19","0","200000006","19","0","30","0","670010019","0","19","19","19","19","177","19","1","1","19","19","0","1","0","200100"
