8dc541d17c84051701b3f7841243f1af67188af3d3cfbf8ec41fa25190edabe9,8ab2545fe3690b2f54141f99057a135ef0d19e26c6ea4d9579799b45022f569a,b240e596788f1d7d79d868d0845d8e7e6ba572dac5168587a9a0a43e8f3a99b9,a4f5eac57d192742459e20096ed59c12b3b5e95fe471fdd2f5ebd04ac319b07e,abf8eaaa907e8f261126e42d85727bdf994b28e5ca140aeed9df969882470718,fbdfd19544053eddbef764d41de4932d5afe28aa67521e570503d10517cd63cb,ef5c230d8fb4315b9b886b63397a00d67f1871456aae4101eaa7c4d666c108c0,77947b5329b51a0857d2b40f5ae15cbc85938537badf8e1c14a6d945330e43e3,bcd524e601353d048a394747d1d576bd2dd61ad6d719993ebbb0c4da411c0f67,9c7bbe5c673de609ed469efe3acf37536df1a91f5878fc861309cae8891f0a19,0b8f6f2655e1b436c2e74559cc7bc7f26506b03c4dc93d6ce7e64b4ad41b9c95
"0","102","-200","lsv_idle_normal","1.95","1009801","1","122711","-495","1","1009801001"
"1","100","100","lsv_idle_normal","1.95","1009801","1","122811","-480","1","1009801002"
"1","101","270","lsv_idle_normal","1.95","1009801","1","122911","-510","1","1009801003"
"0","0","0","lsv_white_loop","1","1009801","5","333","0","1","1009801004"
"0","1","1","","0","1009801","6","1","0","333","1009801005"
"0","1","1","","0","1009801","6","1","0","122711","1009801006"
"0","1","1","","0","1009801","6","1","0","122811","1009801007"
"0","1","1","","0","1009801","6","1","0","122911","1009801008"
"","","","","","1009801","93","0","","1","1009801009"
"0","1","1","","0.8","1009801","6","1","0.4","333","1009801010"
"0.2","0","lsv_idle_normal","","0.2","1009801","3","lsv_jump1","1","122711","1009801011"
"0.2","0","lsv_idle_normal","","0.2","1009801","3","lsv_jump1","1","122811","1009801012"
"0.2","0","lsv_idle_normal","","0.2","1009801","3","lsv_jump1","1","122911","1009801013"
"","","","","","1009801","93","","","0.3","1009801014"
"","-235","0.75","","","1009801","2","-200","0","122711","1009801015"
"","-220","0.75","","","1009801","2","100","0","122811","1009801016"
"","-250","0.75","","","1009801","2","270","0","122911","1009801017"
"0","1","1","","0.4","1009801","6","1","1","122711","1009801018"
"0","1","1","","0.4","1009801","6","1","1","122811","1009801019"
"0","1","1","","0.4","1009801","6","1","1","122911","1009801020"
"","","","","","1009801","93","0","","2","1009801021"
"","1","","","0.2","1009801","3","lsv_talk_joy1","","122911","1009801022"
"","0","0","","","1009801","21","vo_lsv_0121","","vo_lsv","1009801023"
"0","10","1","0","0","1009801","11","『みゅ～ちゃん　すくすく日記』♪\nはじまりはじまり～","1","122911","1009801024"
"","","","","","1009801","91","","","0","1009801025"
"","1","","","0.2","1009801","3","lsv_idle_normal_joyR","","122911","1009801026"
"","1","","","0.2","1009801","3","lsv_talk_normal","","122711","1009801027"
"","0","0","","","1009801","21","vo_lsv_0122","","vo_lsv","1009801028"
"0","10","1","0","0","1009801","11","この日記をみんなで書いて、\nみゅ～ちゃんとの思い出を\n作っていこうね。","1","122711","1009801029"
"","","","","","1009801","91","","","0","1009801030"
"","1","","","0.2","1009801","3","lsv_idle_normal","","122711","1009801031"
"","1","","","0.2","1009801","3","lsv_idle_normal","","122911","1009801032"
"0.2","0","lsv_talk_cool_loop","","0","1009801","3","lsv_talk_cool","1","122811","1009801033"
"","0","0","","","1009801","21","vo_lsv_0123","","vo_lsv","1009801034"
"0","10","1","0","0","1009801","11","それにしても…キョウカは\n日記もまじめだねー\n先生に見せるみたい！","1","122811","1009801035"
"","","","","","1009801","91","","","0","1009801036"
"","1","","","0.2","1009801","3","lsv_talk_bitter","","122811","1009801037"
"","0","0","","","1009801","21","vo_lsv_0124","","vo_lsv","1009801038"
"0","10","1","0","0","1009801","11","ミソギたちしか読まないんだし\nもっとふざけちゃっても\nいいのに～♪","1","122811","1009801039"
"","","","","","1009801","91","","","0","1009801040"
"","1","","","0.2","1009801","3","lsv_idle_joy","","122811","1009801041"
"","1","","","0.2","1009801","3","lsv_talk_anger2","","122711","1009801042"
"","0","0","","","1009801","21","vo_lsv_0125","","vo_lsv","1009801043"
"0","10","1","0","0","1009801","11","ふ、ふざけて書くなんて…！\n私にはできないよっ。","1","122711","1009801044"
"","","","","","1009801","91","","","0","1009801045"
"","1","","","0.2","1009801","3","lsv_idle_anger2","","122711","1009801046"
"","1","","","0.2","1009801","3","lsv_talk_normal","","122911","1009801047"
"","0","0","","","1009801","21","vo_lsv_0126","","vo_lsv","1009801048"
"0","10","1","0","0","1009801","11","大丈夫だよ～\nミミは、キョウカちゃんの\n日記もいいなって思うもん♪","1","122911","1009801049"
"","","","","","1009801","91","","","0","1009801050"
"","1","","","0.2","1009801","3","lsv_idle_normal_joyR","","122911","1009801051"
"0.2","0","lsv_talk_guts2_anger_loop","","0","1009801","3","lsv_talk_guts2_anger","1","122711","1009801052"
"","0","0","","","1009801","21","vo_lsv_0127","","vo_lsv","1009801053"
"0","10","1","0","0","1009801","11","と、とにかくっ！　この日記は\nみゅ～ちゃんのことを知って\nいくためにも書くんだよ？","1","122711","1009801054"
"","","","","","1009801","91","","","0","1009801055"
"","1","","","0.2","1009801","3","lsv_talk_normal_worry","","122711","1009801056"
"","0","0","","","1009801","21","vo_lsv_0128","","vo_lsv","1009801057"
"0","10","1","0","0","1009801","11","どんな生き物かわからないと\n育てるのも大変だし…\nそのこと、忘れないようにね？","1","122711","1009801058"
"","","","","","1009801","91","","","0","1009801059"
"","1","","","0.2","1009801","3","lsv_idle_normal","","122711","1009801060"
"0.2","0","lsv_idle_normal","","0","1009801","3","lsv_hello","1","122811","1009801061"
"0.2","0","lsv_idle_normal_joyR","","0","1009801","3","lsv_hello","1","122911","1009801062"
"","0","0","","","1009801","21","vo_lsv_0129","","vo_lsv","1009801063"
"0","10","1","0","0","1009801","11","はーい！","1","122811","1009801064"
"0","10","1","0","0","1009801","11","はーい！","1","122911","1009801065"
"","","","","","1009801","91","","","0","1009801066"
"","1","","","0.2","1009801","3","lsv_idle_normal","","122711","1009801067"
"","1","","","0.2","1009801","3","lsv_talk_surprise","","122911","1009801068"
"","0","0","","","1009801","21","vo_lsv_0130","","vo_lsv","1009801069"
"0","10","1","0","0","1009801","11","みゅ～ちゃんはふしぎだよね～\nはじめて会ったときは\nびっくりしちゃった！","1","122911","1009801070"
"","","","","","1009801","91","","","0","1009801071"
"","1","","","0.2","1009801","3","lsv_idle_normal_suprise1","","122911","1009801072"
"0.2","0","lsv_talk_cool_loop","","0","1009801","3","lsv_talk_cool","1","122811","1009801073"
"","0","0","","","1009801","21","vo_lsv_0131","","vo_lsv","1009801074"
"0","10","1","0","0","1009801","11","タマゴも石みたいだったしね！\nねっ、にいちゃんは、\nどんな生き物だと思う？","1","122811","1009801075"
"","","","","","1009801","91","","","0","1009801076"
"0.2","0","lsv_look_idle_normal","","0","1009801","3","lsv_choice","1","122711","1009801077"
"0.2","0","lsv_look_idle_normal","","0","1009801","3","lsv_choice","1","122811","1009801078"
"0.2","0","lsv_look_idle_normal","","0","1009801","3","lsv_choice","1","122911","1009801079"
"","","","","","1009801","93","0","","0.1","1009801080"
"0.2","-235","0.33","","","1009801","2","-452","2","122711","1009801081"
"0.2","-220","0.33","","","1009801","2","420","2","122811","1009801082"
"0.2","-250","0.33","","","1009801","2","545","2","122911","1009801083"
"","1","","","0.2","1009801","22","0","","0","1009801084"
"","0","","","","1009801","103","1009801088","","怪獣の赤ちゃん。","1009801085"
"","0","","","","1009801","103","1009801102","","おっきなナメクジ。","1009801086"
