0bd60f22ffe737d0400d9a2bc94d6ccc6b3796ae2427a39a96fadd893ad19634,dbf7664378741a10692d337ea971d04a98c7f4557e03a8b569833b33efd072a0,cf668ac7a652ff08609a22cbe37a7adad65a6a3bd9447040e94f925cd68f811d,05a05657dbc43ec4353939f648824d7516f51449341833e7fd88400674f29f6e,55bbf31e2573df1e66ced3f588650c3b0cd6f3d54d412ad3357213b0c3b2b396
"1","0","","0","101"
"1","0","メインクエスト2-8（NORMAL）クリアで解放","11002008","102"
"1","0","メインクエスト\n2-5（NORMAL）\nクリアで解放","11002005","103"
"1","0","メインクエスト\n2-12（NORMAL）クリアで解放","11002012","104"
"1","0","メインクエスト\n3-1（NORMAL）\nクリアで解放","11003001","107"
"1","0","メインクエスト9-1（NORMAL）クリアで解放","11009001","108"
"1","0","メインクエスト9-2（NORMAL）クリアで解放","11009002","109"
"1","0","メインクエスト1-5（NORMAL）クリアで解放","11001005","110"
"1","0","メインクエスト18-1（HARD）クリアで解放","12018001","111"
"1","0","メインクエスト18-5（NORMAL）クリアで解放","11018005","112"
"1","0","メインクエスト8-1（NORMAL）クリアで解放","11008001","115"
"1","0","メインクエスト2-4（NORMAL）クリアで解放","11002004","116"
"1","0","メインクエスト3-3（NORMAL）クリアで解放","11003003","117"
"1","0","メインクエスト2-7（NORMAL）クリアで解放","11002007","118"
"1","0","メインクエスト9-3（NORMAL）クリアで解放","11009003","119"
"1","0","メインクエスト3-1（NORMAL）クリアで解放","11003001","124"
"1","0","ルナの塔オープニングストーリー閲覧で解放","0","125"
"1","0","メインクエスト10-1\n（NORMAL）クリアで解放","11010001","127"
"1","0","メインクエスト2-6（NORMAL）クリアで解放","11002006","129"
"1","0","メインクエスト\n63-1（NORMAL）\nクリアで解放","11063001","130"
"1","0","メインクエスト10-1\n（NORMAL）クリアで解放","11010001","131"
"1","0","メインクエスト64-1（NORMAL）クリアで解放","11064001","132"
"1","0","メインクエスト\n72-1（NORMAL）\nクリアで解放","11072001","135"
"1","0","メインクエスト\n65-1（NORMAL）\nクリアで解放","11065001","136"
"1","0","","0","201"
"1","0","メインクエスト4-6（NORMAL）クリアで解放","11004006","202"
"1","0","メインクエスト8-15（NORMAL）クリアで解放","11008015","203"
"1","0","メインクエスト2-12（NORMAL）クリアで解放","11002012","204"
"1","0","メインクエスト3-1（NORMAL）クリアで解放","11003001","205"
"1","0","メインクエスト4-13（NORMAL）クリアで解放","11004013","206"
"1","0","","0","207"
"1","0","","0","210"
"1","0","メインクエスト4-13（NORMAL）クリアで解放","11004013","212"
"1","0","メインクエスト18-1（NORMAL）クリアで解放","11018001","213"
"1","0","メインクエスト18-1（NORMAL）クリアで解放","11018001","214"
"1","0","メインクエスト18-1（NORMAL）クリアで解放","11018001","215"
"1","0","","0","216"
"1","0","メインクエスト18-1（NORMAL）クリアで解放","11018001","217"
"1","0","メインクエスト4-6\n（NORMAL）クリアで解放","11004006","401"
"1","0","メインクエスト8-15\n（NORMAL）クリアで解放","11008015","402"
"1","0","メインクエスト2-2（NORMAL）クリアで解放","11002002","503"
"1","0","メインクエスト3-5（NORMAL）クリアで解放","11003005","506"
"1","0","メインクエスト2-3（NORMAL）クリアで解放","11002003","509"
"1","0","メインクエスト19-1（NORMAL）クリアで解放","11019001","510"
"1","0","メインクエスト19-5（NORMAL）クリアで解放","11019005","511"
"1","0","メインクエスト18-2（NORMAL）クリアで解放","11018002","512"
"1","0","メインクエスト2-1（NORMAL）クリアで解放","11002001","601"
"1","0","メインクエスト7-1（NORMAL）クリアで解放","11007001","602"
"1","0","メインクエスト16-14（NORMAL）クリアで解放","11016014","603"
"1","0","メインクエスト3-1（NORMAL）クリアで解放","11003001","701"
"1","0","メインクエスト1-7（NORMAL）クリアで解放","11001007","802"
"1","0","メインクエスト2-9（NORMAL）クリアで解放","11002009","904"
"1","0","メインクエスト2-9（NORMAL）クリアで解放","11002009","905"
"1","0","","0","906"
"1","0","メインクエスト3-6（NORMAL）クリアで解放","11003006","909"
"1","0","メインクエスト8-1（NORMAL）クリアで解放","11008001","910"
"1","0","メインクエスト18-1\n（NORMAL）クリアで解放","11018001","1001"
"1","0","","0","6111"
"1","0","メインクエスト2-12（NORMAL）クリアで解放","11002012","6114"
"1","0","メインクエスト3-2（NORMAL）クリアで解放","11003002","8001"
