d72ffcc1240400f64bce62c265b6864674b79ad0bc3c4a256338eaf1eec2eb62,2e7dd9c184e4e9d3bd46b241507dacec091c2abc9d11396547b6739b81474c92,f70796c8aaf8585b9cfd29222cea937b79fb0d1537314b24c849f962cd44beac,ebb7f5097238b7c52d8ddf6743a37973ada14d218c4c1e24f0a9aa0ea822ba24,693825f905f5d3e6e8f6c11491b0ba6bb2e610ccf17a566d13f9f406b8957e93,fd7f96e7c20e531f043261af68d6b80ae9088bc9cadc0f1c514f46cb96a962f3,86deb9befbf306bc72563023517422edb411be13394978b7a8c83f10c14a7766,a023d9b91bce7d326d666f544d451d20795223c4d887a98052767461af6bb92f,30116e32119be0d0509ea1d8039d4fbece071d1d98e11d44cc6018edfd6a11ef,406e6ccdae680eb4c8e55bf2a1a4487d2d3c7eead8914466eb39ed235e0c5da6,129a23b81cef88a954bac3a66c38dfcf4c5b26e88e2c78c79f997efe6e0a0fb4,b32a096f5bea89193869be52d2ec1690e0f95dd0b5e82c58ee73757795ee49d3,dda63c30a6d2c0059c6763a84e31136eac826600c91fac2e465f1450e6a6a57e,1b662998c2ed033379739e172afbe542152c4424dfda9a7ca3c9042a38eb1c42,4599212ca5019c44a38a4c517111137861448f2efcb8b7d221955d03266fd1db
"113","100","112","111","0","1","0","2816","0","540","11","1","0","2022/02/15 5:00:00","0"
"213","100","212","211","0","1","0","2816","0","493","21","2","0","2022/02/16 5:00:00","0"
"313","100","312","311","0","1","0","2816","0","458","31","3","0","2022/02/17 5:00:00","0"
"413","100","412","411","0","1","0","2816","0","420","41","4","0","2022/02/18 5:00:00","0"
"513","100","512","511","0","1","0","2816","0","380","51","5","0","2022/02/19 5:00:00","0"
"613","100","612","611","0","1","0","2816","0","340","61","6","0","2022/02/20 5:00:00","0"
"713","100","712","711","0","1","0","2816","0","430","71","7","1","2022/02/21 5:00:00","0"
"813","100","812","811","0","1","0","2816","0","402","81","8","1","2022/02/22 5:00:00","0"
"913","100","912","911","0","1","0","2816","0","302","91","9","1","2022/02/23 5:00:00","0"
"1013","100","1012","1011","0","1","0","2816","0","264","101","10","1","2022/02/24 5:00:00","0"
"1113","100","1112","1111","0","1","0","2816","0","225","111","11","1","2022/02/25 5:00:00","0"
"1213","100","1212","1211","0","1","0","2816","0","328","121","12","1","2022/02/26 5:00:00","0"
"1313","100","1312","1311","0","1","0","2816","0","280","131","13","1","2022/02/27 5:00:00","0"
"1413","100","1412","1411","0","1","0","2816","0","269","141","14","1","2022/02/28 5:00:00","0"
"1513","100","1512","1511","0","1","0","2816","0","180","151","15","1","2022/03/01 5:00:00","0"
"1613","100","1612","1611","0","1","0","2816","0","138","161","16","1","2022/03/02 5:00:00","0"
"1713","100","1712","1711","0","1","0","2816","0","97","171","17","1","2022/03/03 5:00:00","0"
"1813","100","1812","1811","0","1","0","2816","0","56","181","18","1","2022/03/04 5:00:00","0"
"1913","100","1912","1911","0","1","0","2816","0","150","191","19","1","2022/03/05 5:00:00","0"
"2013","100","2012","2011","0","1","0","2816","0","100","201","20","1","2022/03/06 5:00:00","0"
"2113","100","2112","2111","0","1","0","2816","0","15","211","21","1","2022/03/07 5:00:00","0"
