d2aeaf53e49bd7a0531ac5f6405edff8924b86a26efbca4d75844d051c8d08d0,4808cf050ae0107ccfc64bdfb8bba528c74e3ca0eda59c2e16eecc3f087bf862,471f1193d89b74b1a40fd69b3ea89bc8ade53841369d0ff3e33174a07596667d,5e4e66a0bdd332a92306ee2de0f871afe847133b52665d2b223cc5301261607b,3eb2830ab7a3e31895c1c1eb8450bc240f13f82f2fc88a0d19034315aba56498,cd3d831416e7e51c4e43427689e0f74cd74418b7b3967ea0b9e8f5d225026260,8317d1730c958dd8321a5f96c02a8c5846d0271ecb89e8e3db823bfcc9c70bf9,780b8cd38e22a63144ff26f3b882f4b1746a4debfefb10076874e21692d4b69c,305cfd42646eba0a72e5b177e25d7680926ef73d03631a5277c6943cb54f2480,8d0d135eadd05929713fccc6f99f35a386cf0bc2fcb0b0971b4cdab13d49b8d3
"1100001","1001","32","1003","1002","1","1","10590","1","575"
"1100002","1004","32","1006","1005","1","1","10590","1","575"
"1100003","1007","32","1009","1008","1","1","10590","2","575"
"1100004","1010","33","1012","1011","1","1","11820","1","500"
"1100005","1013","33","1015","1014","1","1","11820","1","500"
"1100006","1016","33","1018","1017","1","1","11820","2","500"
"1100007","1019","33","1021","1020","1","1","11820","4","500"
"1100008","1022","35","1024","1023","1","1","13050","1","375"
"1100009","1025","35","1027","1026","1","1","13050","1","375"
"1100010","1028","35","1030","1029","1","1","13050","6","375"
"1200001","2001","34","2003","2002","2","1","10590","1","575"
"1200002","2004","34","2006","2005","2","1","10590","1","575"
"1200003","2007","34","2009","2008","2","1","10590","1","575"
"1200004","2010","34","2012","2011","2","1","10590","1","575"
"1200005","2013","34","2015","2014","2","1","10590","2","575"
"1200006","2016","34","2018","2017","2","1","10590","4","575"
"1200007","2019","34","2021","2020","2","1","10590","6","575"
"1200008","2022","35","2024","2023","2","1","11820","1","500"
"1200009","2025","35","2027","2026","2","1","11820","1","500"
"1200010","2028","35","2030","2029","2","1","11820","1","500"
"1200011","2031","35","2033","2032","2","1","11820","1","500"
"1200012","2034","35","2036","2035","2","1","11820","4","500"
"1200013","2037","35","2039","2038","2","1","11820","6","500"
"1200014","2040","38","2042","2041","2","1","13050","1","375"
"1200015","2043","38","2045","2044","2","1","13050","1","375"
"1200016","2046","38","2048","2047","2","1","13050","1","375"
"1200017","2049","38","2051","2050","2","1","13050","1","375"
"1200018","2052","38","2054","2053","2","1","13050","2","375"
"1200019","2055","38","2057","2056","2","1","13050","4","375"
"1200020","2058","38","2060","2059","2","1","13050","6","375"
"1300001","3001","37","3003","3002","3","1","10590","1","575"
"1300002","3004","37","3006","3005","3","1","10590","1","575"
"1300003","3007","37","3009","3008","3","1","10590","1","575"
"1300004","3010","37","3012","3011","3","1","10590","1","575"
"1300005","3013","37","3015","3014","3","1","10590","1","575"
"1300006","3016","37","3018","3017","3","1","10590","1","575"
"1300007","3019","37","3021","3020","3","1","10590","2","575"
"1300008","3022","37","3024","3023","3","1","10590","2","575"
"1300009","3025","37","3027","3026","3","1","10590","4","575"
"1300010","3028","37","3030","3029","3","1","10590","6","575"
"1300011","3031","38","3033","3032","3","1","11820","1","500"
"1300012","3034","38","3036","3035","3","1","11820","1","500"
"1300013","3037","38","3039","3038","3","1","11820","1","500"
"1300014","3040","38","3042","3041","3","1","11820","1","500"
"1300015","3043","38","3045","3044","3","1","11820","1","500"
"1300016","3046","38","3048","3047","3","1","11820","1","500"
"1300017","3049","38","3051","3050","3","1","11820","2","500"
"1300018","3052","38","3054","3053","3","1","11820","4","500"
"1300019","3055","38","3057","3056","3","1","11820","4","500"
"1300020","3058","38","3060","3059","3","1","11820","6","500"
"1300021","3061","40","3063","3062","3","1","13050","1","375"
"1300022","3064","40","3066","3065","3","1","13050","1","375"
"1300023","3067","40","3069","3068","3","1","13050","1","375"
"1300024","3070","40","3072","3071","3","1","13050","1","375"
"1300025","3073","40","3075","3074","3","1","13050","1","375"
"1300026","3076","40","3078","3077","3","1","13050","1","375"
"1300027","3079","40","3081","3080","3","1","13050","2","375"
"1300028","3082","40","3084","3083","3","1","13050","4","375"
"1300029","3085","40","3087","3086","3","1","13050","6","375"
"1300030","3088","40","3090","3089","3","1","13050","6","375"
"2100001","4001","29","4003","4002","1","2","9360","3","700"
"2100002","4004","29","4006","4005","1","2","9360","5","700"
"2100003","4007","29","4009","4008","1","2","9360","7","700"
"2100004","4010","29","4012","4011","1","2","9360","3","700"
"2100005","4013","29","4015","4014","1","2","9360","5","700"
"2100006","4016","29","4018","4017","1","2","9360","7","700"
"2100007","4019","30","4021","4020","1","2","10590","3","575"
"2100008","4022","30","4024","4023","1","2","10590","5","575"
"2100009","4025","30","4027","4026","1","2","10590","7","575"
"2100010","4028","30","4030","4029","1","2","10590","3","575"
"2200001","5001","33","5003","5002","2","2","9360","3","700"
"2200002","5004","33","5006","5005","2","2","9360","5","700"
"2200003","5007","33","5009","5008","2","2","9360","7","700"
"2200004","5010","33","5012","5011","2","2","9360","3","700"
"2200005","5013","33","5015","5014","2","2","9360","5","700"
"2200006","5016","33","5018","5017","2","2","9360","7","700"
"2200007","5019","33","5021","5020","2","2","9360","3","700"
"2200008","5022","33","5024","5023","2","2","9360","5","700"
"2200009","5025","33","5027","5026","2","2","9360","7","700"
"2200010","5028","33","5030","5029","2","2","9360","3","700"
"2200011","5031","33","5033","5032","2","2","9360","5","700"
"2200012","5034","33","5036","5035","2","2","9360","7","700"
