ef0d336125729b89eaaf995e0e456729429c928f0d6cfc3f19773aaa600760ee,c89348dc6313cd88161b79cb577c8291268fea832d8716e307d09f1eb734e500,a038d57f8a082d4c4166166cbc2d107fb6b619873a6e2a115378130008628fcb
"32001","6","エレクトロ・ギガス"
"32001","7","壊乱の黒鎧騎士"
"32001","8","ライライ"
"32001","9","ニードルクリーパー"
"32001","10","白陽・黒月の守護像"
"32002","6","エレクトロ・ギガス"
"32002","7","壊乱の黒鎧騎士"
"32002","8","ライライ"
"32002","9","ニードルクリーパー"
"32002","10","白陽・黒月の守護像"
"32003","6","ハイ・ガルグ"
"32003","7","カース・オラム"
"32003","8","ワイルドグリフォン"
"32003","9","ジャッカルシーフ"
"32003","10","黒月・白陽の守護像"
"32004","6","マスター・ウキキー"
"32004","7","キリングオルカ"
"32004","8","ランドスロース"
"32004","9","マッドベア"
"32004","10","ラースドラゴン"
"32005","6","イワノヅチ"
"32005","7","水瑚麟"
"32005","8","ワイバーン"
"32005","9","マダムプリズム"
"32005","10","ラースドラゴン"
"32006","6","ロード・イビリィ"
"32006","7","紅極鳥"
"32006","8","ライライ"
"32006","9","オークチーフ"
"32006","10","ラースドラゴン"
"32007","6","エレクトロ・ギガス"
"32007","7","クリスタルゴーレム"
"32007","8","ランドスロース"
"32007","9","ソードコブラ"
"32007","10","アルティマガーディアン"
"32008","6","マスター・ウキキー"
"32008","7","カース・オラム"
"32008","8","ゴブリンライダー"
"32008","9","ライデン"
"32008","10","アルティマガーディアン"
"32009","6","イワノヅチ"
"32009","7","紅極鳥"
"32009","8","ワイバーン"
"32009","9","トライロッカー"
"32009","10","アルティマガーディアン"
