e7f41f8cc6a2f469d9971640e36c16d2be4a3a14a680800cd6d265ef06549e77,14ac2bd758fd6d3c94f34cfed3b0ebe7b05b275ed4caea422dd22bc0bc20cc8a,b66528415b46c767b1573c78b865e5076016ee8f20ed339ed5a2ee7df9a4cbb6,829844551f2392f4f6681dd79af1887e2e8b11912f1fea55ff5c0d2c7aaf8590,b10f4264ae150019749e1ac07a56df9b36e81542884f59025ff55fd2fe24a11c,8a879399a1fc774440edd50dcf447f99849d787b191f200f3b4b0b75aecf9941,e3dd2df187c6bbe22a9a66456813013f25215c6a4cde1be7b6079faa730845d5,6cc1437a721b18c4667663842b6b51daf7e364ebc37fa0470471e5fb2a39a011,5440a1dd9633a437b4e749f3ecf782088d815eed3921b6f6292b2cbed1a8e77d,1543788d6ee284583543844948e12be3f01e4a1895572b665c7c2e7d1089c6b9,942a5559146bbb1a0d781198f991f090d7606fae3d3b84fe31decdbb4c6a0dd3,86281384fbd155a69517259c68f6d9f2ff55258dd9e191e94c52acb5c4ad09f8,8f79370198d361ea38e515d81a4fa91e8abf18e4cafeb990ffe1680fa151b526,3cfdb024ffc4309e2eeea11c9b000a741fe8bb25d9b80c32b905d13d2fc32a06,e208f89eac944c934c2abcc04adf2d226037075d9bfa0de0c01f45101276ac29,12d587ab12f61b005a8671ce864242f032908d7c3e19cc8205c143f4d0655633,709c5325bf5780b779a98a439b13e06919f008ccca6dc20defae23f96a7ebd0a,cfaebdddaf45807241d64991d07ac5fbbb1b987f013031d57cd0f0fad8845031
"1","1","0","50","0","0","0","8","10","91002","0","0","0","0","0","0","0","0"
"2","11","0","10","0","0","0","8","100","91002","0","0","0","0","0","0","0","0"
"3","101","0","5","0","0","0","8","200","91002","0","0","0","0","0","0","0","0"
"4","201","0","3","0","0","0","8","500","91002","0","0","0","0","0","0","0","0"
"5","501","0","2","0","0","0","8","1000","91002","0","0","0","0","0","0","0","0"
"6","1001","0","2","0","0","0","8","2000","91002","0","0","0","0","0","0","0","0"
"7","2001","0","1","0","0","0","8","3999","91002","0","0","0","0","0","0","0","0"
"8","4000","0","50","0","0","0","8","4000","91002","0","0","0","0","0","0","0","0"
"9","4100","0","50","0","0","0","8","4100","91002","0","0","0","0","0","0","0","0"
"10","4200","0","50","0","0","0","8","4200","91002","0","0","0","0","0","0","0","0"
"11","4300","0","50","0","0","0","8","4300","91002","0","0","0","0","0","0","0","0"
"12","4400","0","50","0","0","0","8","4400","91002","0","0","0","0","0","0","0","0"
"13","4500","0","50","0","0","0","8","4500","91002","0","0","0","0","0","0","0","0"
"14","4600","0","50","0","0","0","8","4600","91002","0","0","0","0","0","0","0","0"
"15","4700","0","50","0","0","0","8","4700","91002","0","0","0","0","0","0","0","0"
"16","4800","0","50","0","0","0","8","4800","91002","0","0","0","0","0","0","0","0"
"17","4900","0","50","0","0","0","8","4900","91002","0","0","0","0","0","0","0","0"
"18","5000","0","50","0","0","0","8","5000","91002","0","0","0","0","0","0","0","0"
"19","5100","0","50","0","0","0","8","5100","91002","0","0","0","0","0","0","0","0"
"20","5200","0","50","0","0","0","8","5200","91002","0","0","0","0","0","0","0","0"
"21","5300","0","50","0","0","0","8","5300","91002","0","0","0","0","0","0","0","0"
"22","5400","0","50","0","0","0","8","5400","91002","0","0","0","0","0","0","0","0"
"23","5500","0","50","0","0","0","8","5500","91002","0","0","0","0","0","0","0","0"
"24","5600","0","50","0","0","0","8","5600","91002","0","0","0","0","0","0","0","0"
"25","5700","0","50","0","0","0","8","5700","91002","0","0","0","0","0","0","0","0"
"26","5800","0","50","0","0","0","8","5800","91002","0","0","0","0","0","0","0","0"
"27","5900","0","50","0","0","0","8","5900","91002","0","0","0","0","0","0","0","0"
