b4e241c54643ff9069a8cd8100ce7f8ac701dcce7afb554b680997e086172adb,b4efe5617f4a45ae8c0867db0d2e01f7f3d936635e533db1a52be61875e80139,715e81b9f250330b74d4326cbb01024b7d699aca5c0837f811276779969f164f,10ee22759ca386fefcf7fb762b1ce02becb981bf944d69f61c9e6ba1e8452d60,0f79e7f667cb70209968da43cc68532dfc39f113536c2707a8650d1c367f08b6,119da5971c705c2da0fdaff724b72807ae89d1439a180abbdf63a7fa5c79b956,128fc6bd7b8f01c03ac48eba4d442064218ede10fc3aa53106f505bb92b0f661,db517e0265d8d0ed39c192ef9ef7e666760c827b809464f4a26653a07a1ce206,38fa91dbb81ab85f3eff2f4cc037280b733e73f29626b2ff3313015d14be13a5
"1.6","1","610201101","50","0","","0","1","0"
"1.8","1","610201151","-75","0","","200","1","0"
"1.6","1","610201201","50","0","","0","1","0"
"1.6","1","610201202","50","0","","0","1","0"
"1.6","1","610201203","50","0","","0","1","0"
"1.65","1","610201251","-75","0","","200","1","0"
"1.8","1","610201252","-75","0","","200","1","0"
"1.8","1","610201253","-75","0","","200","1","0"
"1.6","1","610201301","50","0","","0","1","0"
"1.6","1","610201302","50","0","","0","1","0"
"1.6","1","610201303","50","0","","0","1","0"
"1.65","1","610201351","-75","0","","200","1","0"
"1.8","1","610201352","-75","0","","200","1","0"
"1.8","1","610201353","-75","0","","200","1","0"
"1","2","610201401","0","0","","0","0","1"
"1","3","610201402","0","0","","0","0","1"
"1","4","610201403","0","0","","0","0","1"
"0.78","2","610201451","0","-200","","0","0","0"
"0.78","3","610201452","0","-140","","0","0","0"
"0.78","4","610201453","0","-60","","0","0","0"
"1","2","610201501","0","0","","0","0","1"
"1","3","610201502","0","0","","0","0","1"
"1","4","610201503","0","0","","0","0","1"
"0.78","2","610201551","0","-200","","0","0","0"
"0.78","3","610201552","0","-140","","0","0","0"
"0.78","4","610201553","0","-60","","0","0","0"
"1.7","1","610202101","-45","0","","190","1","0"
"1.4","1","610202201","-55","0","","190","1","0"
"1.7","1","610202202","-45","0","","190","1","0"
"1.7","1","610202203","-45","0","","190","1","0"
"1.4","1","610202301","-55","0","","190","1","0"
"1.7","1","610202302","-45","0","","190","1","0"
"1.7","1","610202303","-45","0","","190","1","0"
"1","2","610202401","0","-200","","0","0","0"
"1","3","610202402","0","-140","","0","0","0"
"1","4","610202403","0","-60","","0","0","0"
"1","5","610202404","0","-60","","0","0","0"
"1","2","610202501","0","-200","","0","0","0"
"1","3","610202502","0","-140","","0","0","0"
"1","4","610202503","0","-60","","0","0","0"
"1","5","610202504","0","-60","","0","0","0"
"1.03","1","610203101","-80","0","","190","1","0"
"0.66","1","610203201","-42","0","","190","1","0"
"1.03","1","610203202","-80","0","","190","1","0"
"1.03","1","610203203","-80","0","","190","1","0"
"0.66","1","610203301","-42","0","","190","1","0"
"1.03","1","610203302","-80","0","","190","1","0"
"1.03","1","610203303","-80","0","","190","1","0"
"0.78","2","610203401","0","-200","","0","0","0"
"0.78","3","610203402","0","-140","","0","0","0"
"0.78","4","610203403","0","-60","","0","0","0"
