0afde0c6c15840f2cf4de943d8fa855e1d7935d0f5501022f3dfbc2aa1d6c4c9,94c8ac5545c15a71994cf950ac9427adbb471a49272ed5fc91a482d81a58b6b4,2126bd03e99575221a98fb2131f6f4e6c6033e19bf50afc90ec02945465acbba,7b4d6e3d7507d1cdb98f93c26939b42e87c5d8f1ddf75451fd22ac84c69ba89b,181553af054287c03bb489345dbcb8668f4af26a03e4c0120934dc5b9213ce36,e9d8768af5288eb3c54d3f2fccbd069be62d87d8cef9582f3386f7082df7c0a5,dae90d9f44404c1cd87460a2acde47af00da85007574001af31b8d3a583a7d90,32ee51047012c8fd2d803ff9a310412f3ae9b08adf976eb5fc858eb11c12f916,16c129b2baaf737a7a062bd1ccc02ffde4fee01fb2bc720c9d8401f240799903,7bde456525a48e26020ef7728c75e8423dacf569ddf6809b32c9027421cde941,f4c88a51f6df3004e60fd1a1a2756d6b7afbf237b1f2aacf94e83b6f7595693c,03643a8befe3aba39b623c9350248c6641d3f9f8e91cfd032e08095ffcc40b45,f415e48f65703b461d798d5c5a6b15834a7ba40fc5d19126264536cb39d1b670,dbf8b4778845c86dac4cbce5cb1584f014d271ee736c27a7754de655a731de61,427b86217751d51cab176db4fa51a7ff8a1da2ef48ef7d59afdc206e80d5e114,2bf9d1fd64aafc2caa90f6f5a008c1ee2f7ad2cfb653e6b308738214a48c017f,17a4ff12fb2694e4d5938c06c2c3b039770ced285a3dbb623fbe46773b4799a6,896094a49ef3bf55c5855209e57268baab5a1e164636290c86840fc08c417f5a
"1","8","1","5","94002","0","22003","91002","20003","2","20","150","0","5","150000","12","2","0"
"2","8","6","9","94002","0","22003","91002","20003","2","15","145","0","2","100000","12","2","0"
"3","8","10","19","94002","0","22002","91002","20003","2","11","140","0","5","80000","12","2","0"
"4","8","20","29","94002","0","22002","91002","20003","2","10","130","0","5","80000","12","2","0"
"5","8","30","39","94002","0","22002","91002","20003","2","9","120","0","4","70000","12","2","0"
"6","8","40","49","94002","0","22002","91002","20003","2","8","110","0","4","70000","12","2","0"
"7","8","50","99","94002","0","22002","91002","20003","2","7","100","0","3","60000","12","2","0"
"8","8","100","499","94002","0","22002","91002","20003","2","2","80","0","2","40000","12","2","0"
"9","8","500","999","94002","0","22002","91002","20002","2","7","50","0","1","20000","12","2","0"
"10","8","1000","4999","94002","0","22001","91002","20002","2","4","20","0","3","16000","12","2","0"
"11","8","5000","9999","94002","0","22001","91002","20002","2","3","15","0","2","9000","12","2","0"
"12","8","10000","11999","94002","0","22001","91002","20001","2","8","10","0","1","4000","12","2","0"
"13","8","12000","13999","94002","0","22001","91002","20001","2","7","5","0","1","3000","12","2","0"
"14","8","14000","14999","94002","0","22001","91002","20001","2","6","4","0","1","2000","12","2","0"
"15","8","15000","30000","94002","0","22001","91002","20001","2","5","3","0","1","1800","12","2","0"
