e0b6837fdafd1fe2da0eaf99eaa175047e64b453a4f296c44da480974c86a7a9,4ab9d632fd5e565e56483f5691dba5f788ca7d5334e65a6e01dabe29bd752a9b,ba114d7880937d8196c5b636470ff107e46c1bf848daa66c237b70ed8ad1009e,fa76170eea47a72b1a21c5a8e7f23b9596fdfec3c36f1321d34512ecace24c2f,9c8b28d4c49d837f86957e47a4ce15a0170d953099ab94eb53dc6a08b94c3ae3,78f9d07184b9585d128eaa68d7c1a4c8c9311f33dcb381ca3275b0b3576275dd,90262e08cd643ac883138795fba1d62261e00267c3a2ce08efa98bf893a65a2e,44d72bddac519dd74e2a1805da987677c8ef12c4b1312ec3ab8492e10535e6d5,39256866e38961adabbeb4d49c8f4fd772bcb9f2d74c7eab0d68b87bb7784a41,72645734f5f0e16bd4b124950a5e4d3535fc6f40025f64c5aeec7b5d9585a8ca,313259d91d7b300a4f788ff7df94e3e90dc33ac21816372279b925d6fedef0e7
"","","se_10053800","","101","","se_fpc_water_random","","23","","11010001"
"1.75","cmn_swm_tread","1","-850","101","0","<unit_id>","-180","1","23","11010002"
"1.75","cmn_swm_tread_pink","1","-850","101","0","1","-180","5","22","11010003"
"1","","3","-180","101","","3","1","31","-850","11010004"
"","","0","","101","","0","","91","","11010005"
"","","<unit_id>","10","101","","850","","2","-180","11010006"
"","","1","10","101","","850","","2","-180","11010007"
"","","3","10","101","","850","","33","-180","11010008"
"","","se_10053800","","102","","se_fpc_water_random","","23","","11020001"
"1.75","cmn_swm_tread","1","-850","102","0","<unit_id>","-180","1","23","11020002"
"1.75","cmn_swm_tread_blue","1","-850","102","0","1","-180","5","22","11020003"
"1","","3","-180","102","","3","1","31","-850","11020004"
"","","0","","102","","0","","91","","11020005"
"","","<unit_id>","10","102","","850","","2","-180","11020006"
"","","1","10","102","","850","","2","-180","11020007"
"","","3","10","102","","850","","33","-180","11020008"
"","","se_10053800","","103","","se_fpc_water_random","","23","","11030001"
"1.75","cmn_swm_tread","1","-850","103","0","<unit_id>","-180","1","23","11030002"
"1.75","cmn_swm_tread","1","-850","103","0","1","-180","5","22","11030003"
"1","","3","-180","103","","3","1","31","-850","11030004"
"","","0","","103","","0","","91","","11030005"
"","","<unit_id>","10","103","","850","","2","-180","11030006"
"","","1","10","103","","850","","2","-180","11030007"
"","","3","10","103","","850","","33","-180","11030008"
"","","se_10053800","","151","","se_fpc_water_random","","23","","11510001"
"1.75","cmn_swm_flutterKick","1","-850","151","0","<unit_id>","-180","1","22","11510002"
"1","","1","-180","151","","1","1","31","-850","11510003"
"","","0","","151","","0","","91","","11510004"
"","","<unit_id>","10","151","","1050","","2","-180","11510005"
"","","1","10","151","","1050","","33","-180","11510006"
"","","se_10053800","","201","","se_fpc_water_random","","23","","12010001"
"1.75","cmn_swm_breastStroke","1","-850","201","0","<unit_id>","-180","1","22","12010002"
"1","","2","-180","201","","2","1","31","-850","12010003"
"","","0","","201","","0","","91","","12010004"
"","","<unit_id>","10","201","","850","","2","-180","12010005"
"","","2","10","201","","850","","33","-180","12010006"
"","","se_10053800","","251","","se_fpc_water_random","","23","","12510001"
"1.75","cmn_swm_diving","1","-850","251","0","<unit_id>","-180","1","22","12510002"
"1","","9","-180","251","","9","1","31","-850","12510003"
"","","0","","251","","0","","91","","12510004"
"","","<unit_id>","10","251","","850","","2","-180","12510005"
"","","9","10","251","","850","","33","-180","12510006"
"","","se_10053800","","301","","se_fpc_water_random","","23","","13010001"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","301","0","<unit_id>","-180","1","23","13010002"
"1.75","cmn_swm_flutterKick_floatRing_pink","1","-850","301","0","1","-180","5","22","13010003"
"1","","1","-180","301","","1","1","31","-850","13010004"
"","","0","","301","","0","","91","","13010005"
"","","<unit_id>","10","301","","1050","","2","-180","13010006"
