821ab74bab4af1ccc1137de063e3aec7d2cb8fff0d5e4ca76687d1bc36989da3,26d73c6be5d2b22a53f9e331eadf03fa36184f3fe1350f9b5cf3c5052cb5d9da,51819c116bdc3646e2d00ff5f4439c8c2d7a3358505d895590263e7e770d0acd,55e6ff85cf225e928d70326fe3f3e4a8f39b9ce3321cec2fe5c2bcbc191cba88,f236d4a727b6dc4a152599df0bd24eb3dbf031610a67282afcf5dbe3265fae6c,e9f313e7602492f7a3445976b239fe22afa9282d496211b87823008580f19bfc,ebb6db5fd88c2a7a223a7da425009906f4063395e8a5e8ccc6bfccca896938de,155154f269066823f7c9f0c564e05089958540fee778fc75ea7799fbc84b8fc2,08b8e4d1e4689d81a33670d86aae81a48a76e3d2505c817677680a6d79e99653,3cc9b7209505b5bad992e51404d5000effc013343de029bd6ac6528f408ed5f6,251b06aee2dbf9a962b63542a8b20cebbebecb93eb30db296fbaaa9ff2d0e454
"31","25021","2","10","8","91002","2","8","281001001","25011","1"
"31","25021","2","10","8","91002","2","8","281001002","25011","2"
"32","25021","2","10","8","91002","2","8","281001003","25011","3"
"32","25021","2","10","8","91002","2","8","281001004","25011","4"
"33","25021","2","10","8","91002","2","8","281001005","25011","5"
"33","25021","2","10","8","91002","2","9","281001006","25011","6"
"34","25021","2","10","8","91002","2","9","281001007","25011","7"
"35","25021","2","10","8","91002","2","9","281001008","25011","8"
"35","25021","2","10","8","91002","2","9","281001009","25011","9"
"37","25021","2","30","8","91002","2","10","281001010","25011","10"
"41","25021","2","10","8","91002","2","10","281001011","25011","11"
"43","25021","2","10","8","91002","2","11","281001012","25011","12"
"46","25021","2","10","8","91002","2","11","281001013","25011","13"
"48","25021","2","10","8","91002","2","12","281001014","25011","14"
"50","25021","2","10","8","91002","2","12","281001015","25011","15"
"53","25021","2","10","8","91002","2","13","281001016","25011","16"
"55","25021","2","10","8","91002","2","14","281001017","25011","17"
"58","25021","2","10","8","91002","2","14","281001018","25011","18"
"60","25021","2","10","8","91002","2","15","281001019","25011","19"
"62","25021","2","30","8","91002","2","15","281001020","25011","20"
"68","25021","2","10","8","91002","2","16","281001021","25011","21"
"70","25021","2","10","8","91002","2","16","281001022","25011","22"
"72","25021","2","10","8","91002","2","16","281001023","25011","23"
"75","25021","2","10","8","91002","2","17","281001024","25011","24"
"77","25021","2","10","8","91002","2","18","281001025","25011","25"
"79","25021","2","10","8","91002","2","18","281001026","25011","26"
"82","25021","2","10","8","91002","2","19","281001027","25011","27"
"84","25021","2","10","8","91002","2","19","281001028","25011","28"
"86","25021","2","10","8","91002","2","19","281001029","25011","29"
"89","25021","2","30","8","91002","2","20","281001030","25011","30"
"94","25021","2","10","8","91002","2","20","281001031","25011","31"
"96","25021","2","10","8","91002","2","21","281001032","25011","32"
"99","25021","2","10","8","91002","2","21","281001033","25011","33"
"101","25021","2","10","8","91002","2","22","281001034","25011","34"
"103","25021","2","10","8","91002","2","22","281001035","25011","35"
"106","25021","2","10","8","91002","2","23","281001036","25011","36"
"108","25021","2","10","8","91002","2","23","281001037","25011","37"
"111","25021","2","10","8","91002","2","24","281001038","25011","38"
"113","25021","2","10","8","91002","2","25","281001039","25011","39"
"115","25021","2","30","8","91002","2","25","281001040","25011","40"
"121","25021","2","10","8","91002","2","26","281001041","25011","41"
"123","25021","2","10","8","91002","2","27","281001042","25011","42"
"125","25021","2","10","8","91002","2","28","281001043","25011","43"
"128","25021","2","10","8","91002","2","28","281001044","25011","44"
"130","25021","2","10","8","91002","2","29","281001045","25011","45"
"132","25021","2","10","8","91002","2","30","281001046","25011","46"
"135","25021","2","10","8","91002","2","30","281001047","25011","47"
"137","25021","2","10","8","91002","2","31","281001048","25011","48"
"139","25021","2","10","8","91002","2","31","281001049","25011","49"
"142","25021","2","30","8","91002","2","31","281001050","25011","50"
"144","25021","2","10","8","91002","2","32","281001051","25011","51"
"146","25021","2","10","8","91002","2","32","281001052","25011","52"
"149","25021","2","10","8","91002","2","32","281001053","25011","53"
"152","25021","2","10","8","91002","2","33","281001054","25011","54"
"155","25021","2","10","8","91002","2","33","281001055","25011","55"
"157","25021","2","10","8","91002","2","33","281001056","25011","56"
"160","25021","2","10","8","91002","2","34","281001057","25011","57"
"163","25021","2","10","8","91002","2","34","281001058","25011","58"
"166","25021","2","10","8","91002","2","34","281001059","25011","59"
"169","25021","2","30","8","91002","2","35","281001060","25011","60"
"171","25021","2","10","8","91002","2","35","281001061","25011","61"
"174","25021","2","10","8","91002","2","35","281001062","25011","62"
"177","25021","2","10","8","91002","2","36","281001063","25011","63"
"180","25021","2","10","8","91002","2","36","281001064","25011","64"
"182","25021","2","10","8","91002","2","36","281001065","25011","65"
"185","25021","2","10","8","91002","2","37","281001066","25011","66"
"187","25021","2","10","8","91002","2","37","281001067","25011","67"
"190","25021","2","10","8","91002","2","37","281001068","25011","68"
"193","25021","2","10","8","91002","2","38","281001069","25011","69"
"196","25021","2","30","8","91002","2","38","281001070","25011","70"
