c97e2ecadd64b3403b5dd96b77117b09cac52efc26ff40c67a05ae75a8f26655,afc5ac4c01a2b7babe1794189cf5980eda2e59d509dfcf7a3c23d978b06d52ac,39ddda26cd39095f8a62731e2b6793d58a506046fcf1e00a4065af9efb86182d
"1","1","101"
"1","2","103"
"1","3","105"
"2","4","101"
"2","5","102"
"2","6","103"
"2","7","105"
"3","8","101"
"3","9","102"
"3","10","103"
"4","11","101"
"4","12","103"
"4","13","104"
"4","14","105"
"5","15","103"
"5","16","104"
"5","17","105"
"6","18","102"
"6","19","104"
"6","20","106"
"7","21","101"
"7","22","102"
"7","23","106"
"8","24","102"
"8","25","103"
"8","26","106"
"9","27","103"
"9","28","104"
"9","29","105"
"10","30","101"
"10","31","103"
"10","32","105"
"11","33","107"
"11","34","108"
