49514b6b1e840636d88254da49d5d50f7854c2fe4efe6dff7e07f0ace5bc5a32,720054c3756da3d0dd5b810c892920f1fa2a11b1ba7e41e7cc8c33a1a002d78a,7ad5d7774da710b9c7d3a1f722febc7776cb6cc25caef0e46adc1f369d7c77c0,9f287c2d8950a73cfa084e2a44bb94bb9e5b10d1ce122ba3b441e5a1ce198434,63ebc5cd57aca73898b18c585b47f12a23299d5a08f5403ebb8d5646cb15596b,22c4fec94f1af32749753d9147d20f8742d292273b7b136b9c46bea04fa275ea,bed0b80d5388880567a120c571e96686efc63f7ec5d316b1f59d4d48d28af1be,a9732d2766d080edfb286f735079d557af03cc07732fe63b5e95340e5e1ee679,c9077e4428ae3c184181604192cd97c14b8846287eab13866af2705da3d5507e,c36a6addad001f834428c93a85c1dc7838efdd461e0107d7716929dc71aa51d6,6bdea9cfd9872885bdc4eeeebf9daa2bf0ee9d7e37e5b7c3b0afb672e891364c
"91002","2","284001001","10","25014","1","2","8","8","25021","31"
"91002","2","284001002","10","25014","2","2","8","8","25021","31"
"91002","2","284001003","10","25014","3","2","8","8","25021","32"
"91002","2","284001004","10","25014","4","2","8","8","25021","32"
"91002","2","284001005","10","25014","5","2","8","8","25021","33"
"91002","2","284001006","10","25014","6","2","9","8","25021","33"
"91002","2","284001007","10","25014","7","2","9","8","25021","34"
"91002","2","284001008","10","25014","8","2","9","8","25021","35"
"91002","2","284001009","10","25014","9","2","9","8","25021","35"
"91002","2","284001010","30","25014","10","2","10","8","25021","37"
"91002","2","284001011","10","25014","11","2","10","8","25021","41"
"91002","2","284001012","10","25014","12","2","11","8","25021","43"
"91002","2","284001013","10","25014","13","2","11","8","25021","46"
"91002","2","284001014","10","25014","14","2","12","8","25021","48"
"91002","2","284001015","10","25014","15","2","12","8","25021","50"
"91002","2","284001016","10","25014","16","2","13","8","25021","53"
"91002","2","284001017","10","25014","17","2","14","8","25021","55"
"91002","2","284001018","10","25014","18","2","14","8","25021","58"
"91002","2","284001019","10","25014","19","2","15","8","25021","60"
"91002","2","284001020","30","25014","20","2","15","8","25021","62"
"91002","2","284001021","10","25014","21","2","16","8","25021","68"
"91002","2","284001022","10","25014","22","2","16","8","25021","70"
"91002","2","284001023","10","25014","23","2","16","8","25021","72"
"91002","2","284001024","10","25014","24","2","17","8","25021","75"
"91002","2","284001025","10","25014","25","2","18","8","25021","77"
"91002","2","284001026","10","25014","26","2","18","8","25021","79"
"91002","2","284001027","10","25014","27","2","19","8","25021","82"
"91002","2","284001028","10","25014","28","2","19","8","25021","84"
"91002","2","284001029","10","25014","29","2","19","8","25021","86"
"91002","2","284001030","30","25014","30","2","20","8","25021","89"
"91002","2","284001031","10","25014","31","2","20","8","25021","94"
"91002","2","284001032","10","25014","32","2","21","8","25021","96"
"91002","2","284001033","10","25014","33","2","21","8","25021","99"
