73ed5dc191c7c6d5b14d9408fa68aff53059e7e366991800d18809a03a2b5e43,1ced00ee26a8838bed3f7dd786e0c9dda263229c112d18ddb062cb2bc8bff816,1725eb283a29b9ca567dc6bbb9e90a742d7337d3cc3ce4a1c7df2f94bac4e6c2,4393c0e2755574eedad34cf1cc568c216817fd1710c08d546d33ae939d691f1e
"2","1061101","1061001","1061002"
"2","1061102","1061001","1061003"
"2","1061111","1061001","1061012"
"2","1067101","1067001","1067001"
"2","1068103","1068001","1068001"
"2","1068101","1068001","1068002"
"2","1068102","1068001","1068003"
"2","1068111","1068001","1068012"
"2","1069101","1069001","1069001"
"1","1158100","1158001","1158001"
"2","1158101","1158001","1158002"
"2","1158102","1158001","1158003"
"2","1158111","1158001","1158012"
"2","1158102","1158001","1158203"
"2","1164101","1164001","1164001"
"2","1182101","1182001","1182001"
"2","1185101","1185001","1185001"
"2","1186101","1186001","1186001"
"2","1208101","1208001","1208002"
"2","1208111","1208001","1208012"
"2","1220101","1220001","1220001"
"2","1223101","1223001","1223002"
"2","1223102","1223001","1223003"
"2","1223111","1223001","1223012"
"2","1227101","1227001","1227001"
"2","1230101","1230001","1230001"
"2","1250101","1250001","1250002"
"2","1250102","1250001","1250003"
"2","1250111","1250001","1250012"
"2","1258101","1258001","1258001"
"2","1260101","1260001","1260001"
"2","1261101","1261001","1261001"
"2","1262101","1262001","1262001"
"2","1264103","1264001","1264001"
"2","1264101","1264001","1264002"
"2","1264102","1264001","1264003"
"2","1265101","1265001","1265001"
"2","1290101","1290001","1290001"
"2","1293101","1293001","1293001"
"2","1294101","1294001","1294001"
"2","1295101","1295001","1295001"
"2","1296101","1296001","1296001"
"2","1297101","1297001","1297001"
"2","1300101","1300001","1300001"
"2","1301101","1301001","1301001"
"2","1312101","1312001","1312001"
"2","1318101","1318001","1318001"
"2","1320101","1320001","1320001"
"1","1321100","1321001","1321001"
"2","1321101","1321001","1321002"
"2","1321102","1321001","1321003"
"2","1329101","1329001","1329001"
"2","1812101","1812001","1812001"
"2","4319101","4319012","4319012"
